timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,pcie_gen_current,pcie_width_current,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons
2025-10-10T18:22:11,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,64,e2e,250000,1,1.0786,1.0832,152.991,141.2,0,3,16,1965,9501,49,0
2025-10-10T18:22:12,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,64,e2e,250000,1.0,1.0789,1.0819,165.910,153.4,0,3,16,1965,9501,49,0
2025-10-10T18:22:13,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,64,e2e,250000,1.0,1.0787,1.0814,168.608,155.9,0,3,16,1965,9501,49,0
2025-10-10T18:22:14,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,64,e2e,250000,1.0,1.0795,1.0823,168.391,155.6,0,3,16,1965,9501,50,0
2025-10-10T18:22:16,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,64,e2e,250000,1.0,1.0794,1.0830,167.943,155.1,0,3,16,1965,9501,50,0
2025-10-10T18:22:19,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,96,e2e,250000,1.0,1.1578,1.1645,182.670,156.9,0,3,16,1965,9501,52,0
2025-10-10T18:22:20,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,96,e2e,250000,1.0,1.1580,1.1608,199.241,171.6,0,3,16,1965,9501,52,0
2025-10-10T18:22:21,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,96,e2e,250000,1.0,1.1577,1.1605,182.122,156.9,0,3,16,1965,9501,52,0
2025-10-10T18:22:23,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,96,e2e,250000,1.0,1.1535,1.1563,184.577,159.6,0,3,16,1980,9501,53,36
2025-10-10T18:22:24,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,96,e2e,250000,1.0,1.1464,1.1491,201.653,175.5,0,3,16,1980,9501,53,0
2025-10-10T18:22:28,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,128,e2e,250000,1.0,1.2766,1.2806,234.939,183.5,0,3,16,1980,9501,54,0
2025-10-10T18:22:29,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,128,e2e,250000,1.0,1.2768,1.2842,218.309,170.0,0,3,16,1980,9501,55,0
2025-10-10T18:22:30,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,128,e2e,250000,1.0,1.2768,1.2796,237.340,185.5,0,3,16,1980,9501,55,0
2025-10-10T18:22:31,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,128,e2e,250000,1.0,1.2763,1.2791,237.071,185.3,0,3,16,1980,9501,55,0
2025-10-10T18:22:33,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,128,e2e,250000,1.0,1.2760,1.2788,236.916,185.3,0,3,16,1980,9501,55,0
2025-10-10T18:22:37,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,160,e2e,250000,1.0,1.3878,1.3908,279.866,201.2,0,3,16,1980,9501,56,0
2025-10-10T18:22:38,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,160,e2e,250000,1.0,1.3879,1.3918,281.850,202.5,0,3,16,1980,9501,56,0
2025-10-10T18:22:40,rock-tobefilledbyoem,NVIDIA GeForce RTX 3090,160,e2e,250000,1.0,1.3880,1.3910,283.206,203.6,0,3,16,1980,9501,56,0
