"timestamp","host","gpu_name","matrix_size","mode","batches","seconds_target","seconds_gpu","seconds_wall","energy_j","avg_power_w","below_target","workload","impl","dtype","N","passes_kernel","passes_e2e","seconds_kernel","energy_kernel_j","avg_power_w_kernel","avg_power_w_e2e","bytes_total","bw_gb_s","time_mode","energy_mode","includes_transfer","device_name","driver_version","pcie_gen_current","pcie_width_current","pcie_rx_kbs","pcie_tx_kbs","clocks_sm_mhz","clocks_mem_mhz","temp_c","throttle_reasons","notes","energy_batch_j","kWh_batch","seconds_batch","M","K","flops_batch","joule_per_gflop","gflops","flops_per_watt","kWh_e2e","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_price_eur_kwh_batch","de_eur_batch","de_eur_batch_sync","de_eur_job_from_batches","fr_price_eur_kwh_batch","fr_eur_batch","fr_eur_batch_sync","fr_eur_job_from_batches","pl_price_eur_kwh_batch","pl_eur_batch","pl_eur_batch_sync","pl_eur_job_from_batches","price_eur_kwh_batch","eur_batch","eur_batch_sync","eur_job_from_batches","de_ci_g_per_kwh","de_co2_job_kg","fr_ci_g_per_kwh","fr_co2_job_kg","pl_ci_g_per_kwh","pl_co2_job_kg","de_co2_batch_kg","de_co2_job_from_batches_kg","fr_co2_batch_kg","fr_co2_job_from_batches_kg","pl_co2_batch_kg","pl_co2_job_from_batches_kg"
"2024-09-12 16:57:16+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","kernel","2551","1.0","0.7906","0,7906","27,363","34.6","1","reduction","openblas","fp32","0","2551","104","0.7906","27.363","34.6","34.6","20408000000","25.81","kernel","kernel","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","50.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.010726381811054488","2,979550503070691e-09","0.0003099176793414347","0","0","","","","","7,600833333333333e-06","DE","0,09167","6,967683916666666e-07","0,0783099722222222","5,95221047199074e-07","0,00933","7,0915775e-08","0,0518570416666666","3,9415673086805517e-07","0,14161","1,0763540083333335e-06","0,0950131388888888","7,221790331712957e-07","0,09167","6,967683916666666e-07","0,0783099722222222","5,95221047199074e-07","0,09167","2,731353946164903e-10","2,3332851713017403e-10","6,967683916666668e-07","0,00933","2,7799206193649548e-11","1,5451067458567428e-10","7,0915775e-08","0,14161","4,2193414673984064e-10","2,8309644577471406e-10","1,0763540083333335e-06","0,09167","2,731353946164903e-10","2,3332851713017403e-10","6,967683916666668e-07","372,31","2,829866258333333e-06","21,95","1,6683829166666665e-07","790,72","6,0101309333333334e-06","1,109316447798249e-09","2,8298662583333333e-06","6,540113354240168e-11","1,6683829166666668e-07","2,3559901737880566e-09","6,010130933333333e-06"
"2024-09-12 16:57:16+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","e2e","104","1.0","0.7906","0,0654","2,264","34.6","1","reduction","openblas","fp32","0","2551","104","0.7906","27.363","34.6","34.6","416000000","6.36","e2e","e2e","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","50.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.021769230769230766","6,047008547008546e-09","0.0006288461538461539","0","0","0.0","","0.0","0.0","6,288888888888888e-07","DE","0,09167","5,765024444444444e-08","0,0783099722222222","4,9248271419753076e-08","0,00933","5,867533333333332e-09","0,0518570416666666","3,261231731481477e-08","0,14161","8,905695555555555e-08","0,0950131388888888","5,975270734567895e-08","0,09167","5,765024444444444e-08","0,0783099722222222","4,9248271419753076e-08","0,09167","5,543292735042734e-10","4,735410713437793e-10","5,7650244444444436e-08","0,00933","5,6418589743589724e-11","3,1357997418091124e-10","5,867533333333332e-09","0,14161","8,563168803418801e-10","5,745452629392207e-10","8,905695555555555e-08","0,09167","5,543292735042734e-10","4,735410713437793e-10","5,7650244444444436e-08","372,31","2,341416222222222e-07","21,95","1,380411111111111e-08","790,72","4,972750222222222e-07","2,2513617521367516e-09","2,3414162222222218e-07","1,3273183760683757e-10","1,3804111111111107e-08","4,781490598290597e-09","4,972750222222222e-07"
"2024-09-12 16:57:19+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","kernel","639","1.0","0.2898","0,2898","10,113","34.9","1","reduction","openblas","fp32","0","639","178","0.2898","10.113","34.9","34.9","7668000000","26.46","kernel","kernel","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","50.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.015826291079812205","4,396191966614501e-09","0.0004535211267605634","0","0","","","","","2,8091666666666667e-06","DE","0,09167","2,5751630833333335e-07","0,0783099722222222","2,199857636342592e-07","0,00933","2,6209525e-08","0,0518570416666666","1,456750728819443e-07","0,14161","3,978060916666667e-07","0,0950131388888888","2,6690774266203684e-07","0,09167","2,5751630833333335e-07","0,0783099722222222","2,199857636342592e-07","0,09167","4,0299891757955124e-10","3,44265670789138e-10","2,575163083333333e-07","0,00933","4,1016471048513286e-11","2,2797350998739319e-10","2,6209524999999995e-08","0,14161","6,225447443922796e-10","4,1769599790616075e-10","3,978060916666667e-07","0,09167","4,0299891757955124e-10","3,44265670789138e-10","2,575163083333333e-07","372,31","1,0458808416666667e-06","21,95","6,166120833333334e-08","790,72","2,2212642666666666e-06","1,6367462310902448e-09","1,0458808416666665e-06","9,649641366718829e-11","6,166120833333331e-08","3,4761569118414184e-09","2,221264266666666e-06"
"2024-09-12 16:57:19+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","e2e","178","1.0","0.2898","0,1767","6,162","34.9","1","reduction","openblas","fp32","0","639","178","0.2898","10.113","34.9","34.9","1068000000","6.04","e2e","e2e","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","50.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.034617977528089885","9,616104868913856e-09","0.0009926966292134831","0","0","0.0","","0.0","0.0","1,7116666666666669e-06","DE","0,09167","1,5690848333333332e-07","0,0783099722222222","1,3404056912037034e-07","0,00933","1,596985e-08","0,0518570416666666","8,876196965277767e-08","0,14161","2,4238911666666666e-07","0,0950131388888888","1,6263082273148133e-07","0,09167","1,5690848333333332e-07","0,0783099722222222","1,3404056912037034e-07","0,09167","8,815083333333331e-10","7,530369051706196e-10","1,5690848333333332e-07","0,00933","8,971825842696626e-11","4,986627508583015e-10","1,5969849999999995e-08","0,14161","1,3617366104868912e-09","9,136563074802319e-10","2,4238911666666666e-07","0,09167","8,815083333333331e-10","7,530369051706196e-10","1,5690848333333332e-07","372,31","6,372706166666668e-07","21,95","3,7571083333333335e-08","790,72","1,3534490666666667e-06","3,580172003745318e-09","6,372706166666667e-07","2,1107350187265916e-10","3,757108333333333e-08","7,603646441947564e-09","1,3534490666666665e-06"
"2024-09-12 16:57:23+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","kernel","1041","1.0","0.6647","0,6647","23,154","34.8","1","reduction","openblas","fp32","0","1041","184","0.6647","23.154","34.8","34.9","16656000000","25.06","kernel","kernel","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.02224207492795389","6,178354146653859e-09","0.0006385206532180596","0","0","","","","","6,431666666666666e-06","DE","0,09167","5,895908833333333e-07","0,0783099722222222","5,036636380092591e-07","0,00933","6,000745e-08","0,0518570416666666","3,33527206319444e-07","0,14161","9,107883166666668e-07","0,0950131388888888","6,110928382870365e-07","0,09167","5,895908833333333e-07","0,0783099722222222","5,036636380092591e-07","0,09167","5,663697246237593e-10","4,838267416035151e-10","5,895908833333334e-07","0,00933","5,7644044188280495e-11","3,2039116841445147e-10","6,000745000000002e-08","0,14161","8,74916730707653e-10","5,870248206407652e-10","9,107883166666668e-07","0,09167","5,663697246237593e-10","4,838267416035151e-10","5,895908833333334e-07","372,31","2,394573816666667e-06","21,95","1,4117508333333333e-07","790,72","5,085647466666667e-06","2,3002630323406983e-09","2,394573816666667e-06","1,356148735190522e-10","1,4117508333333333e-07","4,885348190842139e-09","5,085647466666667e-06"
"2024-09-12 16:57:23+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","e2e","184","1.0","0.6647","0,2838","9,895","34.9","1","reduction","openblas","fp32","0","1041","184","0.6647","23.154","34.8","34.9","1472000000","5.19","e2e","e2e","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.05377717391304348","1,49381038647343e-08","0.001542391304347826","0","0","0.0","","0.0","0.0","2,748611111111111e-06","DE","0,09167","2,519651805555556e-07","0,0783099722222222","2,152436597608024e-07","0,00933","2,5644541666666663e-08","0,0518570416666666","1,4253484091435166e-07","0,14161","3,892308194444445e-07","0,0950131388888888","2,6115416925154297e-07","0,09167","2,519651805555556e-07","0,0783099722222222","2,152436597608024e-07","0,09167","1,369375981280193e-09","1,169802498700013e-09","2,519651805555556e-07","0,00933","1,39372509057971e-10","7,746458745345201e-10","2,5644541666666663e-08","0,14161","2,115384888285024e-09","1,4193161372366464e-09","3,892308194444445e-07","0,09167","1,369375981280193e-09","1,169802498700013e-09","2,519651805555556e-07","372,31","1,0233354027777777e-06","21,95","6,033201388888889e-08","790,72","2,173381777777778e-06","5,561605449879227e-09","1,0233354027777777e-06","3,2789137983091786e-10","6,033201388888889e-08","1,1811857487922706e-08","2,173381777777778e-06"
"2024-09-12 16:57:29+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","kernel","660","1.0","0.7303","0,7303","25,621","35.1","1","reduction","openblas","fp32","0","660","174","0.7303","25.621","35.1","34.8","15840000000","21.69","kernel","kernel","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.03881969696969697","1,0783249158249158e-08","0.0011065151515151515","0","0","","","","","7,116944444444444e-06","DE","0,09167","6,524102972222222e-07","0,0783099722222222","5,573277217515431e-07","0,00933","6,640109166666666e-08","0,0518570416666666","3,690636845949069e-07","0,14161","1,007830502777778e-06","0,0950131388888888","6,762032309645056e-07","0,09167","6,524102972222222e-07","0,0783099722222222","5,573277217515431e-07","0,09167","9,885004503367003e-10","8,444359420477926e-10","6,524102972222222e-07","0,00933","1,0060771464646463e-10","5,591874009013742e-10","6,640109166666666e-08","0,14161","1,5270159132996635e-09","1,0245503499462207e-09","1,007830502777778e-06","0,09167","9,885004503367003e-10","8,444359420477926e-10","6,524102972222222e-07","372,31","2,6497095861111113e-06","21,95","1,5621693055555556e-07","790,72","5,627510311111111e-06","4,014711494107745e-09","2,6497095861111117e-06","2,36692319023569e-10","1,5621693055555553e-07","8,526530774410774e-09","5,627510311111111e-06"
"2024-09-12 16:57:29+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","e2e","174","1.0","0.7303","0,4248","14,793","34.8","1","reduction","openblas","fp32","0","660","174","0.7303","25.621","35.1","34.8","2088000000","4.92","e2e","e2e","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.08501724137931034","2,361590038314176e-08","0.0024413793103448276","0","0","0.0","","0.0","0.0","4,109166666666666e-06","DE","0,09167","3,766873083333333e-07","0,0783099722222222","3,2178872752314805e-07","0,00933","3,8338525e-08","0,0518570416666666","2,1308922704861086e-07","0,14161","5,818990916666667e-07","0,0950131388888888","3,904248232175922e-07","0,09167","3,766873083333333e-07","0,0783099722222222","3,2178872752314805e-07","0,09167","2,164869588122605e-09","1,8493605030065981e-09","3,766873083333333e-07","0,00933","2,2033635057471264e-10","1,22465073016443e-09","3,8338525e-08","0,14161","3,344247653256705e-09","2,2438208230896103e-09","5,818990916666667e-07","0,09167","2,164869588122605e-09","1,8493605030065981e-09","3,766873083333333e-07","372,31","1,5298838416666663e-06","21,95","9,019620833333332e-08","790,72","3,2492002666666662e-06","8,79243587164751e-09","1,5298838416666667e-06","5,183690134099617e-10","9,019620833333333e-08","1,8673564750957854e-08","3,2492002666666667e-06"
"2024-09-12 16:57:36+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","kernel","500","1.0","0.8022","0,8022","28,181","35.1","1","reduction","openblas","fp32","0","500","180","0.8022","28.181","35.1","34.7","16000000000","19.95","kernel","kernel","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.056362","1,5656111111111112e-08","0.0016044","0","0","","","","","7,828055555555557e-06","DE","0,09167","7,175978527777779e-07","0,0783099722222222","6,130148131095678e-07","0,00933","7,303575833333334e-08","0,0518570416666666","4,0593980311342557e-07","0,14161","1,1085309472222225e-06","0,0950131388888888","7,437681297299377e-07","0,09167","7,175978527777779e-07","0,0783099722222222","6,130148131095678e-07","0,09167","1,4351957055555558e-09","1,2260296262191354e-09","7,175978527777779e-07","0,00933","1,4607151666666667e-10","8,118796062268508e-10","7,303575833333334e-08","0,14161","2,217061894444445e-09","1,4875362594598754e-09","1,1085309472222225e-06","0,09167","1,4351957055555558e-09","1,2260296262191354e-09","7,175978527777779e-07","372,31","2,9144633638888895e-06","21,95","1,7182581944444446e-07","790,72","6,18980008888889e-06","5,828926727777778e-09","2,914463363888889e-06","3,4365163888888893e-10","1,7182581944444446e-07","1,237960017777778e-08","6,18980008888889e-06"
"2024-09-12 16:57:36+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","0","e2e","180","1.0","0.8022","0,6014","20,896","34.7","1","reduction","openblas","fp32","0","500","180","0.8022","28.181","35.1","34.7","2880000000","4.79","e2e","e2e","0","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","","","","0","0","","","49.0","0","OPENBLAS_NUM_THREADS=8; e2e_host_memcpy=1; e2e_bw=mixed","0.1160888888888889","3,2246913580246923e-08","0.0033411111111111115","0","0","0.0","","0.0","0.0","5,804444444444445e-06","DE","0,09167","5,320934222222223e-07","0,0783099722222222","4,545458832098765e-07","0,00933","5,4155466666666665e-08","0,0518570416666666","3,0100131740740704e-07","0,14161","8,219673777777779e-07","0,0950131388888888","5,51498486172839e-07","0,09167","5,320934222222223e-07","0,0783099722222222","4,545458832098765e-07","0,09167","2,9560745679012356e-09","2,525254906721536e-09","5,320934222222224e-07","0,00933","3,0086370370370375e-10","1,6722295411522621e-09","5,415546666666669e-08","0,14161","4,566485432098767e-09","3,0638804787379954e-09","8,219673777777781e-07","0,09167","2,9560745679012356e-09","2,525254906721536e-09","5,320934222222224e-07","372,31","2,1610527111111113e-06","21,95","1,2740755555555557e-07","790,72","4,589690311111112e-06","1,2005848395061733e-08","2,161052711111112e-06","7,078197530864199e-10","1,274075555555556e-07","2,5498279506172848e-08","4,5896903111111125e-06"
