timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes,energy_batch_j,kWh_batch,seconds_batch,M,K,flops_batch,joule_per_gflop,gflops,flops_per_watt
2025-10-12T15:29:10,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,3173,1.0,0.9888,0.9888,34.161,34.5,1,reduction,openblas,fp32,0,3173,139,0.9888,34.161,34.5,34.8,25384000000,25.67,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.01076615190671289,2.990597751864692e-09,0.0003116293728332808,0,0,,,,
2025-10-12T15:29:10,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,e2e,139,1.0,0.9888,0.0874,3.039,34.8,1,reduction,openblas,fp32,0,3173,139,0.9888,34.161,34.5,34.8,556000000,6.36,e2e,e2e,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.021863309352517988,6.073141486810552e-09,0.0006287769784172662,0,0,0.0,,0.0,0.0
2025-10-12T15:29:15,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,1978,1.0,0.9321,0.9321,32.223,34.6,1,reduction,openblas,fp32,0,1978,153,0.9321,32.223,34.6,34.9,23736000000,25.47,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.016290697674418604,4.525193798449613e-09,0.0004712335692618807,0,0,,,,
2025-10-12T15:29:15,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,e2e,153,1.0,0.9321,0.153,5.331,34.9,1,reduction,openblas,fp32,0,1978,153,0.9321,32.223,34.6,34.9,918000000,6.0,e2e,e2e,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.034843137254901964,9.678649237472768e-09,0.001,0,0,0.0,,0.0,0.0
2025-10-12T15:29:19,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,1018,1.0,0.6593,0.6593,22.99,34.9,1,reduction,openblas,fp32,0,1018,149,0.6593,22.99,34.9,34.2,16288000000,24.7,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.022583497053045184,6.273193625845884e-09,0.0006476424361493123,0,0,,,,
2025-10-12T15:29:19,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,e2e,149,1.0,0.6593,0.2317,7.931,34.2,1,reduction,openblas,fp32,0,1018,149,0.6593,22.99,34.9,34.2,1192000000,5.14,e2e,e2e,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,50.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.053228187919463085,1.4785607755406412e-08,0.0015550335570469799,0,0,0.0,,0.0,0.0
2025-10-12T15:29:25,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,692,1.0,0.7629,0.7629,26.697,35.0,1,reduction,openblas,fp32,0,692,113,0.7629,26.697,35.0,34.0,16608000000,21.77,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,49.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.038579479768786125,1.0716522157996147e-08,0.0011024566473988439,0,0,,,,
2025-10-12T15:29:25,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,e2e,113,1.0,0.7629,0.2761,9.402,34.0,1,reduction,openblas,fp32,0,692,113,0.7629,26.697,35.0,34.0,1356000000,4.91,e2e,e2e,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,49.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.08320353982300885,2.3112094395280236e-08,0.0024433628318584074,0,0,0.0,,0.0,0.0
2025-10-12T15:29:32,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,488,1.0,0.7802,0.7802,27.399,35.1,1,reduction,openblas,fp32,0,488,189,0.7802,27.399,35.1,34.5,15616000000,20.02,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,49.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.05614549180327869,1.559596994535519e-08,0.0015987704918032787,0,0,,,,
2025-10-12T15:29:32,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,e2e,189,1.0,0.7802,0.6315,21.811,34.5,1,reduction,openblas,fp32,0,488,189,0.7802,27.399,35.1,34.5,3024000000,4.79,e2e,e2e,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,49.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.11540211640211641,3.2056143445032337e-08,0.003341269841269841,0,0,0.0,,0.0,0.0
2025-10-12T15:29:40,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,0,kernel,391,1.0,1.0221,1.0221,36.028,35.3,0,reduction,openblas,fp32,0,391,110,1.0221,36.028,35.3,35.2,18768000000,18.36,kernel,kernel,0,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,,,0,0,,,49.0,0,OPENBLAS_NUM_THREADS=1; e2e_host_memcpy=1; e2e_bw=mixed,0.09214322250639385,2.5595339585109403e-08,0.002614066496163683,0,0,,,,
