timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes
2025-10-13T17:07:41,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,41588,1.00,0.4678,0.4678,43.403,92.8,1,reduction,cublas,fp32,1000000,41588,3273,0.4678,43.403,92.8,49.1,332704000000,711.22,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,414,1238,2925,9801,46,0,
2025-10-13T17:07:41,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,3273,1.00,0.4678,1.0277,50.417,49.1,1,reduction,cublas,fp32,1000000,41588,3273,0.4678,43.403,92.8,49.1,13092000000,12.74,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,414,1238,2925,9801,46,0,
2025-10-13T17:07:51,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,56868,1.00,0.8203,0.8203,80.496,98.1,1,reduction,cublas,fp32,1500000,56868,2329,0.8203,80.496,98.1,49.9,682416000000,831.95,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,566499,489,2925,9801,49,0,
2025-10-13T17:07:51,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,2329,1.00,0.8203,1.0478,52.242,49.9,1,reduction,cublas,fp32,1500000,56868,2329,0.8203,80.496,98.1,49.9,13974000000,13.34,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,566499,489,2925,9801,49,0,
2025-10-13T17:08:00,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,50404,1.00,0.8693,0.8693,90.355,103.9,1,reduction,cublas,fp32,2000000,50404,1745,0.8693,90.355,103.9,56.7,806464000000,927.73,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,448265,509,2925,9801,51,0,
2025-10-13T17:08:00,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,1745,1.00,0.8693,1.0470,59.312,56.7,1,reduction,cublas,fp32,2000000,50404,1745,0.8693,90.355,103.9,56.7,13960000000,13.33,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,448265,509,2925,9801,51,0,
2025-10-13T17:08:09,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,26167,1.00,0.7051,0.7051,78.168,110.9,1,reduction,cublas,fp32,3000000,26167,1145,0.7051,78.168,110.9,54.7,628008000000,890.63,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,480,507,2917,9801,53,0,
2025-10-13T17:08:09,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,1145,1.00,0.7051,1.0150,55.486,54.7,1,reduction,cublas,fp32,3000000,26167,1145,0.7051,78.168,110.9,54.7,13740000000,13.54,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,480,507,2917,9801,53,0,
2025-10-13T17:08:19,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,8098,1.00,0.8993,0.8993,74.135,82.4,1,reduction,cublas,fp32,4000000,8098,837,0.8993,74.135,82.4,52.2,259136000000,288.17,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,482017,471,2925,9801,52,0,
2025-10-13T17:08:19,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,837,1.00,0.8993,1.0373,54.168,52.2,1,reduction,cublas,fp32,4000000,8098,837,0.8993,74.135,82.4,52.2,13392000000,12.91,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,482017,471,2925,9801,52,0,
2025-10-13T17:08:29,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,5702,1.00,0.9312,0.9312,82.007,88.1,1,reduction,cublas,fp32,6000000,5702,543,0.9312,82.007,88.1,52.8,273696000000,293.92,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,538,502,2925,9801,52,0,
2025-10-13T17:08:29,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,543,1.00,0.9312,1.0170,53.733,52.8,1,reduction,cublas,fp32,6000000,5702,543,0.9312,82.007,88.1,52.8,13032000000,12.81,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,538,502,2925,9801,52,0,
2025-10-13T17:08:39,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,4768,1.00,1.0300,1.0300,85.882,83.4,0,reduction,cublas,fp32,8000000,4768,422,1.0300,85.882,83.4,51.1,305152000000,296.26,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,447,947,2925,9801,53,0,
2025-10-13T17:08:39,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,422,1.00,1.0300,1.0512,53.746,51.1,0,reduction,cublas,fp32,8000000,4768,422,1.0300,85.882,83.4,51.1,13504000000,12.85,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,447,947,2925,9801,53,0,
2025-10-13T17:08:50,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,3238,1.00,1.0408,1.0408,91.543,88.0,0,reduction,cublas,fp32,12000000,3238,283,1.0408,91.543,88.0,50.0,310848000000,298.67,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,450,516,2925,9801,53,0,
2025-10-13T17:08:50,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,283,1.00,1.0408,1.0534,52.683,50.0,0,reduction,cublas,fp32,12000000,3238,283,1.0408,91.543,88.0,50.0,13584000000,12.90,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,450,516,2925,9801,53,0,
2025-10-13T17:09:00,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,2446,1.00,1.0445,1.0445,84.632,81.0,0,reduction,cublas,fp32,16000000,2446,212,1.0445,84.632,81.0,58.4,313088000000,299.74,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,449,498,2917,9801,54,0,
2025-10-13T17:09:00,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,212,1.00,1.0445,1.0517,61.392,58.4,0,reduction,cublas,fp32,16000000,2446,212,1.0445,84.632,81.0,58.4,13568000000,12.90,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,449,498,2917,9801,54,0,
2025-10-13T17:09:11,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,1639,1.00,1.0460,1.0460,86.021,82.2,0,reduction,cublas,fp32,24000000,1639,142,1.0460,86.021,82.2,56.8,314688000000,300.84,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,397577,498,2917,9801,54,0,
2025-10-13T17:09:11,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,142,1.00,1.0460,1.0552,59.927,56.8,0,reduction,cublas,fp32,24000000,1639,142,1.0460,86.021,82.2,56.8,13632000000,12.92,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,397577,498,2917,9801,54,0,
2025-10-13T17:09:21,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,1236,1.00,1.0495,1.0495,85.989,81.9,0,reduction,cublas,fp32,32000000,1236,107,1.0495,85.989,81.9,57.3,316416000000,301.50,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,448,599,2917,9801,55,0,
2025-10-13T17:09:21,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,107,1.00,1.0495,1.0594,60.743,57.3,0,reduction,cublas,fp32,32000000,1236,107,1.0495,85.989,81.9,57.3,13696000000,12.93,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,448,599,2917,9801,55,0,
2025-10-13T17:09:32,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,827,1.00,1.0512,1.0512,92.854,88.3,0,reduction,cublas,fp32,48000000,827,71,1.0512,92.854,88.3,51.3,317568000000,302.10,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,431384,500,2917,9801,55,0,
2025-10-13T17:09:32,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,71,1.00,1.0512,1.0540,54.107,51.3,0,reduction,cublas,fp32,48000000,827,71,1.0512,92.854,88.3,51.3,13632000000,12.93,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,431384,500,2917,9801,55,0,
2025-10-13T17:09:43,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,621,1.00,1.0512,1.0512,92.605,88.1,0,reduction,cublas,fp32,64000000,621,54,1.0512,92.605,88.1,55.6,317952000000,302.48,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,517,504,2917,9801,55,0,
2025-10-13T17:09:43,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,54,1.00,1.0512,1.0684,59.364,55.6,0,reduction,cublas,fp32,64000000,621,54,1.0512,92.605,88.1,55.6,13824000000,12.94,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,517,504,2917,9801,55,0,
2025-10-13T17:09:54,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,414,1.00,1.0504,1.0504,87.273,83.1,0,reduction,cublas,fp32,96000000,414,36,1.0504,87.273,83.1,56.3,317952000000,302.68,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,448,501,2917,9801,55,0,
2025-10-13T17:09:54,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,36,1.00,1.0504,1.0680,60.142,56.3,0,reduction,cublas,fp32,96000000,414,36,1.0504,87.273,83.1,56.3,13824000000,12.94,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,448,501,2917,9801,55,0,
2025-10-13T17:10:04,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,312,1.00,1.0547,1.0547,92.918,88.1,0,reduction,cublas,fp32,128000000,312,27,1.0547,92.918,88.1,56.4,319488000000,302.93,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,566502,499,2917,9801,55,0,
2025-10-13T17:10:04,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,27,1.00,1.0547,1.0677,60.264,56.4,0,reduction,cublas,fp32,128000000,312,27,1.0547,92.918,88.1,56.4,13824000000,12.95,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,566502,499,2917,9801,55,0,
2025-10-13T17:10:15,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,250,1.00,1.0555,1.0555,92.735,87.9,0,reduction,cublas,fp32,160000000,250,22,1.0555,92.735,87.9,54.5,320000000000,303.18,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,566532,573,2917,9801,55,0,
2025-10-13T17:10:15,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,e2e,22,1.00,1.0555,1.0875,59.244,54.5,0,reduction,cublas,fp32,160000000,250,22,1.0555,92.735,87.9,54.5,14080000000,12.95,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,4,8,566532,573,2917,9801,55,0,
2025-10-13T17:10:26,rock-tobefilledbyoem,NVIDIA GeForce RTX 5050,0,kernel,208,1.00,1.0534,1.0534,93.412,88.7,0,reduction,cublas,fp32,192000000,208,18,1.0534,93.412,88.7,55.5,319488000000,303.29,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,4,8,499,572,2917,9801,55,0,
