timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes
2025-10-12T07:49:55,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,43118,1.00,0.4583,0.4583,-1.000,97.7,1,reduction,cublas,fp32,1000000,43118,1717,0.4583,44.775,97.7,48.5,344944000000,752.66,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,318,1261,2925,9801,46,0,
2025-10-12T07:49:55,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,1717,1.00,0.4583,1.0354,50.257,48.5,1,reduction,cublas,fp32,1000000,43118,1717,0.4583,44.775,97.7,48.5,6868000000,6.63,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,318,1261,2925,9801,46,0,
2025-10-12T07:50:02,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,54963,1.00,0.7900,0.7900,-1.000,100.3,1,reduction,cublas,fp32,1500000,54963,526,0.7900,79.274,100.3,54.8,659556000000,834.86,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,361,415,2902,9801,51,0,
2025-10-12T07:50:02,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,526,1.00,0.7900,0.4724,25.871,54.8,1,reduction,cublas,fp32,1500000,54963,526,0.7900,79.274,100.3,54.8,3156000000,6.68,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,361,415,2902,9801,51,0,
2025-10-12T07:50:11,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,47693,1.00,0.7879,0.7879,-1.000,104.1,1,reduction,cublas,fp32,2000000,47693,880,0.7879,81.976,104.1,54.5,763088000000,968.57,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,361,402,2925,9801,50,0,
2025-10-12T07:50:11,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,880,1.00,0.7879,1.0454,57.022,54.5,1,reduction,cublas,fp32,2000000,47693,880,0.7879,81.976,104.1,54.5,7040000000,6.73,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,361,402,2925,9801,50,0,
2025-10-12T07:50:19,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,34613,1.00,0.9093,0.9093,-1.000,113.6,1,reduction,cublas,fp32,3000000,34613,373,0.9093,103.252,113.6,58.4,830712000000,913.57,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,359,1090,2917,9801,52,0,
2025-10-12T07:50:19,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,373,1.00,0.9093,0.6647,38.828,58.4,1,reduction,cublas,fp32,3000000,34613,373,0.9093,103.252,113.6,58.4,4476000000,6.73,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,359,1090,2917,9801,52,0,
2025-10-12T07:50:29,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,9171,1.00,1.0211,1.0211,-1.000,81.3,0,reduction,cublas,fp32,4000000,9171,433,1.0211,83.003,81.3,49.1,293472000000,287.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,393,435,2925,9801,51,0,
2025-10-12T07:50:29,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,433,1.00,1.0211,1.0504,51.618,49.1,0,reduction,cublas,fp32,4000000,9171,433,1.0211,83.003,81.3,49.1,6928000000,6.60,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,393,435,2925,9801,51,0,
2025-10-12T07:50:39,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,5870,1.00,0.9630,0.9630,-1.000,86.6,1,reduction,cublas,fp32,6000000,5870,286,0.9630,83.442,86.6,49.6,281760000000,292.59,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,362,432,2925,9801,51,0,
2025-10-12T07:50:39,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,286,1.00,0.9630,1.0449,51.814,49.6,1,reduction,cublas,fp32,6000000,5870,286,0.9630,83.442,86.6,49.6,6864000000,6.57,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,362,432,2925,9801,51,0,
2025-10-12T07:50:50,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,4798,1.00,1.0409,1.0409,-1.000,81.9,0,reduction,cublas,fp32,8000000,4798,216,1.0409,85.250,81.9,55.3,307072000000,295.00,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,394,429,2925,9801,51,0,
2025-10-12T07:50:50,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,216,1.00,1.0409,1.0505,58.121,55.3,0,reduction,cublas,fp32,8000000,4798,216,1.0409,85.250,81.9,55.3,6912000000,6.58,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,394,429,2925,9801,51,0,
2025-10-12T07:51:01,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,3237,1.00,1.0460,1.0460,-1.000,88.0,0,reduction,cublas,fp32,12000000,3237,144,1.0460,91.994,88.0,49.2,310752000000,297.10,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,360,414,2925,9801,52,0,
2025-10-12T07:51:01,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,144,1.00,1.0460,1.0499,51.644,49.2,0,reduction,cublas,fp32,12000000,3237,144,1.0460,91.994,88.0,49.2,6912000000,6.58,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,360,414,2925,9801,52,0,
2025-10-12T07:51:11,rock-ms7a95,NVIDIA GeForce RTX 5050,0,kernel,2447,1.00,1.0515,1.0515,-1.000,87.3,0,reduction,cublas,fp32,16000000,2447,109,1.0515,91.829,87.3,49.2,313216000000,297.88,kernel,kernel,0,NVIDIA GeForce RTX 5050,580.65.06,3,8,515925,1271,2925,9801,52,0,
2025-10-12T07:51:11,rock-ms7a95,NVIDIA GeForce RTX 5050,0,e2e,109,1.00,1.0515,1.0584,52.053,49.2,0,reduction,cublas,fp32,16000000,2447,109,1.0515,91.829,87.3,49.2,6976000000,6.59,e2e,e2e,1,NVIDIA GeForce RTX 5050,580.65.06,3,8,515925,1271,2925,9801,52,0,
