timestamp,host,cpu_model,backend,library,library_version,impl,workload,dtype,pattern,nrows,ncols,nnz,num_threads,batches,seconds_target,passes_e2e,seconds_kernel,energy_j,avg_power_w,below_target,bytes_total,bw_gb_s,temp_c,time_mode,energy_mode,omp_proc_bind,omp_places,energy_domain,numa_policy,notes,seconds_wall,kWh_e2e,energy_per_pass_j,kWh_per_pass,seconds_per_pass,M,K,N,flops_per_pass,joule_per_gflop,gflops,flops_per_watt,gb_per_s_kernel,j_per_gb_kernel
2025-10-15T21:34:43,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,0,1,583064,0.9086,55.949,61.6,1,32840496736,36.14,42.4,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9086,1.5541388888888888e-05,9.595687608907427e-05,2.665468780252063e-11,1.5583194983741065e-06,,,,,,,,36.14406420427031,1.70365876161271
2025-10-15T21:34:44,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,1,1,583064,0.9147,56.195,61.4,1,32840496736,35.9,43.4,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9147,1.5609722222222222e-05,9.637878517624137e-05,2.677188477117816e-11,1.5687814716737784e-06,,,,,,,,35.90302474691156,1.7111495131070482
2025-10-15T21:34:45,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,2,1,583064,0.9066,55.922,61.7,1,32840496736,36.22,43.5,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9066,1.5533888888888888e-05,9.59105689941413e-05,2.6641824720594805e-11,1.554889343193886e-06,,,,,,,,36.223799620560335,1.7028366059608921
2025-10-15T21:34:46,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,3,1,583064,0.9079,55.895,61.6,1,32840496736,36.17,43.6,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9079,1.552638888888889e-05,9.586426189920832e-05,2.662896163866898e-11,1.5571189440610293e-06,,,,,,,,36.17193164004846,1.7020144503090748
2025-10-15T21:34:47,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,4,1,583064,0.9035,55.625,61.6,1,32840496736,36.35,43.8,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9035,1.545138888888889e-05,9.540119094987857e-05,2.6500330819410713e-11,1.5495726026645445e-06,,,,,,,,36.34808714554511,1.6937928937908986
2025-10-15T21:34:48,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,5,1,583064,0.9093,55.999,61.6,1,32840496736,36.12,44.1,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9093,1.555527777777778e-05,9.604262996857978e-05,2.6678508324605496e-11,1.5595200526871836e-06,,,,,,,,36.11623967447487,1.705181272079039
2025-10-15T21:34:49,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,6,1,583064,0.9096,55.938,61.5,1,32840496736,36.1,43.9,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9096,1.5538333333333333e-05,9.593801023558307e-05,2.6649447287661962e-11,1.5600345759642166e-06,,,,,,,,36.10432798592788,1.7033238093101177
2025-10-15T21:34:49,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,7,1,583064,0.912,56.035,61.4,1,32840496736,36.01,43.8,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.912,1.5565277777777777e-05,9.610437276182374e-05,2.6695659100506594e-11,1.564150762180481e-06,,,,,,,,36.009316596491225,1.7062774796147955
2025-10-15T21:34:50,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,8,1,583064,0.9062,55.711,61.5,1,32840496736,36.24,43.8,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9062,1.5475277777777776e-05,9.554868762262804e-05,2.654130211739668e-11,1.554203312157842e-06,,,,,,,,36.239788938424184,1.6964116117929844
2025-10-15T21:34:51,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,4,9,1,583064,0.9044,55.652,61.5,1,32840496736,36.31,43.8,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064,0.9044,1.545888888888889e-05,9.544749804481155e-05,2.6513193901336542e-11,1.5511161724956437e-06,,,,,,,,36.311915895621404,1.6946150494427163
