"timestamp","host","cpu_model","backend","library","library_version","impl","workload","dtype","pattern","nrows","ncols","nnz","num_threads","batches","seconds_target","passes_e2e","seconds_kernel","energy_j","avg_power_w","below_target","bytes_total","bw_gb_s","temp_c","time_mode","energy_mode","omp_proc_bind","omp_places","energy_domain","numa_policy","notes","seconds_wall","kWh_e2e","energy_per_pass_j","kWh_per_pass","seconds_per_pass","M","K","N","flops_per_pass","joule_per_gflop","gflops","flops_per_watt","gb_per_s_kernel","j_per_gb_kernel","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_ci_g_per_kwh","de_co2_job_kg","fr_ci_g_per_kwh","fr_co2_job_kg","pl_ci_g_per_kwh","pl_co2_job_kg","de_co2_per_pass_kg","de_co2_job_from_passes_kg","fr_co2_per_pass_kg","fr_co2_job_from_passes_kg","pl_co2_per_pass_kg","pl_co2_job_from_passes_kg"
"2024-09-15 22:20:13+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","0","1","429787","1.0117","65,591","64.8","0","24207322988","23.93","41.5","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0117","1,8219722222222226e-05","0.0001526128058782606","4,2392446077294605e-11","2.3539567274021785e-06","","","","","","","","23.92737272709301","2.7095519827828385","DE","0,10711","1,9515144472222223e-06","0,0783099722222222","1,4267859411188277e-06","0,10712","1,951696644444445e-06","0,0950131388888888","1,7311129980169754e-06","0,10712","1,951696644444445e-06","0,0950131388888888","1,7311129980169754e-06","0,10711","1,9515144472222223e-06","0,0783099722222222","1,4267859411188277e-06","385,82","7,029533227777778e-06","17,88","3,2576863333333335e-07","742,24","1,3523406622222226e-05","1,6355853545541805e-11","0,0","7,579769358620274e-13","0,0","3,1465369176411146e-11","0,0"
"2024-09-15 22:20:14+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","1","1","429787","1.0128","65,83","65.0","0","24207322988","23.9","41.4","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0128","1,828611111111111e-05","0.00015316889528999247","4,2546915358331236e-11","2.356516134736509e-06","","","","","","","","23.90138525671406","2.7194250282293955","DE","0,10711","1,958625361111111e-06","0,0783099722222222","1,4319848531635805e-06","0,10712","1,9588082222222222e-06","0,0950131388888888","1,737420814737654e-06","0,10712","1,9588082222222222e-06","0,0950131388888888","1,737420814737654e-06","0,10711","1,958625361111111e-06","0,0783099722222222","1,4319848531635805e-06","385,82","7,055147388888888e-06","17,88","3,269556666666666e-07","742,24","1,357268311111111e-05","1,6415450883551356e-11","1,6415450883551356e-11","7,607388466069625e-13","7,607388466069625e-13","3,158002245556778e-11","3,158002245556778e-11"
"2024-09-15 22:20:15+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","2","1","429787","1.0125","65,837","65.0","0","24207322988","23.91","41.2","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0125","1,828805555555556e-05","0.00015318518242757458","4,255143956321517e-11","2.355818114554419e-06","","","","","","","","23.908467148641975","2.719714196924483","DE","0,10711","1,958833630555556e-06","0,0783099722222222","1,432137122554013e-06","0,10712","1,959016511111112e-06","0,0950131388888888","1,7376055625077162e-06","0,10712","1,959016511111112e-06","0,0950131388888888","1,7376055625077162e-06","0,10711","1,958833630555556e-06","0,0783099722222222","1,432137122554013e-06","385,82","7,055897594444446e-06","17,88","3,269904333333334e-07","742,24","1,357412635555556e-05","1,6417196412279674e-11","3,283439282455935e-11","7,608197393902872e-13","1,5216394787805743e-12","3,158338050140083e-11","6,316676100280166e-11"
"2024-09-15 22:20:16+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","3","1","429787","1.0133","65,97","65.1","0","24207322988","23.89","41.2","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0133","1,8325e-05","0.00015349463804163459","4,2637399456009607e-11","2.3576795017066596e-06","","","","","","","","23.88959142208625","2.7252084021311442","DE","0,10711","1,96279075e-06","0,0783099722222222","1,4350302409722223e-06","0,10712","1,962974e-06","0,0950131388888888","1,7411157701388888e-06","0,10712","1,962974e-06","0,0950131388888888","1,7411157701388888e-06","0,10711","1,96279075e-06","0,0783099722222222","1,4350302409722223e-06","385,82","7,070151500000001e-06","17,88","3,27651e-07","742,24","1,3601548000000001e-05","1,6450361458117626e-11","4,935108437435288e-11","7,623567022734518e-13","2,2870701068203553e-12","3,164718337222857e-11","9,494155011668572e-11"
"2024-09-15 22:20:17+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","4","1","429787","1.018","64,24","63.1","0","24207322988","23.78","41.0","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,018","1,7844444444444444e-05","0.00014946938832491444","4,1519274534698456e-11","2.3686151512260723e-06","","","","","","","","23.779295666011787","2.653742424630964","DE","0,10711","1,9113184444444443e-06","0,0783099722222222","1,3973979487654325e-06","0,10712","1,911496888888889e-06","0,0950131388888888","1,6954566783950611e-06","0,10712","1,911496888888889e-06","0,0950131388888888","1,6954566783950611e-06","0,10711","1,9113184444444443e-06","0,0783099722222222","1,3973979487654325e-06","385,82","6,884743555555555e-06","17,88","3,1905866666666663e-07","742,24","1,3244860444444443e-05","1,6018966500977357e-11","6,407586600390943e-11","7,423646286804084e-13","2,9694585147216336e-12","3,081726633063458e-11","1,2326906532253832e-10"
"2024-09-15 22:20:18+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","5","1","429787","1.0175","63,824","62.7","0","24207322988","23.79","41.0","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0175","1,7728888888888887e-05","0.00014850146700574936","4,1250407501597046e-11","2.3674517842559223e-06","","","","","","","","23.790980823587223","2.6365575421800536","DE","0,10711","1,8989412888888889e-06","0,0783099722222222","1,388348796419753e-06","0,10712","1,8991185777777775e-06","0,0950131388888888","1,6844773823456786e-06","0,10712","1,8991185777777775e-06","0,0950131388888888","1,6844773823456786e-06","0,10711","1,8989412888888889e-06","0,0783099722222222","1,388348796419753e-06","385,82","6,8401599111111105e-06","17,88","3,1699253333333326e-07","742,24","1,3159090488888888e-05","1,5915232222266173e-11","7,957616111133086e-11","7,375572861285551e-13","3,687786430642776e-12","3,061770246398539e-11","1,5308851231992694e-10"
"2024-09-15 22:20:19+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","6","1","429787","1.0161","64,131","63.1","0","24207322988","23.82","40.9","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0161","1,7814166666666666e-05","0.00014921577432542167","4,1448826201506015e-11","2.3641943567395013e-06","","","","","","","","23.823760444838108","2.649239654950317","DE","0,10711","1,9080753916666664e-06","0,0783099722222222","1,395026896828704e-06","0,10712","1,908253533333333e-06","0,0950131388888888","1,6925798916898146e-06","0,10712","1,908253533333333e-06","0,0950131388888888","1,6925798916898146e-06","0,10711","1,9080753916666664e-06","0,0783099722222222","1,395026896828704e-06","385,82","6,873061783333333e-06","17,88","3,1851729999999997e-07","742,24","1,3222387066666667e-05","1,599178612506505e-11","9,59507167503903e-11","7,411050124829275e-13","4,446630074897565e-12","3,0764976759805823e-11","1,8458986055883493e-10"
"2024-09-15 22:20:20+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","7","1","429787","1.0125","65,33","64.5","0","24207322988","23.91","41.1","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0125","1,8147222222222222e-05","0.00015200552831984214","4,2223757866622815e-11","2.355818114554419e-06","","","","","","","","23.908467148641975","2.6987701214374358","DE","0,10711","1,9437489722222224e-06","0,0783099722222222","1,4211084681327164e-06","0,10712","1,943930444444445e-06","0,0950131388888888","1,7242245454475306e-06","0,10712","1,943930444444445e-06","0,0950131388888888","1,7242245454475306e-06","0,10711","1,9437489722222224e-06","0,0783099722222222","1,4211084681327164e-06","385,82","7,001561277777778e-06","17,88","3,2447233333333334e-07","742,24","1,3469594222222224e-05","1,6290770260100415e-11","1,140353918207029e-10","7,549607906552159e-13","5,284725534586511e-12","3,134016203892212e-11","2,1938113427245483e-10"
"2024-09-15 22:20:21+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","8","1","429787","1.0175","63,81","62.7","0","24207322988","23.79","40.9","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0175","1,7725e-05","0.00014846889273058516","4,124135909182921e-11","2.3674517842559223e-06","","","","","","","","23.790980823587223","2.635979204789879","DE","0,10711","1,89852475e-06","0,0783099722222222","1,388044257638889e-06","0,10712","1,898702e-06","0,0950131388888888","1,6841078868055554e-06","0,10712","1,898702e-06","0,0950131388888888","1,6841078868055554e-06","0,10711","1,89852475e-06","0,0783099722222222","1,388044257638889e-06","385,82","6,8386595e-06","17,88","3,16923e-07","742,24","1,3156204e-05","1,5911741164809546e-11","1,2729392931847637e-10","7,373955005619062e-13","5,89916400449525e-12","3,061098637231931e-11","2,448878909785545e-10"
"2024-09-15 22:20:22+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","8","9","1","429787","1.0183","63,725","62.6","0","24207322988","23.77","40.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=429787","1,0183","1,770138888888889e-05","0.0001482711203456596","4,118642231823878e-11","2.3693131714081627e-06","","","","","","","","23.772290079544337","2.632467870635246","DE","0,10711","1,895995763888889e-06","0,0783099722222222","1,3861952721836422e-06","0,10712","1,896172777777778e-06","0,0950131388888888","1,6818645210262346e-06","0,10712","1,896172777777778e-06","0,0950131388888888","1,6818645210262346e-06","0,10711","1,895995763888889e-06","0,0783099722222222","1,3861952721836422e-06","385,82","6,829549861111112e-06","17,88","3,165008333333333e-07","742,24","1,313867888888889e-05","1,5890545458822885e-11","1,4301490912940596e-10","7,364132310501094e-13","6,627719079450984e-12","3,057021010148955e-11","2,75131890913406e-10"
