"timestamp","host","cpu_model","backend","library","library_version","impl","workload","dtype","pattern","nrows","ncols","nnz","num_threads","batches","seconds_target","passes_e2e","seconds_kernel","energy_j","avg_power_w","below_target","bytes_total","bw_gb_s","temp_c","time_mode","energy_mode","omp_proc_bind","omp_places","energy_domain","numa_policy","notes","seconds_wall","kWh_e2e","energy_per_pass_j","kWh_per_pass","seconds_per_pass","M","K","N","flops_per_pass","joule_per_gflop","gflops","flops_per_watt","gb_per_s_kernel","j_per_gb_kernel","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync"
"2024-09-15 21:34:43+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","0","1","583064","0.9086","55,949","61.6","1","32840496736","36.14","42.4","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9086","1,5541388888888888e-05","9.595687608907427e-05","2.665468780252063e-11","1.5583194983741065e-06","","","","","","","","36.14406420427031","1.70365876161271","DE","0,11268","1,7512037e-06","0,0783099722222222","1,2170457321836417e-06","0,06439","1,0007100305555555e-06","0,0518570416666666","8,059304511689804e-07","0,11214","1,74281135e-06","0,0950131388888888","1,4766361410262331e-06","0,11268","1,7512037e-06","0,0783099722222222","1,2170457321836417e-06"
"2024-09-15 21:34:44+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","1","1","583064","0.9147","56,195","61.4","1","32840496736","35.9","43.4","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9147","1,5609722222222222e-05","9.637878517624137e-05","2.677188477117816e-11","1.5687814716737784e-06","","","","","","","","35.90302474691156","1.7111495131070482","DE","0,11268","1,7589035e-06","0,0783099722222222","1,2223969136188269e-06","0,06439","1,005110013888889e-06","0,0518570416666666","8,094740156828694e-07","0,11214","1,75047425e-06","0,0950131388888888","1,483128705516974e-06","0,11268","1,7589035e-06","0,0783099722222222","1,2223969136188269e-06"
"2024-09-15 21:34:45+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","2","1","583064","0.9066","55,922","61.7","1","32840496736","36.22","43.5","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9066","1,5533888888888888e-05","9.59105689941413e-05","2.6641824720594805e-11","1.554889343193886e-06","","","","","","","","36.223799620560335","1.7028366059608921","DE","0,11268","1,7503586e-06","0,0783099722222222","1,216458407391975e-06","0,06439","1,0002271055555555e-06","0,0518570416666666","8,055415233564805e-07","0,11214","1,7419703e-06","0,0950131388888888","1,4759235424845666e-06","0,11268","1,7503586e-06","0,0783099722222222","1,216458407391975e-06"
"2024-09-15 21:34:46+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","3","1","583064","0.9079","55,895","61.6","1","32840496736","36.17","43.6","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9079","1,552638888888889e-05","9.586426189920832e-05","2.662896163866898e-11","1.5571189440610293e-06","","","","","","","","36.17193164004846","1.7020144503090748","DE","0,11268","1,7495135e-06","0,0783099722222222","1,2158710826003083e-06","0,06439","9,997441805555557e-07","0,0518570416666666","8,051525955439805e-07","0,11214","1,74112925e-06","0,0950131388888888","1,4752109439429e-06","0,11268","1,7495135e-06","0,0783099722222222","1,2158710826003083e-06"
"2024-09-15 21:34:47+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","4","1","583064","0.9035","55,625","61.6","1","32840496736","36.35","43.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9035","1,545138888888889e-05","9.540119094987857e-05","2.6500330819410713e-11","1.5495726026645445e-06","","","","","","","","36.34808714554511","1.6937928937908986","DE","0,11268","1,7410625000000003e-06","0,0783099722222222","1,2099978346836418e-06","0,06439","9,949149305555557e-07","0,0518570416666666","8,012633174189806e-07","0,11214","1,7327187500000002e-06","0,0950131388888888","1,4680849585262334e-06","0,11268","1,7410625000000003e-06","0,0783099722222222","1,2099978346836418e-06"
"2024-09-15 21:34:48+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","5","1","583064","0.9093","55,999","61.6","1","32840496736","36.12","44.1","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9093","1,555527777777778e-05","9.604262996857978e-05","2.6678508324605496e-11","1.5595200526871836e-06","","","","","","","","36.11623967447487","1.705181272079039","DE","0,11268","1,7527687000000001e-06","0,0783099722222222","1,2181333706867281e-06","0,06439","1,0016043361111112e-06","0,0518570416666666","8,066506878587954e-07","0,11214","1,7443688500000003e-06","0,0950131388888888","1,4779557679552457e-06","0,11268","1,7527687000000001e-06","0,0783099722222222","1,2181333706867281e-06"
"2024-09-15 21:34:49+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","6","1","583064","0.9096","55,938","61.5","1","32840496736","36.1","43.9","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9096","1,5538333333333333e-05","9.593801023558307e-05","2.6649447287661962e-11","1.5600345759642166e-06","","","","","","","","36.10432798592788","1.7033238093101177","DE","0,11268","1,7508594e-06","0,0783099722222222","1,2168064517129626e-06","0,06439","1,0005132833333333e-06","0,0518570416666666","8,057719990972212e-07","0,11214","1,7424687e-06","0,0950131388888888","1,4763458231018507e-06","0,11268","1,7508594e-06","0,0783099722222222","1,2168064517129626e-06"
"2024-09-15 21:34:49+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","7","1","583064","0.912","56,035","61.4","1","32840496736","36.01","43.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,912","1,5565277777777777e-05","9.610437276182374e-05","2.6695659100506594e-11","1.564150762180481e-06","","","","","","","","36.009316596491225","1.7062774796147955","DE","0,11268","1,7538955e-06","0,0783099722222222","1,2189164704089504e-06","0,06439","1,002248236111111e-06","0,0518570416666666","8,071692582754619e-07","0,11214","1,74549025e-06","0,0950131388888888","1,4789058993441345e-06","0,11268","1,7538955e-06","0,0783099722222222","1,2189164704089504e-06"
"2024-09-15 21:34:50+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","8","1","583064","0.9062","55,711","61.5","1","32840496736","36.24","43.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9062","1,5475277777777776e-05","9.554868762262804e-05","2.654130211739668e-11","1.554203312157842e-06","","","","","","","","36.239788938424184","1.6964116117929844","DE","0,11268","1,7437543e-06","0,0783099722222222","1,2118685729089501e-06","0,06439","9,96453136111111e-07","0,0518570416666666","8,025021245254619e-07","0,11214","1,7353976499999999e-06","0,0950131388888888","1,4703547168441344e-06","0,11268","1,7437543e-06","0,0783099722222222","1,2118685729089501e-06"
"2024-09-15 21:34:51+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","4","9","1","583064","0.9044","55,652","61.5","1","32840496736","36.31","43.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=583064","0,9044","1,545888888888889e-05","9.544749804481155e-05","2.6513193901336542e-11","1.5511161724956437e-06","","","","","","","","36.311915895621404","1.6946150494427163","DE","0,11268","1,7419076e-06","0,0783099722222222","1,2105851594753085e-06","0,06439","9,953978555555556e-07","0,0518570416666666","8,016522452314805e-07","0,11214","1,7335598e-06","0,0950131388888888","1,4687975570679e-06","0,11268","1,7419076e-06","0,0783099722222222","1,2105851594753085e-06"
