timestamp,host,cpu_model,backend,library,library_version,impl,workload,dtype,pattern,nrows,ncols,nnz,num_threads,batches,seconds_target,passes_e2e,seconds_kernel,energy_j,avg_power_w,below_target,bytes_total,bw_gb_s,temp_c,time_mode,energy_mode,omp_proc_bind,omp_places,energy_domain,numa_policy,notes,seconds_wall,kWh_e2e,energy_per_pass_j,kWh_per_pass,seconds_per_pass,M,K,N,flops_per_pass,joule_per_gflop,gflops,flops_per_watt,gb_per_s_kernel,j_per_gb_kernel
2025-10-15T20:48:06,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,0,1,256798,0.9885,39.188,39.6,0,14463890552,14.63,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9885,1.0885555555555556e-05,0.00015260243459840032,4.238956516622231e-11,3.8493290446187275e-06,,,,,,,,14.632160396560444,2.7093678467154376
2025-10-15T20:48:07,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,1,1,256798,0.9912,39.294,39.6,0,14463890552,14.59,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9912,1.0915e-05,0.00015301521039883488,4.2504225110787464e-11,3.859843145195835e-06,,,,,,,,14.592302816787733,2.716696441993375
2025-10-15T20:48:08,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,2,1,256798,0.9873,39.191,39.7,0,14463890552,14.65,53,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9873,1.0886388888888889e-05,0.00015261411693237486,4.239281025899302e-11,3.844656111028902e-06,,,,,,,,14.649944851615519,2.709575259789341
2025-10-15T20:48:09,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,3,1,256798,0.9941,39.417,39.6,0,14463890552,14.55,53,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9941,1.0949166666666667e-05,0.000153494186091792,4.263727391438666e-11,3.871136068037913e-06,,,,,,,,14.549733982496731,2.7252003780234357
2025-10-15T20:48:10,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,4,1,256798,0.994,39.477,39.7,0,14463890552,14.55,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.994,1.0965833333333333e-05,0.00015372783277128326,4.2702175769800903e-11,3.870746656905427e-06,,,,,,,,14.551197738430584,2.7293486395015134
2025-10-15T20:48:11,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,5,1,256798,0.9994,39.483,39.5,0,14463890552,14.47,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9994,1.09675e-05,0.00015375119743923237,4.270866595534233e-11,3.891774858059642e-06,,,,,,,,14.472574096457876,2.7297634656493215
2025-10-15T20:48:12,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,6,1,256798,0.9934,39.457,39.7,0,14463890552,14.56,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9934,1.0960277777777778e-05,0.00015364995054478617,4.268054181799616e-11,3.868410190110515e-06,,,,,,,,14.559986462653514,2.727965885675488
2025-10-15T20:48:13,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,7,1,256798,0.9885,38.932,39.4,0,14463890552,14.63,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9885,1.0814444444444445e-05,0.00015160554209923754,4.211265058312154e-11,3.8493290446187275e-06,,,,,,,,14.632160396560444,2.691668597742304
2025-10-15T20:48:14,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,8,1,256798,0.9922,39.681,40.0,0,14463890552,14.58,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9922,1.10225e-05,0.00015452223148155358,4.292284207820933e-11,3.863737256520689e-06,,,,,,,,14.577595799234025,2.743452728526979
2025-10-15T20:48:15,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,2,9,1,256798,0.9906,40.43,40.8,0,14463890552,14.6,54,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9906,1.1230555555555555e-05,0.00015743892086386965,4.3733033573297124e-11,3.8575066784009225e-06,,,,,,,,14.601141280032303,2.7952368593116548
