timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes,rows,cols,nnz,op,sp_algo,num_rhs,backend,library,library_version,matrix_id,pattern,permuted,band_width,block_size,avg_nnz_per_row,std_nnz_per_row
2025-10-15T17:19:11,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,0,1.10,1.1178,1.1177,65.613,58.7,0,spmv,cusparse,fp32,1024,158611,158611,1.1178,65.613,58.7,58.7,8283935308,7.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,316,398,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:12,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,1,1.10,1.1192,1.1192,59.810,53.4,0,spmv,cusparse,fp32,1024,158611,158611,1.1192,59.810,53.4,53.4,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,1235,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:13,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,2,1.10,1.1190,1.1190,59.967,53.6,0,spmv,cusparse,fp32,1024,158611,158611,1.1190,59.967,53.6,53.6,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,332,402,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:15,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,3,1.10,1.1222,1.1222,59.673,53.2,0,spmv,cusparse,fp32,1024,158611,158611,1.1222,59.673,53.2,53.2,8283935308,7.38,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,353,396,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:16,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,4,1.10,1.1193,1.1193,59.736,53.4,0,spmv,cusparse,fp32,1024,158611,158611,1.1193,59.736,53.4,53.4,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,397,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:17,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,5,1.10,1.1199,1.1199,60.173,53.7,0,spmv,cusparse,fp32,1024,158611,158611,1.1199,60.173,53.7,53.7,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,398,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:18,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,6,1.10,1.1193,1.1193,59.339,53.0,0,spmv,cusparse,fp32,1024,158611,158611,1.1193,59.339,53.0,53.0,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,331,1250,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:19,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,7,1.10,1.1174,1.1174,59.762,53.5,0,spmv,cusparse,fp32,1024,158611,158611,1.1174,59.762,53.5,53.5,8283935308,7.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,331,399,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:20,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,8,1.10,1.1181,1.1181,64.778,57.9,0,spmv,cusparse,fp32,1024,158611,158611,1.1181,64.778,57.9,57.9,8283935308,7.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,350,398,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:22,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,9,1.10,1.1160,1.1161,59.585,53.4,0,spmv,cusparse,fp32,1024,158611,158611,1.1160,59.585,53.4,53.4,8283935308,7.42,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,329,398,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
