timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes
2025-10-13T18:33:51,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,96.938,83.4,0,stream_triad,openmp,float32,134217728,29,29,1.1624,96.938,83.4,83.4,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=0;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=778.281;GBps_per_W=1.2849
2025-10-13T18:33:52,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1623,1.1623,96.903,83.4,0,stream_triad,openmp,float32,134217728,29,29,1.1623,96.903,83.4,83.4,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=1;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=777.999;GBps_per_W=1.2853
2025-10-13T18:33:54,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1621,1.1621,96.926,83.4,0,stream_triad,openmp,float32,134217728,29,29,1.1621,96.926,83.4,83.4,124554051584,107.18,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=2;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=778.183;GBps_per_W=1.2850
2025-10-13T18:33:55,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1626,1.1626,97.069,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1626,97.069,83.5,83.5,124554051584,107.13,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=3;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.335;GBps_per_W=1.2831
2025-10-13T18:33:56,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1627,1.1627,97.069,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1627,97.069,83.5,83.5,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=4;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.332;GBps_per_W=1.2831
2025-10-13T18:33:57,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1622,1.1622,97.089,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1622,97.089,83.5,83.5,124554051584,107.17,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=5;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.492;GBps_per_W=1.2829
2025-10-13T18:33:58,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1619,1.1619,97.051,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1619,97.051,83.5,83.5,124554051584,107.20,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=6;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.186;GBps_per_W=1.2834
2025-10-13T18:33:59,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1626,1.1626,97.062,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1626,97.062,83.5,83.5,124554051584,107.13,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=7;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.278;GBps_per_W=1.2832
2025-10-13T18:34:01,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1620,1.1620,97.054,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1620,97.054,83.5,83.5,124554051584,107.19,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=8;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.210;GBps_per_W=1.2834
2025-10-13T18:34:02,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.144,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.144,83.5,83.5,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=9;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.934;GBps_per_W=1.2822
2025-10-13T18:34:03,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1630,1.1630,97.202,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1630,97.202,83.6,83.6,124554051584,107.10,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=10;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.398;GBps_per_W=1.2814
2025-10-13T18:34:04,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.165,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.165,83.6,83.6,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=11;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.105;GBps_per_W=1.2819
2025-10-13T18:34:05,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1623,1.1623,97.110,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1623,97.110,83.6,83.6,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=12;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.662;GBps_per_W=1.2826
2025-10-13T18:34:06,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1620,1.1620,97.124,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1620,97.124,83.6,83.6,124554051584,107.19,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=13;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.775;GBps_per_W=1.2824
2025-10-13T18:34:08,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1629,1.1629,97.137,83.5,0,stream_triad,openmp,float32,134217728,29,29,1.1629,97.137,83.5,83.5,124554051584,107.11,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=14;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.875;GBps_per_W=1.2823
2025-10-13T18:34:09,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.220,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.220,83.6,83.6,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=15;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.543;GBps_per_W=1.2812
2025-10-13T18:34:10,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.219,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.219,83.6,83.6,124554051584,107.14,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=16;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.537;GBps_per_W=1.2812
2025-10-13T18:34:11,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.230,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.230,83.6,83.6,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=17;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.624;GBps_per_W=1.2810
2025-10-13T18:34:12,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1626,1.1626,97.218,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1626,97.218,83.6,83.6,124554051584,107.13,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=18;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.529;GBps_per_W=1.2812
2025-10-13T18:34:14,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1620,1.1620,97.132,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1620,97.132,83.6,83.6,124554051584,107.19,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=19;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.837;GBps_per_W=1.2823
2025-10-13T18:34:15,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.208,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.208,83.6,83.6,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=20;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.450;GBps_per_W=1.2813
2025-10-13T18:34:16,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1621,1.1621,97.111,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1621,97.111,83.6,83.6,124554051584,107.18,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=21;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.667;GBps_per_W=1.2826
2025-10-13T18:34:17,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1622,1.1622,97.115,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1622,97.115,83.6,83.6,124554051584,107.17,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=22;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=779.699;GBps_per_W=1.2825
2025-10-13T18:34:18,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.179,83.6,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.179,83.6,83.6,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=23;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=780.214;GBps_per_W=1.2817
2025-10-13T18:34:19,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.664,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.664,84.0,84.0,124554051584,107.11,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=24;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=784.110;GBps_per_W=1.2753
2025-10-13T18:34:21,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1622,1.1622,97.566,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1622,97.566,84.0,84.0,124554051584,107.17,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=25;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.320;GBps_per_W=1.2766
2025-10-13T18:34:22,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.564,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.564,83.9,83.9,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=26;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.307;GBps_per_W=1.2766
2025-10-13T18:34:23,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.571,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.571,83.9,83.9,124554051584,107.14,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=27;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.364;GBps_per_W=1.2765
2025-10-13T18:34:24,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1626,1.1626,97.622,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1626,97.622,84.0,84.0,124554051584,107.13,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=28;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.772;GBps_per_W=1.2759
2025-10-13T18:34:25,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.668,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.668,84.0,84.0,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=29;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=784.138;GBps_per_W=1.2753
2025-10-13T18:34:27,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.671,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.671,84.0,84.0,124554051584,107.14,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=30;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=784.166;GBps_per_W=1.2752
2025-10-13T18:34:28,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1629,1.1629,97.654,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1629,97.654,84.0,84.0,124554051584,107.10,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=31;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=784.031;GBps_per_W=1.2755
2025-10-13T18:34:29,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1623,1.1623,97.586,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1623,97.586,84.0,84.0,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=32;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.481;GBps_per_W=1.2764
2025-10-13T18:34:30,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1622,1.1622,97.589,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1622,97.589,84.0,84.0,124554051584,107.17,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=33;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.510;GBps_per_W=1.2763
2025-10-13T18:34:31,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.650,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.650,84.0,84.0,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=34;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.994;GBps_per_W=1.2755
2025-10-13T18:34:32,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.596,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.596,84.0,84.0,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=35;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.563;GBps_per_W=1.2762
2025-10-13T18:34:34,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.583,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.583,84.0,84.0,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=36;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.461;GBps_per_W=1.2764
2025-10-13T18:34:35,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.575,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.575,83.9,83.9,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=37;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.392;GBps_per_W=1.2765
2025-10-13T18:34:36,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.572,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.572,83.9,83.9,124554051584,107.14,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=38;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.373;GBps_per_W=1.2765
2025-10-13T18:34:37,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1622,1.1622,97.601,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1622,97.601,84.0,84.0,124554051584,107.17,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=39;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.606;GBps_per_W=1.2762
2025-10-13T18:34:38,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1621,1.1621,97.614,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1621,97.614,84.0,84.0,124554051584,107.18,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=40;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.710;GBps_per_W=1.2760
2025-10-13T18:34:40,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1628,1.1628,97.678,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1628,97.678,84.0,84.0,124554051584,107.12,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=41;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=784.224;GBps_per_W=1.2751
2025-10-13T18:34:41,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1623,1.1623,97.575,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1623,97.575,83.9,83.9,124554051584,107.16,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=42;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.392;GBps_per_W=1.2765
2025-10-13T18:34:42,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1624,1.1624,97.581,83.9,0,stream_triad,openmp,float32,134217728,29,29,1.1624,97.581,83.9,83.9,124554051584,107.15,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=43;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.442;GBps_per_W=1.2764
2025-10-13T18:34:43,rock-tobefilledbyoem,NA,0,kernel,1,1.10,1.1625,1.1625,97.600,84.0,0,stream_triad,openmp,float32,134217728,29,29,1.1625,97.600,84.0,84.0,124554051584,107.14,steady_clock,rapl_energy_uj_delta,0,cpu:AMD Ryzen Threadripper 3970X 32-Core Processor,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=44;cohort=common;OMP_NUM_THREADS=16;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=783.595;GBps_per_W=1.2762
