ts,de_ci_lifecycle_g_per_kwh,fr_ci_lifecycle_g_per_kwh,pl_ci_lifecycle_g_per_kwh
2024-01-01 00:00:00+00:00,178.76,29.09,722.45
2024-01-01 01:00:00+00:00,180.12,30.08,729.43
2024-01-01 02:00:00+00:00,184.74,32.33,737.69
2024-01-01 03:00:00+00:00,186.02,32.96,748.61
2024-01-01 04:00:00+00:00,186.58,33.0,758.53
2024-01-01 05:00:00+00:00,188.21,33.41,770.41
2024-01-01 06:00:00+00:00,188.03,34.52,772.85
2024-01-01 07:00:00+00:00,183.02,33.63,763.07
2024-01-01 08:00:00+00:00,177.28,32.17,770.17
2024-01-01 09:00:00+00:00,170.55,31.95,770.46
2024-01-01 10:00:00+00:00,164.74,31.63,746.89
2024-01-01 11:00:00+00:00,165.68,31.12,750.93
2024-01-01 12:00:00+00:00,169.12,30.89,730.65
2024-01-01 13:00:00+00:00,179.01,30.26,730.4
2024-01-01 14:00:00+00:00,188.22,31.14,756.71
2024-01-01 15:00:00+00:00,194.83,28.78,744.91
2024-01-01 16:00:00+00:00,199.58,27.29,719.93
2024-01-01 17:00:00+00:00,202.44,26.52,700.37
2024-01-01 18:00:00+00:00,204.45,26.17,701.86
2024-01-01 19:00:00+00:00,200.56,26.43,723.45
2024-01-01 20:00:00+00:00,203.92,26.55,722.62
2024-01-01 21:00:00+00:00,206.8,26.5,742.69
2024-01-01 22:00:00+00:00,215.39,26.68,767.98
2024-01-01 23:00:00+00:00,214.43,27.68,765.29
2024-01-02 00:00:00+00:00,214.92,27.3,774.44
2024-01-02 01:00:00+00:00,216.55,27.95,788.95
2024-01-02 02:00:00+00:00,211.41,28.88,787.81
2024-01-02 03:00:00+00:00,202.78,29.15,800.87
2024-01-02 04:00:00+00:00,195.86,29.18,794.49
2024-01-02 05:00:00+00:00,188.71,27.57,803.89
2024-01-02 06:00:00+00:00,187.87,26.73,815.24
2024-01-02 07:00:00+00:00,191.17,26.48,820.59
2024-01-02 08:00:00+00:00,198.77,26.41,797.59
2024-01-02 09:00:00+00:00,201.73,26.16,758.85
2024-01-02 10:00:00+00:00,210.26,26.02,734.24
2024-01-02 11:00:00+00:00,221.45,26.18,745.63
2024-01-02 12:00:00+00:00,223.42,25.88,762.16
2024-01-02 13:00:00+00:00,231.48,25.75,794.32
2024-01-02 14:00:00+00:00,230.31,25.66,796.83
2024-01-02 15:00:00+00:00,228.34,25.8,781.21
2024-01-02 16:00:00+00:00,217.32,25.84,764.05
2024-01-02 17:00:00+00:00,208.08,25.72,750.14
2024-01-02 18:00:00+00:00,191.75,25.73,731.94
2024-01-02 19:00:00+00:00,179.25,25.65,714.29
2024-01-02 20:00:00+00:00,169.42,26.22,699.28
2024-01-02 21:00:00+00:00,168.19,26.61,700.35
2024-01-02 22:00:00+00:00,166.58,26.97,664.96
2024-01-02 23:00:00+00:00,168.32,27.03,648.1
2024-01-03 00:00:00+00:00,167.57,27.57,637.24
2024-01-03 01:00:00+00:00,169.41,28.95,634.88
2024-01-03 02:00:00+00:00,168.14,29.39,634.86
2024-01-03 03:00:00+00:00,166.57,29.73,635.57
2024-01-03 04:00:00+00:00,163.38,28.54,648.21
2024-01-03 05:00:00+00:00,157.21,27.37,673.5
2024-01-03 06:00:00+00:00,159.96,26.63,692.21
2024-01-03 07:00:00+00:00,165.54,26.06,687.84
2024-01-03 08:00:00+00:00,168.13,26.23,675.71
2024-01-03 09:00:00+00:00,160.14,26.38,673.13
2024-01-03 10:00:00+00:00,155.17,26.37,673.48
2024-01-03 11:00:00+00:00,154.72,26.48,688.04
2024-01-03 12:00:00+00:00,160.17,26.7,706.15
2024-01-03 13:00:00+00:00,162.76,25.85,729.11
2024-01-03 14:00:00+00:00,174.62,25.78,743.0
2024-01-03 15:00:00+00:00,199.47,25.65,743.17
2024-01-03 16:00:00+00:00,218.28,25.61,740.37
2024-01-03 17:00:00+00:00,228.28,25.43,733.45
2024-01-03 18:00:00+00:00,226.81,25.51,729.71
2024-01-03 19:00:00+00:00,219.15,25.57,717.82
2024-01-03 20:00:00+00:00,206.47,25.77,729.04
2024-01-03 21:00:00+00:00,204.08,26.19,743.86
2024-01-03 22:00:00+00:00,201.87,26.41,751.35
2024-01-03 23:00:00+00:00,192.69,26.98,751.88
2024-01-04 00:00:00+00:00,186.88,27.24,754.87
2024-01-04 01:00:00+00:00,184.64,27.61,757.38
2024-01-04 02:00:00+00:00,185.85,28.24,757.3
2024-01-04 03:00:00+00:00,185.5,28.3,760.66
2024-01-04 04:00:00+00:00,193.16,28.48,776.93
2024-01-04 05:00:00+00:00,217.69,29.92,795.34
2024-01-04 06:00:00+00:00,253.67,33.84,792.19
2024-01-04 07:00:00+00:00,273.57,36.89,784.04
2024-01-04 08:00:00+00:00,283.87,40.13,758.0
2024-01-04 09:00:00+00:00,283.65,42.09,731.21
2024-01-04 10:00:00+00:00,289.03,43.21,729.94
2024-01-04 11:00:00+00:00,300.04,44.57,712.62
2024-01-04 12:00:00+00:00,319.95,44.12,718.01
2024-01-04 13:00:00+00:00,352.26,44.64,736.43
2024-01-04 14:00:00+00:00,396.48,45.1,759.56
2024-01-04 15:00:00+00:00,422.64,42.73,774.83
2024-01-04 16:00:00+00:00,439.79,43.52,788.63
2024-01-04 17:00:00+00:00,464.07,43.6,794.96
2024-01-04 18:00:00+00:00,470.98,43.27,807.58
2024-01-04 19:00:00+00:00,474.92,43.39,800.17
2024-01-04 20:00:00+00:00,480.53,42.14,798.01
2024-01-04 21:00:00+00:00,465.83,42.06,777.27
2024-01-04 22:00:00+00:00,443.17,43.29,782.7
2024-01-04 23:00:00+00:00,425.41,39.62,807.31
2024-01-05 00:00:00+00:00,395.41,34.13,833.32
2024-01-05 01:00:00+00:00,372.78,32.02,844.5
2024-01-05 02:00:00+00:00,358.46,31.52,858.28
2024-01-05 03:00:00+00:00,348.41,32.88,882.44
2024-01-05 04:00:00+00:00,345.94,34.95,880.47
2024-01-05 05:00:00+00:00,347.93,36.75,897.21
2024-01-05 06:00:00+00:00,368.22,40.02,886.84
2024-01-05 07:00:00+00:00,374.98,45.67,865.55
2024-01-05 08:00:00+00:00,369.91,50.29,833.05
2024-01-05 09:00:00+00:00,358.22,49.19,814.89
2024-01-05 10:00:00+00:00,341.59,49.47,808.11
2024-01-05 11:00:00+00:00,340.79,49.43,810.36
2024-01-05 12:00:00+00:00,341.26,48.78,824.45
2024-01-05 13:00:00+00:00,351.97,48.64,840.02
2024-01-05 14:00:00+00:00,365.17,48.26,858.73
2024-01-05 15:00:00+00:00,369.64,49.43,864.44
2024-01-05 16:00:00+00:00,368.35,51.04,864.07
2024-01-05 17:00:00+00:00,372.06,51.57,857.12
2024-01-05 18:00:00+00:00,390.32,51.56,848.78
2024-01-05 19:00:00+00:00,405.34,52.02,845.44
2024-01-05 20:00:00+00:00,401.57,50.78,849.49
2024-01-05 21:00:00+00:00,399.27,52.87,825.4
2024-01-05 22:00:00+00:00,388.31,52.56,825.29
2024-01-05 23:00:00+00:00,385.74,44.05,802.62
2024-01-06 00:00:00+00:00,385.96,35.03,817.71
2024-01-06 01:00:00+00:00,383.94,35.02,824.35
2024-01-06 02:00:00+00:00,382.94,35.99,838.32
2024-01-06 03:00:00+00:00,384.59,36.1,834.29
2024-01-06 04:00:00+00:00,394.6,35.48,836.11
2024-01-06 05:00:00+00:00,402.63,34.16,830.18
2024-01-06 06:00:00+00:00,425.44,35.1,835.26
2024-01-06 07:00:00+00:00,443.5,38.77,826.18
2024-01-06 08:00:00+00:00,437.27,46.67,808.25
2024-01-06 09:00:00+00:00,427.67,44.31,817.72
2024-01-06 10:00:00+00:00,428.04,42.48,822.77
2024-01-06 11:00:00+00:00,421.97,42.07,817.18
2024-01-06 12:00:00+00:00,421.45,40.26,801.48
2024-01-06 13:00:00+00:00,424.09,43.13,783.09
2024-01-06 14:00:00+00:00,427.11,44.09,799.31
2024-01-06 15:00:00+00:00,426.48,44.06,804.07
2024-01-06 16:00:00+00:00,419.4,45.34,800.51
2024-01-06 17:00:00+00:00,421.63,45.11,794.76
2024-01-06 18:00:00+00:00,429.59,44.98,785.22
2024-01-06 19:00:00+00:00,426.69,43.21,753.82
2024-01-06 20:00:00+00:00,436.93,37.4,747.71
2024-01-06 21:00:00+00:00,437.87,36.05,750.45
2024-01-06 22:00:00+00:00,436.01,37.54,763.92
2024-01-06 23:00:00+00:00,432.77,34.55,777.46
2024-01-07 00:00:00+00:00,416.62,33.06,770.81
2024-01-07 01:00:00+00:00,395.41,34.08,769.5
2024-01-07 02:00:00+00:00,392.97,33.53,779.44
2024-01-07 03:00:00+00:00,393.22,34.03,790.63
2024-01-07 04:00:00+00:00,395.23,34.59,790.9
2024-01-07 05:00:00+00:00,396.26,34.64,793.51
2024-01-07 06:00:00+00:00,402.24,34.82,794.48
2024-01-07 07:00:00+00:00,418.06,34.76,789.86
2024-01-07 08:00:00+00:00,437.39,37.01,788.45
2024-01-07 09:00:00+00:00,436.23,36.45,791.56
2024-01-07 10:00:00+00:00,418.57,35.0,783.13
2024-01-07 11:00:00+00:00,408.27,33.96,775.12
2024-01-07 12:00:00+00:00,407.79,33.63,773.63
2024-01-07 13:00:00+00:00,409.29,33.17,787.07
2024-01-07 14:00:00+00:00,416.14,37.09,783.35
2024-01-07 15:00:00+00:00,409.06,40.51,774.44
2024-01-07 16:00:00+00:00,403.2,44.22,769.77
2024-01-07 17:00:00+00:00,415.1,43.39,772.41
2024-01-07 18:00:00+00:00,417.77,43.95,779.58
2024-01-07 19:00:00+00:00,425.57,43.74,770.54
2024-01-07 20:00:00+00:00,425.59,42.89,769.17
2024-01-07 21:00:00+00:00,427.78,43.65,777.91
2024-01-07 22:00:00+00:00,402.12,43.62,777.45
2024-01-07 23:00:00+00:00,381.5,41.88,786.13
2024-01-08 00:00:00+00:00,362.71,35.86,783.82
2024-01-08 01:00:00+00:00,353.71,36.35,784.97
2024-01-08 02:00:00+00:00,346.93,37.82,787.11
2024-01-08 03:00:00+00:00,354.73,38.47,796.18
2024-01-08 04:00:00+00:00,391.04,38.79,808.41
2024-01-08 05:00:00+00:00,429.96,48.36,819.39
2024-01-08 06:00:00+00:00,445.61,61.41,824.43
2024-01-08 07:00:00+00:00,444.68,62.86,806.25
2024-01-08 08:00:00+00:00,437.26,59.53,803.66
2024-01-08 09:00:00+00:00,429.13,59.31,804.4
2024-01-08 10:00:00+00:00,416.39,60.76,804.23
2024-01-08 11:00:00+00:00,408.34,62.1,808.09
2024-01-08 12:00:00+00:00,412.12,62.69,830.2
2024-01-08 13:00:00+00:00,427.25,64.01,856.11
2024-01-08 14:00:00+00:00,447.85,64.08,884.32
2024-01-08 15:00:00+00:00,460.94,65.74,897.37
2024-01-08 16:00:00+00:00,459.19,66.22,877.8
2024-01-08 17:00:00+00:00,463.77,68.94,834.65
2024-01-08 18:00:00+00:00,475.52,69.6,828.9
2024-01-08 19:00:00+00:00,482.04,69.63,830.38
2024-01-08 20:00:00+00:00,487.59,69.78,853.0
2024-01-08 21:00:00+00:00,492.67,69.38,873.1
2024-01-08 22:00:00+00:00,490.42,74.52,897.34
2024-01-08 23:00:00+00:00,491.65,72.92,882.71
2024-01-09 00:00:00+00:00,493.97,73.0,886.74
2024-01-09 01:00:00+00:00,496.0,72.87,888.21
2024-01-09 02:00:00+00:00,497.65,70.3,885.02
2024-01-09 03:00:00+00:00,504.86,69.9,868.07
2024-01-09 04:00:00+00:00,515.61,73.28,856.85
2024-01-09 05:00:00+00:00,535.49,76.71,870.9
2024-01-09 06:00:00+00:00,540.93,75.88,885.04
2024-01-09 07:00:00+00:00,543.97,74.75,896.51
2024-01-09 08:00:00+00:00,536.91,73.92,869.29
2024-01-09 09:00:00+00:00,515.67,75.64,833.66
2024-01-09 10:00:00+00:00,503.09,76.02,816.6
2024-01-09 11:00:00+00:00,503.1,75.86,815.56
2024-01-09 12:00:00+00:00,507.66,78.06,817.89
2024-01-09 13:00:00+00:00,522.86,78.74,858.76
2024-01-09 14:00:00+00:00,552.19,76.02,902.0
2024-01-09 15:00:00+00:00,544.39,71.36,893.74
2024-01-09 16:00:00+00:00,525.95,69.94,892.97
2024-01-09 17:00:00+00:00,533.21,73.23,898.1
2024-01-09 18:00:00+00:00,547.42,82.12,892.68
2024-01-09 19:00:00+00:00,564.32,80.93,884.19
2024-01-09 20:00:00+00:00,577.62,87.07,888.21
2024-01-09 21:00:00+00:00,575.13,88.87,896.43
2024-01-09 22:00:00+00:00,570.87,86.68,908.52
2024-01-09 23:00:00+00:00,571.62,82.06,902.46
2024-01-10 00:00:00+00:00,576.19,80.33,901.52
2024-01-10 01:00:00+00:00,574.54,80.2,902.04
2024-01-10 02:00:00+00:00,571.48,77.74,898.79
2024-01-10 03:00:00+00:00,569.61,78.14,902.14
2024-01-10 04:00:00+00:00,575.21,80.64,906.01
2024-01-10 05:00:00+00:00,579.41,80.9,912.86
2024-01-10 06:00:00+00:00,559.38,76.77,922.22
2024-01-10 07:00:00+00:00,551.09,75.13,913.66
2024-01-10 08:00:00+00:00,553.23,71.79,871.63
2024-01-10 09:00:00+00:00,548.58,74.82,830.69
2024-01-10 10:00:00+00:00,541.05,81.86,807.87
2024-01-10 11:00:00+00:00,541.2,80.25,799.63
2024-01-10 12:00:00+00:00,553.62,77.74,813.3
2024-01-10 13:00:00+00:00,575.75,76.22,855.23
