"timestamp","host","cpu_model","backend","library","library_version","impl","workload","dtype","pattern","nrows","ncols","nnz","num_threads","batches","seconds_target","passes_e2e","seconds_kernel","energy_j","avg_power_w","below_target","bytes_total","bw_gb_s","temp_c","time_mode","energy_mode","omp_proc_bind","omp_places","energy_domain","numa_policy","notes","seconds_wall","kWh_e2e","energy_per_pass_j","kWh_per_pass","seconds_per_pass","M","K","N","flops_per_pass","joule_per_gflop","gflops","flops_per_watt","gb_per_s_kernel","j_per_gb_kernel","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_ci_g_per_kwh","de_co2_job_kg","fr_ci_g_per_kwh","fr_co2_job_kg","pl_ci_g_per_kwh","pl_co2_job_kg","de_co2_per_pass_kg","de_co2_job_from_passes_kg","fr_co2_per_pass_kg","fr_co2_job_from_passes_kg","pl_co2_per_pass_kg","pl_co2_job_from_passes_kg"
"2024-09-15 23:04:29+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","0","1","318243","1.0071","66,462","66.0","0","17924718732","17.8","43.0","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0071","1,8461666666666663e-05","0.00020884041440031675","5,801122622231021e-11","3.164562928328353e-06","","","","","","","","17.798350443848673","3.707840607916994","DE","0,0925999999999999","1,7095503333333312e-06","0,0783099722222222","1,445732603842592e-06","0,0549099999999999","1,0137301166666646e-06","0,0518570416666666","9,57367417569443e-07","0,0923499999999999","1,7049349166666645e-06","0,0950131388888888","1,7541008991203683e-06","0,0925999999999999","1,7095503333333312e-06","0,0783099722222222","1,445732603842592e-06","407,75","7,527744583333332e-06","18,7","3,452331666666666e-07","749,27","1,383277298333333e-05","2,3654077492146985e-11","0,0","1,084809930357201e-12","0,0","4,346607147159037e-11","0,0"
"2024-09-15 23:04:30+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","1","1","318243","1.0046","66,295","66.0","0","17924718732","17.84","42.8","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0046","1,841527777777778e-05","0.00020831565816058797","5,786546060016333e-11","3.1567072959970837e-06","","","","","","","","17.84264257614971","3.6985238647927705","DE","0,0925999999999999","1,7052547222222204e-06","0,0783099722222222","1,4420998912422837e-06","0,0549099999999999","1,011182902777776e-06","0,0518570416666666","9,54961827025462e-07","0,0923499999999999","1,700650902777776e-06","0,0950131388888888","1,7496933451774676e-06","0,0925999999999999","1,7052547222222204e-06","0,0783099722222222","1,4420998912422837e-06","407,75","7,50882951388889e-06","18,7","3,4436569444444444e-07","749,27","1,3798015180555556e-05","2,35946415597166e-11","2,35946415597166e-11","1,0820841132230541e-12","1,0820841132230541e-12","4,335685366388438e-11","4,335685366388438e-11"
"2024-09-15 23:04:31+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","2","1","318243","1.0037","66,171","65.9","0","17924718732","17.86","42.6","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0037","1,838083333333333e-05","0.00020792601879695706","5,7757227443599176e-11","3.153879268357827e-06","","","","","","","","17.85864175749726","3.6916060435508324","DE","0,0925999999999999","1,7020651666666647e-06","0,0783099722222222","1,4394025477546292e-06","0,0549099999999999","1,0092915583333317e-06","0,0518570416666666","9,53175640034721e-07","0,0923499999999999","1,6974699583333315e-06","0,0950131388888888","1,7464206703935168e-06","0,0925999999999999","1,7020651666666647e-06","0,0783099722222222","1,4394025477546292e-06","407,75","7,494784791666664e-06","18,7","3,4372158333333323e-07","749,27","1,3772206991666662e-05","2,3550509490127563e-11","4,7101018980255125e-11","1,0800601531953046e-12","2,1601203063906093e-12","4,3275757806665556e-11","8,655151561333111e-11"
"2024-09-15 23:04:32+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","3","1","318243","1.0039","66,148","65.9","0","17924718732","17.85","42.5","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0039","1,8374444444444444e-05","0.00020785374697950937","5,773715193875261e-11","3.154507718944329e-06","","","","","","","","17.855083904771394","3.690322899288214","DE","0,0925999999999999","1,7014735555555537e-06","0,0783099722222222","1,4389022340432094e-06","0,0549099999999999","1,0089407444444426e-06","0,0518570416666666","9,528443311574062e-07","0,0923499999999999","1,6968799444444423e-06","0,0950131388888888","1,7458136420061713e-06","0,0925999999999999","1,7014735555555537e-06","0,0783099722222222","1,4389022340432094e-06","407,75","7,492179722222222e-06","18,7","3,4360211111111104e-07","749,27","1,3767419988888889e-05","2,3542323703026377e-11","7,062697110907913e-11","1,0796847412546738e-12","3,2390542237640213e-12","4,326071583314917e-11","1,297821474994475e-10"
"2024-09-15 23:04:33+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","4","1","318243","1.0081","66,395","65.9","0","17924718732","17.78","42.5","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0081","1,844305555555556e-05","0.00020862988345383873","5,795274540384409e-11","3.1677051812608605e-06","","","","","","","","17.78069510167642","3.7041027528911075","DE","0,0925999999999999","1,707826944444443e-06","0,0783099722222222","1,4442751682484566e-06","0,0549099999999999","1,012708180555554e-06","0,0518570416666666","9,564023004050915e-07","0,0923499999999999","1,703216180555554e-06","0,0950131388888888","1,7523325990354923e-06","0,0925999999999999","1,707826944444443e-06","0,0783099722222222","1,4442751682484566e-06","407,75","7,52015590277778e-06","18,7","3,44885138888889e-07","749,27","1,3818828236111116e-05","2,3630231938417426e-11","9,45209277536697e-11","1,0837163390518844e-12","4,3348653562075376e-12","4,342225354873826e-11","1,7368901419495304e-10"
"2024-09-15 23:04:34+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","5","1","318243","1.0077","66,417","65.9","0","17924718732","17.79","42.5","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0077","1,8449166666666663e-05","0.0002086990130183539","5,7971948060653866e-11","3.1664482800878573e-06","","","","","","","","17.787753033640964","3.705330108272742","DE","0,0925999999999999","1,7083928333333311e-06","0,0783099722222222","1,4447537291898145e-06","0,0549099999999999","1,0130437416666647e-06","0,0518570416666666","9,567192045486098e-07","0,0923499999999999","1,7037805416666646e-06","0,0950131388888888","1,7529132348842574e-06","0,0925999999999999","1,7083928333333311e-06","0,0783099722222222","1,4447537291898145e-06","407,75","7,522647708333332e-06","18,7","3,449994166666666e-07","749,27","1,382340710833333e-05","2,3638061821731612e-11","1,1819030910865806e-10","1,0840754287342273e-12","5,4203771436711365e-12","4,343664152340612e-11","2,1718320761703059e-10"
"2024-09-15 23:04:35+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","6","1","318243","1.0074","66,364","65.9","0","17924718732","17.79","42.4","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0074","1,8434444444444447e-05","0.000208532473612931","5,792568711470306e-11","3.1655056042081054e-06","","","","","","","","17.793050160810004","3.7023732975806234","DE","0,0925999999999999","1,707029555555554e-06","0,0783099722222222","1,443600832376543e-06","0,0549099999999999","1,0122353444444428e-06","0,0518570416666666","9,559557536574063e-07","0,0923499999999999","1,7024209444444428e-06","0,0950131388888888","1,751514430339505e-06","0,0925999999999999","1,707029555555554e-06","0,0783099722222222","1,443600832376543e-06","407,75","7,516644722222223e-06","18,7","3,447241111111111e-07","749,27","1,381237618888889e-05","2,3619198921020173e-11","1,4171519352612103e-10","1,083210349044947e-12","6,499262094269683e-12","4,340197958443356e-11","2,6041187750660134e-10"
"2024-09-15 23:04:36+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","7","1","318243","1.0078","66,351","65.8","0","17924718732","17.79","42.2","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0078","1,8430833333333333e-05","0.0002084916243248084","5,7914340090224546e-11","3.1667625053811082e-06","","","","","","","","17.785988025401863","3.701648042127839","DE","0,0925999999999999","1,7066951666666648e-06","0,0783099722222222","1,4433180463657404e-06","0,0549099999999999","1,0120370583333316e-06","0,0518570416666666","9,557684921180544e-07","0,0923499999999999","1,7020874583333316e-06","0,0950131388888888","1,7511713273379614e-06","0,0925999999999999","1,7066951666666648e-06","0,0783099722222222","1,4433180463657404e-06","407,75","7,515172291666667e-06","18,7","3,4465658333333336e-07","749,27","1,3809670491666666e-05","2,3614572171789056e-11","1,6530200520252339e-10","1,0829981596871989e-12","7,580987117810392e-12","4,3393477599402545e-11","3,0375434319581784e-10"
"2024-09-15 23:04:37+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","8","1","318243","1.0082","66,322","65.8","0","17924718732","17.78","42.1","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0082","1,842277777777777e-05","0.00020840049898976568","5,7889027497157126e-11","3.168019406554111e-06","","","","","","","","17.77893149375124","3.7000301645793217","DE","0,0925999999999999","1,7059492222222202e-06","0,0783099722222222","1,44268721603395e-06","0,0549099999999999","1,0115947277777755e-06","0,0518570416666666","9,553507548379615e-07","0,0923499999999999","1,7013435277777757e-06","0,0950131388888888","1,750405943719134e-06","0,0925999999999999","1,7059492222222202e-06","0,0783099722222222","1,44268721603395e-06","407,75","7,511887638888886e-06","18,7","3,445059444444443e-07","749,27","1,380363470555555e-05","2,360425096196582e-11","1,8883400769572657e-10","1,0825248141968381e-12","8,660198513574705e-12","4,337451163279492e-11","3,4699609306235937e-10"
"2024-09-15 23:04:38+02:00","rock-tobefilledbyoem","AMD Ryzen Threadripper 3970X 32-Core Processor","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","9","1","318243","1.0088","66,357","65.8","0","17924718732","17.77","42.0","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=318243","1,0088","1,84325e-05","0.00020851047784240344","5,791957717844539e-11","3.1699047583136152e-06","","","","","","","","17.7683571887391","3.7019827754137395","DE","0,0925999999999999","1,7068494999999982e-06","0,0783099722222222","1,4434485629861109e-06","0,0549099999999999","1,0121285749999983e-06","0,0518570416666666","9,55854920520832e-07","0,0923499999999999","1,7022413749999983e-06","0,0950131388888888","1,7513296825694428e-06","0,0925999999999999","1,7068494999999982e-06","0,0783099722222222","1,4434485629861109e-06","407,75","7,515851875e-06","18,7","3,4468775e-07","749,27","1,3810919274999999e-05","2,3616707594511108e-11","2,1255036835059997e-10","1,0830960932369288e-12","9,74786483913236e-12","4,3397401592493775e-11","3,9057661433244397e-10"
