"timestamp","host","cpu_model","backend","library","library_version","impl","workload","dtype","pattern","nrows","ncols","nnz","num_threads","batches","seconds_target","passes_e2e","seconds_kernel","energy_j","avg_power_w","below_target","bytes_total","bw_gb_s","temp_c","time_mode","energy_mode","omp_proc_bind","omp_places","energy_domain","numa_policy","notes","seconds_wall","kWh_e2e","energy_per_pass_j","kWh_per_pass","seconds_per_pass","M","K","N","flops_per_pass","joule_per_gflop","gflops","flops_per_watt","gb_per_s_kernel","j_per_gb_kernel","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_ci_g_per_kwh","de_co2_job_kg","fr_ci_g_per_kwh","fr_co2_job_kg","pl_ci_g_per_kwh","pl_co2_job_kg","de_co2_per_pass_kg","de_co2_job_from_passes_kg","fr_co2_per_pass_kg","fr_co2_job_from_passes_kg","pl_co2_per_pass_kg","pl_co2_job_from_passes_kg"
"2024-09-15 22:59:45+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","0","1","369834","1.0038","86,195","85.9","0","20830530216","20.75","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","1,0038","2,3943055555555552e-05","0.00023306402331856992","6,474000647738054e-11","2.7141906909586466e-06","","","","","","","","20.75167385534967","4.137916755176655","DE","0,10711","2,5645406805555557e-06","0,0783099722222222","1,8749800154706785e-06","0,06074","1,4543011944444442e-06","0,0518570416666666","1,2416160295717575e-06","0,10712","2,5647801111111108e-06","0,0950131388888888","2,2749048629243803e-06","0,10711","2,5645406805555557e-06","0,0783099722222222","1,8749800154706785e-06","385,82","9,237709694444444e-06","17,88","4,2810183333333325e-07","742,24","1,7771493555555552e-05","2,497798929910296e-11","0,0","1,157551315815564e-12","0,0","4,805262240777093e-11","0,0"
"2024-09-15 22:59:46+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","1","1","369834","1.0046","86,547","86.1","0","20830530216","20.73","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","1,0046","2,404083333333333e-05","0.00023401580168399877","6,500438935666631e-11","2.716353823607348e-06","","","","","","","","20.735148532749356","4.154815028833157","DE","0,10711","2,575013658333333e-06","0,0783099722222222","1,8826369905324067e-06","0,06074","1,4602402166666664e-06","0,0518570416666666","1,246686495868054e-06","0,10712","2,5752540666666663e-06","0,0950131388888888","2,284195036504628e-06","0,10711","2,575013658333333e-06","0,0783099722222222","1,8826369905324067e-06","385,82","9,275434316666665e-06","17,88","4,298500999999999e-07","742,24","1,7844068133333333e-05","2,5079993501588993e-11","2,5079993501588993e-11","1,1622784816971936e-12","1,1622784816971936e-12","4,8248857956092e-11","4,8248857956092e-11"
"2024-09-15 22:59:47+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","2","1","369834","0.9985","86,036","86.2","0","20830530216","20.86","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","0,9985","2,389888888888889e-05","0.00023263410070464046","6,46205835290668e-11","2.699859937160997e-06","","","","","","","","20.861822950425637","4.130283728155679","DE","0,10711","2,559809988888889e-06","0,0783099722222222","1,871521325030864e-06","0,06074","1,4516185111111112e-06","0,0518570416666666","1,2393256768981466e-06","0,10712","2,560048977777778e-06","0,0950131388888888","2,2707084492901217e-06","0,10711","2,559809988888889e-06","0,0783099722222222","1,871521325030864e-06","385,82","9,220669311111112e-06","17,88","4,273121333333333e-07","742,24","1,7738711288888888e-05","2,493191353718455e-11","4,98638270743691e-11","1,1554160334997142e-12","2,3108320669994285e-12","4,796398191861454e-11","9,592796383722908e-11"
"2024-09-15 22:59:48+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","3","1","369834","0.9983","85,747","85.9","0","20830530216","20.87","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","0,9983","2,381861111111111e-05","0.00023185266903529692","6,440351917647137e-11","2.699319153998821e-06","","","","","","","","20.866002420114192","4.116409861432017","DE","0,10711","2,551211436111111e-06","0,0783099722222222","1,865234774483024e-06","0,06074","1,446742438888889e-06","0,0518570416666666","1,2351627088310171e-06","0,10712","2,5514496222222225e-06","0,0950131388888888","2,26308100564043e-06","0,10711","2,551211436111111e-06","0,0783099722222222","1,865234774483024e-06","385,82","9,189696538888888e-06","17,88","4,2587676666666667e-07","742,24","1,767912591111111e-05","2,4848165768666186e-11","7,454449730599856e-11","1,1515349228753079e-12","3,4546047686259237e-12","4,780286807354411e-11","1,4340860422063233e-10"
"2024-09-15 22:59:49+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","4","1","369834","0.9984","86,178","86.3","0","20830530216","20.86","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","0,9984","2,393833333333333e-05","0.00023301805674978503","6,47272379860514e-11","2.699589545579909e-06","","","","","","","","20.86391247596154","4.137100645369381","DE","0,10711","2,564034883333333e-06","0,0783099722222222","1,874610218379629e-06","0,06074","1,4540143666666666e-06","0,0518570416666666","1,241371149097221e-06","0,10712","2,5642742666666664e-06","0,0950131388888888","2,274456189768516e-06","0,10711","2,564034883333333e-06","0,0783099722222222","1,874610218379629e-06","385,82","9,235887766666666e-06","17,88","4,2801739999999993e-07","742,24","1,776798853333333e-05","2,4973062959778352e-11","9,989225183911341e-11","1,1573230151905989e-12","4,6292920607623956e-12","4,804314512276679e-11","1,9217258049106715e-10"
"2024-09-15 22:59:50+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","5","1","369834","1.0001","85,894","85.9","0","20830530216","20.83","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","1,0001","2,385944444444445e-05","0.0002322501446594959","6,451392907208219e-11","2.7041862024584003e-06","","","","","","","","20.828447371262875","4.123466810941977","DE","0,10711","2,555585094444445e-06","0,0783099722222222","1,8684324316820989e-06","0,06074","1,449222655555556e-06","0,0518570416666666","1,2372802046990728e-06","0,10712","2,5558236888888896e-06","0,0950131388888888","2,2669607088117268e-06","0,10711","2,555585094444445e-06","0,0783099722222222","1,8684324316820989e-06","385,82","9,205450855555557e-06","17,88","4,266068666666667e-07","742,24","1,770943404444445e-05","2,489076411459075e-11","1,2445382057295376e-10","1,1535090518088296e-12","5,767545259044148e-12","4,788481871446229e-11","2,3942409357231147e-10"
"2024-09-15 22:59:51+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","6","1","369834","1.0009","85,973","85.9","0","20830530216","20.81","72","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","1,0009","2,388138888888889e-05","0.0002324637540085552","6,457326500237645e-11","2.706349335107102e-06","","","","","","","","20.811799596363272","4.127259321222839","DE","0,10711","2,5579355638888887e-06","0,0783099722222222","1,870150900516975e-06","0,06074","1,4505555611111112e-06","0,0518570416666666","1,23841817866898e-06","0,10712","2,558174377777778e-06","0,0950131388888888","2,269045719359566e-06","0,10711","2,5579355638888887e-06","0,0783099722222222","1,870150900516975e-06","385,82","9,213917461111111e-06","17,88","4,269992333333333e-07","742,24","1,772572208888889e-05","2,4913657103216882e-11","1,494819426193013e-10","1,1545699782424908e-12","6,9274198694549446e-12","4,792886021536389e-11","2,8757316129218333e-10"
"2024-09-15 22:59:52+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","7","1","369834","0.9997","86,206","86.2","0","20830530216","20.84","72","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","0,9997","2,394611111111112e-05","0.00023309376639248962","6,474826844235823e-11","2.7031046361340496e-06","","","","","","","","20.83678125037511","4.1384448262284215","DE","0,10711","2,564867961111112e-06","0,0783099722222222","1,875219295941358e-06","0,06074","1,4544867888888892e-06","0,0518570416666666","1,2417744816435174e-06","0,10712","2,565107422222223e-06","0,0950131388888888","2,275195180848764e-06","0,10711","2,564867961111112e-06","0,0783099722222222","1,875219295941358e-06","385,82","9,238888588888892e-06","17,88","4,281564666666668e-07","742,24","1,7773761511111118e-05","2,4981176930430655e-11","1,748682385130146e-10","1,157699039749365e-12","8,103893278245555e-12","4,805875476865597e-11","3,364112833805918e-10"
"2024-09-15 22:59:53+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","8","1","369834","1.0012","86,099","86.0","0","20830530216","20.8","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","1,0012","2,391638888888889e-05","0.00023280444740072574","6,466790205575714e-11","2.7071605098503655e-06","","","","","","","","20.805563539752296","4.133308135088519","DE","0,10711","2,561684413888889e-06","0,0783099722222222","1,8728917495447529e-06","0,06074","1,452681461111111e-06","0,0518570416666666","1,2402331751273137e-06","0,10712","2,561923577777778e-06","0,0950131388888888","2,2723711792206773e-06","0,10711","2,561684413888889e-06","0,0783099722222222","1,8728917495447529e-06","385,82","9,227421161111111e-06","17,88","4,2762503333333336e-07","742,24","1,775170048888889e-05","2,495016997115222e-11","1,9960135976921777e-10","1,1562620887569377e-12","9,250096710055501e-12","4,7999103621865184e-11","3,8399282897492147e-10"
"2024-09-15 22:59:54+02:00","rock-ms7a95","Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz","cpu","OpenMP","native-omp","omp","spmv","fp32","STENCIL_5PT_2D","1024","1024","4992","10","9","1","369834","0.9983","86,092","86.2","0","20830530216","20.87","71","kernel","kernel","spread","cores","rapl_pkg","first_touch","byte_model=csr_theoretical;hint=off;","0,9983","2,3914444444444445e-05","0.00023278551999004958","6,466264444168044e-11","2.699319153998821e-06","","","","","","","","20.866002420114192","4.132972089873759","DE","0,10711","2,5614761444444444e-06","0,0783099722222222","1,8727394801543209e-06","0,06074","1,4525633555555556e-06","0,0518570416666666","1,2401323419907392e-06","0,10712","2,561715288888889e-06","0,0950131388888888","2,2721864314506152e-06","0,10711","2,5614761444444444e-06","0,0783099722222222","1,8727394801543209e-06","385,82","9,226670955555556e-06","17,88","4,2759026666666664e-07","742,24","1,7750257244444446e-05","2,4948141478489147e-11","2,2453327330640232e-10","1,1561680826172464e-12","1,0405512743555217e-11","4,7995201210392896e-11","4,3195681089353604e-10"
