problem_size,objective,configuration,num_threads,value,exact_winner,within_2pct
1,runtime,gpu_resident,-1,0.0003114451813407476,True,True
1,energy,gpu_resident,-1,0.10657707754093296,True,True
1,edp,gpu_resident,-1,3.318029078511065e-05,True,True
1,throughput,gpu_resident,-1,23756.194603481297,True,True
1,energy_efficiency,gpu_resident,-1,69.42169819262313,True,True
2,runtime,gpu_resident,-1,0.00028930701872119814,True,True
2,energy,gpu_resident,-1,0.09798516705069125,True,True
2,edp,gpu_resident,-1,2.8346523125624988e-05,True,True
2,throughput,gpu_resident,-1,12787.0251647826,True,True
2,energy_efficiency,gpu_resident,-1,37.75447020705474,True,True
3,runtime,gpu_resident,-1,0.00023803481423529413,True,True
3,energy,gpu_resident,-1,0.07847484648086916,True,True
3,edp,gpu_resident,-1,1.8652604101657136e-05,True,True
3,throughput,gpu_resident,-1,15541.323829752284,True,True
3,energy_efficiency,gpu_resident,-1,47.140916220792896,True,True
4,runtime,gpu_resident,-1,0.00030624479185727355,True,True
4,energy,gpu_resident,-1,0.10012946020128088,True,True
4,edp,gpu_resident,-1,3.067337682275305e-05,True,True
4,throughput,gpu_resident,-1,12079.800980829914,True,True
4,energy_efficiency,gpu_resident,-1,36.945960126450636,True,True
5,runtime,gpu_resident,-1,0.0004733076907677815,True,True
5,energy,gpu_resident,-1,0.1587692853762423,True,True
5,edp,gpu_resident,-1,7.516846282475107e-05,True,True
5,throughput,gpu_resident,-1,15957.68054811591,True,True
5,energy_efficiency,gpu_resident,-1,47.57152202183882,True,True
6,runtime,gpu_resident,-1,0.0007474163896627566,True,True
6,energy,gpu_resident,-1,0.2526645894428152,True,True
6,edp,gpu_resident,-1,0.00018885888823845927,True,True
6,throughput,gpu_resident,-1,17598.406358241613,True,True
6,energy_efficiency,gpu_resident,-1,52.05854039199496,True,True
