schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T15:33:24,"20260719_152731_session4",1,1,1,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,0.999425,0.999414,0.999425,336.804000,336.804000,-1.000000,2.532360902e-01,3.369976594e+02,1.474028047e-11,7.514388694e-01,7.514476233e-01,2.284922601e+13,22862.630460,50331648.000000,336.997659,in_range,4,16,1695,1695,1695,9501,63,62,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:25,"20260719_152731_session4",2,2,2,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,0.998935,0.998922,0.998935,336.089000,336.089000,-1.000000,2.526984962e-01,3.364473245e+02,1.470898838e-11,7.510693084e-01,7.510789293e-01,2.284922601e+13,22873.879936,50331648.000000,336.447324,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:26,"20260719_152731_session4",3,3,3,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.000136,1.000125,1.000136,332.987000,332.987000,-1.000000,2.503661654e-01,3.329415961e+02,1.457322886e-11,7.519739596e-01,7.519822346e-01,2.284922601e+13,22846.361853,50331648.000000,332.941596,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:27,"20260719_152731_session4",4,4,4,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001182,1.001170,1.001182,336.146000,336.146000,-1.000000,2.527413534e-01,3.357490325e+02,1.471148300e-11,7.527593398e-01,7.527686722e-01,2.284922601e+13,22822.525443,50331648.000000,335.749033,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:28,"20260719_152731_session4",5,5,5,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001571,1.001559,1.001571,334.206000,334.206000,-1.000000,2.512827068e-01,3.336818522e+02,1.462657859e-11,7.530518037e-01,7.530607526e-01,2.284922601e+13,22813.661822,50331648.000000,333.681852,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:29,"20260719_152731_session4",6,6,6,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,0.999905,0.999893,0.999905,333.285000,333.285000,-1.000000,2.505902256e-01,3.333166047e+02,1.458627088e-11,7.517992522e-01,7.518084068e-01,2.284922601e+13,22851.671021,50331648.000000,333.316605,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:30,"20260719_152731_session4",7,7,7,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001830,1.001818,1.001830,334.706000,334.706000,-1.000000,2.516586466e-01,3.340947626e+02,1.464846117e-11,7.532467032e-01,7.532552880e-01,2.284922601e+13,22807.758881,50331648.000000,334.094763,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:31,"20260719_152731_session4",8,8,8,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001543,1.001531,1.001543,333.258000,333.258000,-1.000000,2.505699248e-01,3.327446967e+02,1.458508922e-11,7.530311068e-01,7.530395744e-01,2.284922601e+13,22814.288850,50331648.000000,332.744697,in_range,4,16,1695,1695,1695,9501,63,63,63,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:32,"20260719_152731_session4",9,9,9,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001535,1.001519,1.001535,329.520000,329.520000,-1.000000,2.477593985e-01,3.290148135e+02,1.442149506e-11,7.530218827e-01,7.530341744e-01,2.284922601e+13,22814.568313,50331648.000000,329.014814,in_range,4,16,1695,1695,1695,9501,64,63,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T15:33:33,"20260719_152731_session4",10,10,10,"GEMM","cublas_gemm_ex_fp32_pedantic",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2048,"N=2048",1330,1.001707,1.001695,1.001707,332.926000,332.926000,-1.000000,2.503203008e-01,3.323585062e+02,1.457055919e-11,7.531543244e-01,7.531635150e-01,2.284922601e+13,22810.556386,50331648.000000,332.358506,in_range,4,16,1695,1695,1695,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
