schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T11:35:55,"20260721_112843_session5",1,1,1,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000656,1.000661,1.000656,351.569000,351.569000,-1.000000,5.394479224e-03,3.513384145e+02,2.697239612e-09,1.535415532e-02,1.535408313e-02,1.303440000e+11,130.257898,12000000.000000,351.338414,in_range,4,16,1927,1920,1935,9501,65,64,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:35:56,"20260721_112843_session5",2,2,2,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000723,1.000728,1.000723,383.532000,383.532000,-1.000000,5.884919904e-03,3.832548328e+02,2.942459952e-09,1.535517613e-02,1.535510945e-02,1.303440000e+11,130.249239,12000000.000000,383.254833,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:35:57,"20260721_112843_session5",3,3,3,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000632,1.000636,1.000632,351.412000,351.412000,-1.000000,5.392070214e-03,3.511898984e+02,2.696035107e-09,1.535377790e-02,1.535371672e-02,1.303440000e+11,130.261100,12000000.000000,351.189898,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:35:58,"20260721_112843_session5",4,4,4,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000526,1.000530,1.000526,349.021000,349.021000,-1.000000,5.355382680e-03,3.488376265e+02,2.677691340e-09,1.535214367e-02,1.535207865e-02,1.303440000e+11,130.274966,12000000.000000,348.837627,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:35:59,"20260721_112843_session5",5,5,5,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000539,1.000544,1.000539,346.885000,346.885000,-1.000000,5.322607868e-03,3.466980102e+02,2.661303934e-09,1.535236375e-02,1.535228848e-02,1.303440000e+11,130.273099,12000000.000000,346.698010,in_range,4,16,1927,1935,1920,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:00,"20260721_112843_session5",6,6,6,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000732,1.000736,1.000732,343.887000,343.887000,-1.000000,5.276606518e-03,3.436354410e+02,2.638303259e-09,1.535530069e-02,1.535524538e-02,1.303440000e+11,130.248182,12000000.000000,343.635441,in_range,4,16,1920,1920,1920,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:01,"20260721_112843_session5",7,7,7,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000802,1.000807,1.000802,348.324000,348.324000,-1.000000,5.344687903e-03,3.480448757e+02,2.672343951e-09,1.535640205e-02,1.535631833e-02,1.303440000e+11,130.238841,12000000.000000,348.044876,in_range,4,16,1927,1920,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:02,"20260721_112843_session5",8,8,8,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.001083,1.001090,1.001083,345.661000,345.661000,-1.000000,5.303826797e-03,3.452870376e+02,2.651913398e-09,1.536073815e-02,1.536063107e-02,1.303440000e+11,130.202076,12000000.000000,345.287038,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:03,"20260721_112843_session5",9,9,9,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000644,1.000650,1.000644,349.028000,349.028000,-1.000000,5.355490088e-03,3.488033755e+02,2.677745044e-09,1.535398207e-02,1.535389410e-02,1.303440000e+11,130.259368,12000000.000000,348.803376,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:04,"20260721_112843_session5",10,10,10,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,1000000,"elements=1000000",65172,1.000626,1.000627,1.000626,346.844000,346.844000,-1.000000,5.321978764e-03,3.466268826e+02,2.660989382e-09,1.535363649e-02,1.535362383e-02,1.303440000e+11,130.262300,12000000.000000,346.626883,in_range,4,16,1935,1935,1935,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:07,"20260721_112843_session5",11,11,1,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000176,1.000177,1.000176,358.271000,358.271000,-1.000000,4.171762925e-02,3.582080320e+02,2.607351828e-09,1.164621141e-01,1.164620151e-01,1.374080000e+11,137.383733,96000000.000000,358.208032,in_range,4,16,1890,1890,1890,9501,65,64,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:08,"20260721_112843_session5",12,12,2,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000170,1.000175,1.000170,354.611000,354.611000,-1.000000,4.129145319e-02,3.545508646e+02,2.580715824e-09,1.164618796e-01,1.164612960e-01,1.374080000e+11,137.384010,96000000.000000,354.550865,in_range,4,16,1890,1890,1890,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:09,"20260721_112843_session5",13,13,3,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000193,1.000196,1.000193,355.132000,355.132000,-1.000000,4.135211924e-02,3.550633322e+02,2.584507452e-09,1.164643812e-01,1.164640657e-01,1.374080000e+11,137.381059,96000000.000000,355.063332,in_range,4,16,1890,1890,1890,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:10,"20260721_112843_session5",14,14,4,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000059,1.000065,1.000059,353.071000,353.071000,-1.000000,4.111213321e-02,3.530500006e+02,2.569508326e-09,1.164491153e-01,1.164484723e-01,1.374080000e+11,137.399069,96000000.000000,353.050001,in_range,4,16,1897,1890,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:11,"20260721_112843_session5",15,15,5,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000239,1.000238,1.000239,349.818000,349.818000,-1.000000,4.073334886e-02,3.497345086e+02,2.545834304e-09,1.164692709e-01,1.164693442e-01,1.374080000e+11,137.375291,96000000.000000,349.734509,in_range,4,16,1905,1905,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:12,"20260721_112843_session5",16,16,6,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000210,1.000216,1.000210,354.394000,354.394000,-1.000000,4.126618537e-02,3.543194430e+02,2.579136586e-09,1.164666484e-01,1.164660483e-01,1.374080000e+11,137.378384,96000000.000000,354.319443,in_range,4,16,1905,1905,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:13,"20260721_112843_session5",17,17,7,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000193,1.000198,1.000193,352.657000,352.657000,-1.000000,4.106392641e-02,3.525888876e+02,2.566495401e-09,1.164646300e-01,1.164640403e-01,1.374080000e+11,137.380765,96000000.000000,352.588888,in_range,4,16,1905,1905,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:14,"20260721_112843_session5",18,18,8,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000218,1.000224,1.000218,354.513000,354.513000,-1.000000,4.128004192e-02,3.544358524e+02,2.580002620e-09,1.164675936e-01,1.164668914e-01,1.374080000e+11,137.377270,96000000.000000,354.435852,in_range,4,16,1912,1905,1920,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:15,"20260721_112843_session5",19,19,9,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000153,1.000154,1.000153,352.918000,352.918000,-1.000000,4.109431765e-02,3.528641180e+02,2.568394853e-09,1.164594916e-01,1.164593269e-01,1.374080000e+11,137.386827,96000000.000000,352.864118,in_range,4,16,1912,1920,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:16,"20260721_112843_session5",20,20,10,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,8000000,"elements=8000000",8588,1.000147,1.000152,1.000147,350.199000,350.199000,-1.000000,4.077771309e-02,3.501474779e+02,2.548607068e-09,1.164592500e-01,1.164586800e-01,1.374080000e+11,137.387112,96000000.000000,350.147478,in_range,4,16,1905,1905,1905,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:18,"20260721_112843_session5",21,21,1,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000234,1.000226,1.000234,351.824000,351.824000,-1.000000,1.100103186e-02,3.517415817e+02,2.750257966e-09,3.127562328e-02,3.127589240e-02,1.279240000e+11,127.895133,24000000.000000,351.741582,in_range,4,16,1920,1920,1920,9501,65,65,65,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:19,"20260721_112843_session5",22,22,2,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000252,1.000257,1.000252,349.686000,349.686000,-1.000000,1.093417967e-02,3.495979010e+02,2.733544917e-09,3.127658706e-02,3.127644542e-02,1.279240000e+11,127.891192,24000000.000000,349.597901,in_range,4,16,1920,1920,1920,9501,65,65,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:20,"20260721_112843_session5",23,23,3,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000215,1.000221,1.000215,347.628000,347.628000,-1.000000,1.086982896e-02,3.475532740e+02,2.717457240e-09,3.127546487e-02,3.127528864e-02,1.279240000e+11,127.895781,24000000.000000,347.553274,in_range,4,16,1912,1920,1905,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:21,"20260721_112843_session5",24,24,4,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000178,1.000184,1.000178,350.673000,350.673000,-1.000000,1.096504174e-02,3.506105415e+02,2.741260436e-09,3.127431406e-02,3.127413596e-02,1.279240000e+11,127.900487,24000000.000000,350.610542,in_range,4,16,1905,1905,1905,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:22,"20260721_112843_session5",25,25,5,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000303,1.000309,1.000303,348.523000,348.523000,-1.000000,1.089781433e-02,3.484175030e+02,2.724453582e-09,3.127821881e-02,3.127803349e-02,1.279240000e+11,127.884520,24000000.000000,348.417503,in_range,4,16,1905,1905,1905,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:23,"20260721_112843_session5",26,26,6,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000265,1.000268,1.000265,345.451000,345.451000,-1.000000,1.080175729e-02,3.453594818e+02,2.700439323e-09,3.127693822e-02,3.127685169e-02,1.279240000e+11,127.889756,24000000.000000,345.359482,in_range,4,16,1905,1905,1905,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:36:24,"20260721_112843_session5",27,27,7,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 3090",-1,2000000,"elements=2000000",31981,1.000322,1.000327,1.000322,349.737000,349.737000,-1.000000,1.093577437e-02,3.496244657e+02,2.733943592e-09,3.127879326e-02,3.127863019e-02,1.279240000e+11,127.882171,24000000.000000,349.624466,in_range,4,16,1905,1905,1905,9501,64,64,64,"0x4",-1,-1,-1.000000,-1,t
