problem_size,objective,configuration,num_threads,value,exact_winner,within_2pct
1,runtime,gpu_resident,-1,0.0007166533381088825,True,True
1,energy,gpu_resident,-1,0.1198900429799427,True,True
1,edp,gpu_resident,-1,8.592193468997175e-05,True,True
1,throughput,gpu_resident,-1,10324.032363465896,True,True
1,energy_efficiency,gpu_resident,-1,61.71284466186225,True,True
2,runtime,gpu_resident,-1,0.0005828563919627257,True,True
2,energy,gpu_resident,-1,0.09244638694638696,True,True
2,edp,gpu_resident,-1,5.388019495007685e-05,True,True
2,throughput,gpu_resident,-1,6346.977023933127,True,True
2,energy_efficiency,gpu_resident,-1,40.01645166782499,True,True
3,runtime,gpu_resident,-1,0.0004731176098644226,True,True
3,energy,gpu_resident,-1,0.08427002827521206,True,True
3,edp,gpu_resident,-1,3.983201198982845e-05,True,True
3,throughput,gpu_resident,-1,7819.1472079782725,True,True
3,energy_efficiency,gpu_resident,-1,43.89908734272027,True,True
4,runtime,gpu_resident,-1,0.0004846154214079074,True,True
4,energy,gpu_resident,-1,0.0861506518590053,True,True
4,edp,gpu_resident,-1,4.162082554943685e-05,True,True
4,throughput,gpu_resident,-1,7633.632727598928,True,True
4,energy_efficiency,gpu_resident,-1,42.940779434561065,True,True
5,runtime,gpu_resident,-1,0.0010487651956087825,True,True
5,energy,gpu_resident,-1,0.18623882820258192,True,True
5,edp,gpu_resident,-1,0.00019495080205945078,True,True
5,throughput,gpu_resident,-1,7201.700619497869,True,True
5,energy_efficiency,gpu_resident,-1,40.62781954757792,True,True
6,runtime,gpu_resident,-1,0.0012177912001216547,True,True
6,energy,gpu_resident,-1,0.21797195121951218,True,True
6,edp,gpu_resident,-1,0.00026581005757882745,True,True
6,throughput,gpu_resident,-1,10800.979324698306,True,True
6,energy_efficiency,gpu_resident,-1,60.344210460791956,True,True
