platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,primary_energy_per_op_j,total_energy_per_op_j,dram_energy_per_op_j,primary_power_w,total_power_w,edp_primary_j_s,edp_total_j_s,throughput_gflops_exact,primary_efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches,working_set_bytes,operational_intensity_flop_per_byte
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1,1000000,gpu_resident,-1,6.258617487122562e-06,6.258630439142419e-06,0.00040583257461430055,0.00040583257461430055,,64.82529226219648,64.82529226219648,2.5361510839845e-09,2.5361510839845e-09,159.7795386667882,2.4640681723126625,639.1194329047403,9.856292401815741,53.0,2752.0,2752.0,0.0,160358.0,4000004.0,0.2499995000005
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2,1000000,gpu_resident,-1,6.14706841610268e-06,6.147068751144879e-06,0.00040043397815356434,0.00040043397815356434,,65.14213904016047,65.14213904016047,2.462506585834642e-09,2.462506585834642e-09,162.679009296757,2.4972880811805096,650.7173386204038,9.989172303046665,54.0,2752.0,2752.0,0.0,162681.0,4000004.0,0.2499995000005
5060ti,RTX 5060 Ti,GPU,GPU board NVML,3,1000000,gpu_resident,-1,6.147174095315372e-06,6.147093325618849e-06,0.0004025485459273056,0.0004025485459273056,,65.48561848365615,65.48561848365615,2.474517849573815e-09,2.474517849573815e-09,162.67621260565863,2.484172102413395,650.7061518336368,9.936708283050276,55.0,2752.0,2752.0,0.0,162681.0,4000004.0,0.2499995000005
5060ti,RTX 5060 Ti,GPU,GPU board NVML,4,1000000,gpu_resident,-1,6.147144887847997e-06,6.147089761373485e-06,0.0004071096194392707,0.0004071096194392707,,66.22628780936088,66.22628780936088,2.5026050501033893e-09,2.5026050501033893e-09,162.67698553854333,2.4563391881692045,650.709243571359,9.825376403409972,56.0,2752.0,2752.0,0.0,162681.0,4000004.0,0.2499995000005
5060ti,RTX 5060 Ti,GPU,GPU board NVML,5,1000000,gpu_resident,-1,6.147212209784794e-06,6.147165735949496e-06,0.0004093440537001863,0.0004093440537001863,,66.5902430008259,66.5902430008259,2.5163229140712624e-09,2.5163229140712624e-09,162.67520395942717,2.4429307991729456,650.7021172406419,9.77174274015772,56.0,2752.0,2752.0,0.0,162681.0,4000004.0,0.2499995000005
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1,2000000,gpu_resident,-1,8.1960527370483e-06,8.196063618935999e-06,0.0007244346821188253,0.0007244346821188253,,88.38818678199141,88.38818678199141,5.937508481211563e-09,5.937508481211563e-09,244.01978173706618,2.7607720221985663,976.0801030278797,11.043099131887875,57.0,2752.0,2752.0,0.0,122011.0,8000004.0,0.249999750000125
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2,2000000,gpu_resident,-1,8.196056425240346e-06,8.196068621394793e-06,0.0007239961970641991,0.0007239961970641991,,88.33469796216595,88.33469796216595,5.933913914416293e-09,5.933913914416293e-09,244.0196719291675,2.762444115047139,976.0796637958457,11.049787509970539,57.0,2760.0,2760.0,0.0,122011.0,8000004.0,0.249999750000125
5060ti,RTX 5060 Ti,GPU,GPU board NVML,3,2000000,gpu_resident,-1,8.19605447049856e-06,8.196066120185886e-06,0.0007296760128185164,0.0007296760128185164,,89.02767342185064,89.02767342185064,5.980467232473731e-09,5.980467232473731e-09,244.01973012735414,2.7409411409396274,976.0798965888251,10.963775527528554,59.0,2760.0,2760.0,0.0,122011.0,8000004.0,0.249999750000125
5060ti,RTX 5060 Ti,GPU,GPU board NVML,4,2000000,gpu_resident,-1,8.196145859799527e-06,8.196062868593816e-06,0.0007354623763431166,0.0007354623763431166,,89.73269977121805,89.73269977121805,6.027957571714335e-09,6.027957571714335e-09,244.01700923962437,2.7194070595452455,976.0690130270225,10.877639115814658,60.0,2745.0,2745.0,0.0,122011.0,8000004.0,0.249999750000125
5060ti,RTX 5060 Ti,GPU,GPU board NVML,5,2000000,gpu_resident,-1,8.196122062764833e-06,8.19605461458393e-06,0.0007337658080009181,0.0007337658080009181,,89.52591892466053,89.52591892466053,6.0140378055734526e-09,6.0140378055734526e-09,244.0177177309422,2.7256639397051314,976.0718469951278,10.902666661481735,60.0,2745.0,2745.0,0.0,122011.0,8000004.0,0.249999750000125
