schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,total_energy_j,device_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-22T05:17:14,reduction_5060ti_20260722_050953_session5,1,1,1,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000017281,1.00000848389,1.000017281,83.045,83.045,-1,0.00102015871456,83.0435649242,2.550397424e-10,0.0122845128481,0.0122846209154,325615918596,325.613156131,16000004,83.0435649242,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:15,reduction_5060ti_20260722_050953_session5,2,2,2,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000017211,1.00000817871,1.000017211,83.077,83.077,-1,0.00102055181564,83.0755701864,2.55138017693e-10,0.0122845090992,0.0122846200555,325615918596,325.613255499,16000004,83.0755701864,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:16,reduction_5060ti_20260722_050953_session5,3,3,3,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000019082,1.00000897217,1.000019082,83.108,83.108,-1,0.0010209326323,83.1064141634,2.55233221884e-10,0.0122845188463,0.0122846430397,325615918596,325.612997141,16000004,83.1064141634,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:17,reduction_5060ti_20260722_050953_session5,4,4,4,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000017263,1.00000952148,1.000017263,82.997,82.997,-1,0.00101956906295,82.9955672475,2.54892329459e-10,0.0122845255944,0.0122846206943,325615918596,325.612818279,16000004,82.9955672475,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:18,reduction_5060ti_20260722_050953_session5,5,5,5,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000016174,1.00000708008,1.000016174,83.026,83.026,-1,0.0010199253108,83.0246571592,2.54981391444e-10,0.0122844956031,0.0122846073166,325615918596,325.613613226,16000004,83.0246571592,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:19,reduction_5060ti_20260722_050953_session5,6,6,6,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000017855,1.00000909424,1.000017855,83.047,83.047,-1,0.00102018328338,83.0455172223,2.55045884606e-10,0.0122845203459,0.0122846279667,325615918596,325.612957394,16000004,83.0455172223,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:20,reduction_5060ti_20260722_050953_session5,7,7,7,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000015345,1.00000720215,1.000015345,83.008,83.008,-1,0.00101970419144,83.0067262618,2.54926111592e-10,0.0122844971027,0.0122845971328,325615918596,325.613573479,16000004,83.0067262618,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:21,reduction_5060ti_20260722_050953_session5,8,8,8,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000015616,1.00000701904,1.000015616,82.841,82.841,-1,0.0010176526952,82.8397063751,2.54413237403e-10,0.0122844948534,0.0122846004619,325615918596,325.6136331,16000004,82.8397063751,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:22,reduction_5060ti_20260722_050953_session5,9,9,9,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000018577,1.00000927734,1.000018577,82.842,82.842,-1,0.00101766497961,82.8404610728,2.54416308506e-10,0.0122845225953,0.012284636836,325615918596,325.612897773,16000004,82.8404610728,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:17:23,reduction_5060ti_20260722_050953_session5,10,10,10,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4000000,elements=4000000,81404,1.000024918,1.00001409912,1.000024918,82.574,82.574,-1,0.0010143727581,82.5719424723,2.53593252922e-10,0.0122845818279,0.0122847147315,325615918596,325.611327762,16000004,82.5719424723,in_range,4,8,2767,2767,2767,13801,58,58,58,0x0,-1,-1,-1,-1,true
