schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T11:45:40,"20260721_114533_session1",1,1,1,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000094,1.000060,1.000094,99.337000,99.337000,-1.000000,9.635014549e-02,9.932768296e+01,1.505471023e-09,9.699898839e-01,9.700230854e-01,6.598400000e+10,65.980070,384000000.000000,99.327683,in_range,4,8,2790,2790,2790,13801,53,52,53,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:41,"20260721_114533_session1",2,2,2,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000578,1.000545,1.000578,99.174000,99.174000,-1.000000,9.619204656e-02,9.911672907e+01,1.503000727e-09,9.704602868e-01,9.704925441e-01,6.598400000e+10,65.948088,384000000.000000,99.116729,in_range,4,8,2790,2790,2790,13801,53,53,53,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:42,"20260721_114533_session1",3,3,3,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000325,1.000291,1.000325,99.070000,99.070000,-1.000000,9.609117362e-02,9.903783726e+01,1.501424588e-09,9.702142518e-01,9.702470921e-01,6.598400000e+10,65.964811,384000000.000000,99.037837,in_range,4,8,2790,2790,2790,13801,53,53,53,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:43,"20260721_114533_session1",4,4,4,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000170,1.000135,1.000170,100.171000,100.171000,-1.000000,9.715906887e-02,1.001539600e+02,1.518110451e-09,9.700635287e-01,9.700971271e-01,6.598400000e+10,65.975061,384000000.000000,100.153960,in_range,4,8,2790,2790,2790,13801,53,53,53,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:44,"20260721_114533_session1",5,5,5,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000174,1.000139,1.000174,100.144000,100.144000,-1.000000,9.713288070e-02,1.001265635e+02,1.517701261e-09,9.700673175e-01,9.701010136e-01,6.598400000e+10,65.974803,384000000.000000,100.126563,in_range,4,8,2790,2790,2790,13801,53,53,53,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:45,"20260721_114533_session1",6,6,6,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000045,1.000012,1.000045,100.164000,100.164000,-1.000000,9.715227934e-02,1.001595033e+02,1.518004365e-09,9.699441815e-01,9.699756499e-01,6.598400000e+10,65.983178,384000000.000000,100.159503,in_range,4,8,2790,2790,2790,13801,54,53,54,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:46,"20260721_114533_session1",7,7,7,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000143,1.000112,1.000143,100.197000,100.197000,-1.000000,9.718428710e-02,1.001826911e+02,1.518504486e-09,9.700410327e-01,9.700706382e-01,6.598400000e+10,65.976591,384000000.000000,100.182691,in_range,4,8,2790,2790,2790,13801,54,54,54,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:47,"20260721_114533_session1",8,8,8,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000176,1.000147,1.000176,100.164000,100.164000,-1.000000,9.715227934e-02,1.001463833e+02,1.518004365e-09,9.700743623e-01,9.701027245e-01,6.598400000e+10,65.974324,384000000.000000,100.146383,in_range,4,8,2790,2790,2790,13801,54,54,54,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:48,"20260721_114533_session1",9,9,9,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000128,1.000098,1.000128,100.052000,100.052000,-1.000000,9.704364694e-02,1.000392163e+02,1.516306984e-09,9.700271207e-01,9.700560495e-01,6.598400000e+10,65.977537,384000000.000000,100.039216,in_range,4,8,2790,2790,2790,13801,54,54,54,"0x0",-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:45:49,"20260721_114533_session1",10,10,10,"STREAM","cuda_stream_triad_fp32",gpu_resident,"NVIDIA GeForce RTX 5060 Ti",-1,32000000,"elements=32000000",1031,1.000091,1.000063,1.000091,100.030000,100.030000,-1.000000,9.702230844e-02,1.000209116e+02,1.515973569e-09,9.699934359e-01,9.700202376e-01,6.598400000e+10,65.979828,384000000.000000,100.020912,in_range,4,8,2790,2790,2790,13801,54,54,54,"0x0",-1,-1,-1.000000,-1,t
