platform,platform_label,device_kind,problem_size,configuration,num_threads,runtime_per_op_s,total_energy_per_op_j,strict_pareto,practical_pareto_2pct
AMD,AMD Threadripper 3970X,CPU,1,1T,1,0.0580188854166666,4.513918666666667,False,False
AMD,AMD Threadripper 3970X,CPU,1,2T,2,0.0291960060857142,2.8118081,False,False
AMD,AMD Threadripper 3970X,CPU,1,4T,4,0.0143660886785714,1.9024574859154928,False,False
AMD,AMD Threadripper 3970X,CPU,1,8T,8,0.0071988618273381,1.436976713768116,False,False
AMD,AMD Threadripper 3970X,CPU,1,10T,10,0.0058883297836257,1.3504036666666668,False,False
AMD,AMD Threadripper 3970X,CPU,1,16T,16,0.0037927238890977,1.0872644022556393,False,False
AMD,AMD Threadripper 3970X,CPU,1,20T,20,0.0031414105815047,0.9009298228840126,False,False
AMD,AMD Threadripper 3970X,CPU,1,32T,32,0.0021982584226579,0.5786336383442265,False,False
AMD,AMD Threadripper 3970X,CPU,1,64T,64,0.0022112709112554,0.5902663311688312,False,False
INTEL,Intel Core i9-7900X,CPU,1,1T,1,0.0365683902321428,2.179030055555556,False,False
INTEL,Intel Core i9-7900X,CPU,1,2T,2,0.0189302079629629,1.490594461538462,False,False
INTEL,Intel Core i9-7900X,CPU,1,4T,4,0.0098639487621359,1.03561042,False,False
INTEL,Intel Core i9-7900X,CPU,1,8T,8,0.005496807090909,0.8130311546391753,False,False
INTEL,Intel Core i9-7900X,CPU,1,10T,10,0.0045561655357142,0.7349544012605043,False,False
INTEL,Intel Core i9-7900X,CPU,1,16T,16,0.0051019395048309,0.7997979468599035,False,False
INTEL,Intel Core i9-7900X,CPU,1,20T,20,0.0045348652400881,0.7182687139639639,False,False
3090,RTX 3090,GPU,1,gpu_resident,-1,0.0003114451813407,0.1065770775409329,True,True
5060ti,RTX 5060 Ti,GPU,1,gpu_resident,-1,0.0007166533381088,0.1198900429799427,False,False
AMD,AMD Threadripper 3970X,CPU,2,1T,1,0.0337962657833333,2.5258530500000003,False,False
AMD,AMD Threadripper 3970X,CPU,2,2T,2,0.016445322,1.51065818852459,False,False
AMD,AMD Threadripper 3970X,CPU,2,4T,4,0.0075068488571428,0.9603028421052632,False,False
AMD,AMD Threadripper 3970X,CPU,2,8T,8,0.0038291366278195,0.7276963679245283,False,False
AMD,AMD Threadripper 3970X,CPU,2,10T,10,0.0031099920869565,0.6817055,False,False
AMD,AMD Threadripper 3970X,CPU,2,16T,16,0.0019994620266798,0.5726117303149607,False,False
AMD,AMD Threadripper 3970X,CPU,2,20T,20,0.0016444488265802,0.4716930081037277,False,False
AMD,AMD Threadripper 3970X,CPU,2,32T,32,0.0011579776864988,0.3157316819221968,False,False
AMD,AMD Threadripper 3970X,CPU,2,64T,64,0.001190527613744,0.3022220253537735,False,False
INTEL,Intel Core i9-7900X,CPU,2,1T,1,0.0195394670490196,1.1776363,False,False
INTEL,Intel Core i9-7900X,CPU,2,2T,2,0.0101917221938775,0.8140106789473682,False,False
INTEL,Intel Core i9-7900X,CPU,2,4T,4,0.0053186961329787,0.562641539893617,False,False
INTEL,Intel Core i9-7900X,CPU,2,8T,8,0.0028661016988636,0.4258977485795454,False,False
INTEL,Intel Core i9-7900X,CPU,2,10T,10,0.0023674438376168,0.3934565298329355,False,False
INTEL,Intel Core i9-7900X,CPU,2,16T,16,0.0027300620365853,0.4201816717877095,False,False
INTEL,Intel Core i9-7900X,CPU,2,20T,20,0.0023610855511727,0.3791731833688699,False,False
3090,RTX 3090,GPU,2,gpu_resident,-1,0.0002893070187211,0.0979851670506912,True,True
5060ti,RTX 5060 Ti,GPU,2,gpu_resident,-1,0.0005828563919627,0.0924463869463869,True,True
AMD,AMD Threadripper 3970X,CPU,3,1T,1,0.0310757721666666,2.372895015151516,False,False
AMD,AMD Threadripper 3970X,CPU,3,2T,2,0.0149275039626865,1.4271104626865672,False,False
AMD,AMD Threadripper 3970X,CPU,3,4T,4,0.007419971537037,0.9717812888888888,False,False
AMD,AMD Threadripper 3970X,CPU,3,8T,8,0.0037727315770676,0.7390405582706767,False,False
AMD,AMD Threadripper 3970X,CPU,3,10T,10,0.0031042082962962,0.6967087593167702,False,False
AMD,AMD Threadripper 3970X,CPU,3,16T,16,0.0019796545701581,0.5679677262845849,False,False
AMD,AMD Threadripper 3970X,CPU,3,20T,20,0.0016642344595041,0.477626873553719,False,False
AMD,AMD Threadripper 3970X,CPU,3,32T,32,0.0011554848568985,0.3091019224629418,False,False
AMD,AMD Threadripper 3970X,CPU,3,64T,64,0.0011875674852594,0.2996115106257379,False,False
INTEL,Intel Core i9-7900X,CPU,3,1T,1,0.0188871943679245,1.1311252692307692,False,False
INTEL,Intel Core i9-7900X,CPU,3,2T,2,0.0091348010545454,0.7475416954545455,False,False
