problem_size,objective,platform_a,platform_b,a_over_b,b_over_a
1,edp,AMD,INTEL,0.39079880617650925,2.5588614504322136
1,edp,3090,AMD,0.0260833175725997,38.338681312935876
1,edp,3090,INTEL,0.010193329368494727,98.10337367207751
1,edp,3090,5060ti,0.38616787325417656,2.5895473685398933
1,edp,5060ti,AMD,0.06754398638291591,14.80516702598609
1,edp,5060ti,INTEL,0.026396109242845932,37.88437117000595
1,energy,AMD,INTEL,0.8055949355650998,1.2413186278269377
1,energy,3090,AMD,0.1841874901118878,5.429250376301523
1,energy,3090,INTEL,0.14838050922858373,6.739429627239492
1,energy,3090,5060ti,0.8889568715790933,1.1249139659876366
1,energy,5060ti,AMD,0.20719507998707232,4.826369429536617
1,energy,5060ti,INTEL,0.16691530711159122,5.991062277658274
1,energy_efficiency,AMD,INTEL,1.241318492533293,0.8055950233684119
1,energy_efficiency,3090,AMD,5.429257299705944,0.18418725523547416
1,energy_efficiency,3090,INTEL,6.739437486846359,0.14838033618558547
1,energy_efficiency,3090,5060ti,1.1249148953187835,0.8889561371810402
1,energy_efficiency,5060ti,AMD,4.826371596908561,0.20719498694226748
1,energy_efficiency,5060ti,INTEL,5.9910643150800365,0.1669152503475738
1,runtime,AMD,INTEL,0.4847461404641858,2.0629354553342387
1,runtime,3090,AMD,0.1416781476329492,7.05825151378134
1,runtime,3090,INTEL,0.06867793525318724,14.560717300446091
1,runtime,3090,5060ti,0.4345827540029087,2.3010577175211764
1,runtime,5060ti,AMD,0.3260095950149024,3.067394381304294
1,runtime,5060ti,INTEL,0.15803189293776618,6.32783662468566
1,throughput,AMD,INTEL,2.0629353116728004,0.48474617422158356
1,throughput,3090,AMD,7.058251586136423,0.14167814618058755
1,throughput,3090,INTEL,14.56071643571138,0.06867793933184607
1,throughput,3090,5060ti,2.30105774247167,0.43458274929070434
1,throughput,5060ti,AMD,3.0673943794886416,0.32600959520787404
1,throughput,5060ti,INTEL,6.327836180273796,0.15803190403654405
2,edp,AMD,INTEL,0.40075013312871893,2.4953204436710816
2,edp,3090,AMD,0.07886257798297722,12.680285448135537
2,edp,3090,INTEL,0.0316041886255521,31.64137551031753
2,edp,3090,5060ti,0.5261028315114616,1.9007690894326885
2,edp,5060ti,AMD,0.14989955054301798,6.671134078637689
2,edp,5060ti,INTEL,0.06007226483604959,16.64661724889547
2,energy,AMD,INTEL,0.7970553789395063,1.2546179681147305
2,energy,3090,AMD,0.3242158374658241,3.0843650569827914
2,energy,3090,INTEL,0.2584179771895118,3.869699820715825
2,energy,3090,5060ti,1.0599134296888904,0.9434732799767654
2,energy,5060ti,AMD,0.3058889795942949,3.2691599459592
2,energy,5060ti,INTEL,0.24381045654394964,4.101546808841394
2,energy_efficiency,AMD,INTEL,1.2546179790841476,0.7970553719706654
2,energy_efficiency,3090,AMD,3.084366645545354,0.32421567048271194
2,energy_efficiency,3090,INTEL,3.8697018475886633,0.2584178418353167
2,energy_efficiency,3090,5060ti,0.9434737122734701,1.0599129440398711
2,energy_efficiency,5060ti,AMD,3.2691601317783574,0.3058889622075564
2,energy_efficiency,5060ti,INTEL,4.101547077834229,0.2438104405540647
2,runtime,AMD,INTEL,0.49044291763322917,2.0389732709889716
2,runtime,3090,AMD,0.24983816363148878,4.00259105920663
2,runtime,3090,INTEL,0.12253135790755548,8.161176184421754
2,runtime,3090,5060ti,0.4963607206003057,2.0146638492880458
2,runtime,5060ti,AMD,0.5033399164408718,1.9867289824161438
