problem_size,objective,platform,configuration,value,best_value,penalty_vs_global_best_pct
1,edp,3090,gpu_resident,3.318029078511065e-05,3.318029078511065e-05,0.0
1,edp,5060ti,gpu_resident,8.592193468997175e-05,3.318029078511065e-05,158.95473685398935
1,edp,AMD,32T,0.0012720885942809,3.318029078511065e-05,3733.868131293588
1,edp,INTEL,20T,0.0032550984654399,3.318029078511065e-05,9710.33736720775
1,energy,3090,gpu_resident,0.1065770775409329,0.1065770775409329,0.0
1,energy,5060ti,gpu_resident,0.1198900429799427,0.1065770775409329,12.49139659876366
1,energy,AMD,32T,0.5786336383442265,0.1065770775409329,442.9250376301523
1,energy,INTEL,20T,0.7182687139639639,0.1065770775409329,573.9429627239492
1,energy_efficiency,3090,gpu_resident,69.42169819262313,69.42169819262313,0.0
1,energy_efficiency,5060ti,gpu_resident,61.71284466186225,69.42169819262313,12.491489531878353
1,energy_efficiency,AMD,32T,12.786592043884731,69.42169819262313,442.92572997059443
1,energy_efficiency,INTEL,20T,10.30081491639567,69.42169819262313,573.9437486846359
1,runtime,3090,gpu_resident,0.0003114451813407,0.0003114451813407,0.0
1,runtime,5060ti,gpu_resident,0.0007166533381088,0.0003114451813407,130.10577175211765
1,runtime,AMD,32T,0.0021982584226579,0.0003114451813407,605.825151378134
1,runtime,INTEL,20T,0.0045348652400881,0.0003114451813407,1356.0717300446092
1,throughput,3090,gpu_resident,23756.194603481297,23756.194603481297,0.0
1,throughput,5060ti,gpu_resident,10324.032363465896,23756.194603481297,130.105774247167
1,throughput,AMD,32T,3365.733611726508,23756.194603481297,605.8251586136423
1,throughput,INTEL,20T,1631.5264917334175,23756.194603481297,1356.0716435711379
2,edp,3090,gpu_resident,2.8346523125624988e-05,2.8346523125624988e-05,0.0
2,edp,5060ti,gpu_resident,5.388019495007685e-05,2.8346523125624988e-05,90.07690894326885
2,edp,AMD,64T,0.0003594420046951,2.8346523125624988e-05,1168.0285448135537
2,edp,INTEL,20T,0.0008969229826298,2.8346523125624988e-05,3064.137551031753
2,energy,3090,gpu_resident,0.0979851670506912,0.0924463869463869,5.991342968889035
2,energy,5060ti,gpu_resident,0.0924463869463869,0.0924463869463869,0.0
2,energy,AMD,64T,0.3022220253537735,0.0924463869463869,226.91599459592
2,energy,INTEL,20T,0.3791731833688699,0.0924463869463869,310.1546808841394
2,energy_efficiency,3090,gpu_resident,37.75447020705474,40.01645166782499,5.991294403987113
2,energy_efficiency,5060ti,gpu_resident,40.01645166782499,40.01645166782499,0.0
2,energy_efficiency,AMD,64T,12.240590871899824,40.01645166782499,226.91601317783574
2,energy_efficiency,INTEL,20T,9.756428710542847,40.01645166782499,310.1547077834229
2,runtime,3090,gpu_resident,0.0002893070187211,0.0002893070187211,0.0
2,runtime,5060ti,gpu_resident,0.0005828563919627,0.0002893070187211,101.46638492880457
2,runtime,AMD,32T,0.0011579776864988,0.0002893070187211,300.25910592066293
2,runtime,INTEL,20T,0.0023610855511727,0.0002893070187211,716.1176184421754
2,throughput,3090,gpu_resident,12787.0251647826,12787.0251647826,0.0
2,throughput,5060ti,gpu_resident,6346.977023933127,12787.0251647826,101.46638496666043
2,throughput,AMD,32T,3194.686896914987,12787.0251647826,300.2591044878497
2,throughput,INTEL,20T,1566.8118156473274,12787.0251647826,716.1174837387634
3,edp,3090,gpu_resident,1.8652604101657136e-05,1.8652604101657136e-05,0.0
3,edp,5060ti,gpu_resident,3.983201198982845e-05,1.8652604101657136e-05,113.546654251294
3,edp,AMD,64T,0.0003545213331255,1.8652604101657136e-05,1800.653287837721
