metric,policy,lower_is_better,problem_size,best_cpu,best_cpu_label,best_cpu_configuration,best_cpu_selection_status,best_cpu_value,best_gpu,best_gpu_label,best_gpu_configuration,best_gpu_selection_status,best_gpu_value,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_cpu_better,cliffs_delta_cpu_minus_gpu,cpu_energy_domain,gpu_energy_domain,inference_scope
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,16T,tie_or_uncertain,2.7486604971657544e-10,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,3.305062765486325e-09,0.08316515274291021,0.06967758405923921,0.11869108502282552,clear_CPU,1.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,4T,tie_or_uncertain,1.60855323067685e-08,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,4.203116042249507e-09,3.8270492998712267,3.690656794419092,4.059539159842268,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,INTEL,Intel CPU,8T,clear_leader,2.1684149624597985e-07,3090,RTX 3090,gpu_resident,single_configuration,1.4299542522828053e-08,15.164226121207031,13.631177006155397,15.84636077969749,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,16T,tie_or_uncertain,9.863923528014535e-06,3090,RTX 3090,gpu_resident,single_configuration,1.6351774961251068e-07,60.32325879844331,57.669519840108535,77.19554070084256,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,8T,clear_leader,0.0004620644390444,3090,RTX 3090,gpu_resident,single_configuration,4.834098283702735e-06,95.58441138902047,89.07782493217503,99.4720059059663,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,64T,clear_leader,0.017877733615508,3090,RTX 3090,gpu_resident,single_configuration,0.0001885706667215,94.80654614172639,90.70542788417544,97.73199509331576,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,AMD,AMD CPU,64T,tie_or_uncertain,0.8068935694201573,3090,RTX 3090,gpu_resident,single_configuration,0.0095613850675,84.39086635709928,82.49299166578261,92.5074701562517,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,AMD,AMD CPU,64T,clear_leader,57.321049020204,3090,RTX 3090,gpu_resident,single_configuration,0.5482763006675347,104.54774162300058,100.61804849183385,105.18994953432171,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,AMD,AMD CPU,64T,tie_or_uncertain,3650.454205423579,3090,RTX 3090,gpu_resident,single_configuration,34.50502702403125,105.79485136705432,98.71035647906113,108.17825091198172,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,16T,tie_or_uncertain,4.272967093580941,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,1.575298953483701,2.712480119491904,2.159895422524736,3.2586486131384764,clear_CPU,1.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,INTEL,Intel CPU,4T,tie_or_uncertain,3.4301829756273423,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,10.019258055377051,0.3423589807417387,0.3176102389569589,0.3604636278321268,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,INTEL,Intel CPU,8T,clear_leader,6.088267957926105,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,26.886781421894845,0.2264409362501164,0.22008426664148653,0.2463029824825819,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,512,INTEL,Intel CPU,8T,tie_or_uncertain,7.08460522290046,3090,RTX 3090,gpu_resident,single_configuration,37.21339537958258,0.19037782364754288,0.18612702332713207,0.19338601134684982,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,1024,INTEL,Intel CPU,8T,clear_leader,8.130418765701547,3090,RTX 3090,gpu_resident,single_configuration,53.80481159794101,0.1511095109198873,0.14860398582799153,0.15363602050339553,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,2048,INTEL,Intel CPU,8T,clear_leader,8.145157969776585,3090,RTX 3090,gpu_resident,single_configuration,68.58931702378482,0.11875257435428432,0.11642064601763538,0.12411641789811326,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,4096,AMD,AMD CPU,64T,clear_leader,9.744700037714164,3090,RTX 3090,gpu_resident,single_configuration,79.97895901952354,0.1218407960940752,0.11771478187207961,0.1234163093097659,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,8192,AMD,AMD CPU,64T,clear_leader,9.406283364852818,3090,RTX 3090,gpu_resident,single_configuration,83.65652324599601,0.11243932929406104,0.11157935050943729,0.1141016593317135,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,16384,AMD,AMD CPU,64T,clear_leader,9.219831972737518,3090,RTX 3090,gpu_resident,single_configuration,84.88481078523651,0.10861580402251503,0.1071786483847292,0.11252863937903089,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,64,INTEL,Intel CPU,16T,tie_or_uncertain,0.0001226988152536,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0003328180970606,0.3686662965062829,0.30687567722648007,0.46298537863054695,clear_CPU,1.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,128,INTEL,Intel CPU,4T,tie_or_uncertain,0.0012227639253655,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0004186242111759,2.9209106705290675,2.7742050037451067,3.148513106139237,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,256,INTEL,Intel CPU,8T,clear_leader,0.0055113264120244,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0012479899127188,4.416162627482891,4.060040158347324,4.543714165760803,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,512,INTEL,Intel CPU,8T,tie_or_uncertain,0.0378899667030567,3090,RTX 3090,gpu_resident,single_configuration,0.0072134093990058,5.252712636590258,5.171004836572372,5.372674972845968,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,1024,INTEL,Intel CPU,8T,clear_leader,0.2641295251677852,3090,RTX 3090,gpu_resident,single_configuration,0.0399124833676061,6.617717137144087,6.508890276664638,6.729294604234208,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,2048,INTEL,Intel CPU,8T,clear_leader,2.109212522058824,3090,RTX 3090,gpu_resident,single_configuration,0.250474416854778,8.420870077448747,8.056951827443946,8.589541754033217,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,4096,AMD,AMD CPU,64T,clear_leader,14.10396963888889,3090,RTX 3090,gpu_resident,single_configuration,1.7184388888888886,8.207431599740076,8.102656817342293,8.495109824751642,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
