problem_size,tradeoff_class,configurations
64,dominated,14
64,runtime_efficient_compromise,2
64,dominant_or_practically_equivalent,1
64,energy_efficient_compromise,1
128,dominated,16
128,runtime_efficient_compromise,1
128,energy_efficient_compromise,1
256,dominated,16
256,runtime_efficient_compromise,1
256,energy_efficient_compromise,1
512,dominated,17
512,dominant_or_practically_equivalent,1
1024,dominated,17
1024,dominant_or_practically_equivalent,1
2048,dominated,17
2048,dominant_or_practically_equivalent,1
4096,dominated,17
4096,dominant_or_practically_equivalent,1
8192,dominated,17
8192,dominant_or_practically_equivalent,1
16384,dominated,17
16384,dominant_or_practically_equivalent,1
