platform,platform_label,device_kind,energy_domain,problem_size,policy,optimized_metric,lower_is_better,exact_configuration,leader_configurations,leader_count,selection_status,gap_to_second_pct,practical_gap_gt_tolerance,ci_separated_from_all,exact_num_threads,selected_runtime_s_median,selected_runtime_s_ci95_low,selected_runtime_s_ci95_high,selected_runtime_s_session_cv_pct,selected_energy_j_median,selected_energy_j_ci95_low,selected_energy_j_ci95_high,selected_energy_j_session_cv_pct,selected_power_w_median,selected_power_w_ci95_low,selected_power_w_ci95_high,selected_power_w_session_cv_pct,selected_throughput_gflops_median,selected_throughput_gflops_ci95_low,selected_throughput_gflops_ci95_high,selected_throughput_gflops_session_cv_pct,selected_efficiency_gflop_per_j_median,selected_efficiency_gflop_per_j_ci95_low,selected_efficiency_gflop_per_j_ci95_high,selected_efficiency_gflop_per_j_session_cv_pct,selected_edp_j_s_median,selected_edp_j_s_ci95_low,selected_edp_j_s_ci95_high,selected_edp_j_s_session_cv_pct,selected_temperature_c_median,selected_temperature_c_ci95_low,selected_temperature_c_ci95_high,selected_temperature_c_session_cv_pct,selected_clock_mhz_median,selected_clock_mhz_ci95_low,selected_clock_mhz_ci95_high,selected_clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,64,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.217029646225186e-06,5.215406725472023e-06,5.224620282895767e-06,0.07237670389258764,0.0008412728598968,0.0008382078325822,0.0008424448040085,0.2497821909281841,161.272674,160.70032500000002,161.535514,0.23188316365763503,100.4954994609532,100.34949366873629,100.5267714671954,0.07231417332156044,0.6232080279688508,0.6223410691185296,0.6254868776218278,0.24993586911906343,4.3884049941422e-09,4.37204280930305e-09,4.4007040921198324e-09,0.28376203520273685,57.0,56.5,59.0,1.6755561029330441,1965.0,1965.0,1965.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.9198e-06,9.769017892877015e-06,1.0075756380418918e-05,1.1016885909169623,0.0003328180970606,0.0003295783996954,0.000336495,0.7999913726539977,33.558896000000004,33.203019,33.869034,0.7438881235224098,52.852678481420995,52.03460466937191,53.668445052422264,1.1009273973474911,1.575298953483701,1.5580855584778375,1.590783863519432,0.8002184581730523,3.305062765486325e-09,3.2217173522333052e-09,3.386740429400213e-09,1.8281729343378417,48.5,48.0,48.5,0.4619975160123533,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,edp_opt,edp_j_s,True,8T,"1T,2T,4T,8T,10T,16T,20T,32T,64T",9,tie_or_uncertain,0.748026439586269,False,False,8,6.127075280692067e-06,6.116296975252062e-06,6.160477469889148e-06,0.28176956996087427,0.0004459453095281,0.0004423340011605,0.0004522180523704,0.8911242197925672,72.75567523662829,72.24234083688401,73.37484949787037,0.6219567275449548,85.56904819696952,85.10509170150962,85.71984030883219,0.28124385477129715,1.175677799044018,1.1593699040801877,1.1852762813269768,0.8860668668051288,2.7324931305866e-09,2.708341072517572e-09,2.786753236248901e-09,1.152368455815813,70.0,68.5,73.0,2.894166677294979,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,64,edp_opt,edp_j_s,True,16T,"1T,2T,4T,8T,10T,16T,20T",7,tie_or_uncertain,4.228634369997297,True,False,16,2.2546644398164424e-06,2.233226943724793e-06,2.5382000522972326e-06,6.591047699133479,0.0001226988152536,0.0001021337789287,0.0001540899126827,18.439956152393368,54.97036828195608,45.225854076273066,61.25947297969424,12.345748295423164,232.53482458023046,206.55897454792265,234.76700452375053,6.435827071104226,4.272967093580941,3.402480998737453,5.133345750048155,18.274365599271324,2.7486604971657544e-10,2.3028878866323503e-10,3.906057118282888e-10,25.223905600710207,96.5,69.5,99.0,14.49506474947585,,,,
3090,RTX 3090,GPU,GPU board NVML,64,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.217029646225186e-06,5.215406725472023e-06,5.224620282895767e-06,0.07237670389258764,0.0008412728598968,0.0008382078325822,0.0008424448040085,0.2497821909281841,161.272674,160.70032500000002,161.535514,0.23188316365763503,100.4954994609532,100.34949366873629,100.5267714671954,0.07231417332156044,0.6232080279688508,0.6223410691185296,0.6254868776218278,0.24993586911906343,4.3884049941422e-09,4.37204280930305e-09,4.4007040921198324e-09,0.28376203520273685,57.0,56.5,59.0,1.6755561029330441,1965.0,1965.0,1965.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.9198e-06,9.769017892877015e-06,1.0075756380418918e-05,1.1016885909169623,0.0003328180970606,0.0003295783996954,0.000336495,0.7999913726539977,33.558896000000004,33.203019,33.869034,0.7438881235224098,52.852678481420995,52.03460466937191,53.668445052422264,1.1009273973474911,1.575298953483701,1.5580855584778375,1.590783863519432,0.8002184581730523,3.305062765486325e-09,3.2217173522333052e-09,3.386740429400213e-09,1.8281729343378417,48.5,48.0,48.5,0.4619975160123533,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,efficiency_opt,efficiency_gflop_per_j,False,8T,"1T,2T,4T,8T,10T,16T,20T,32T,64T",9,tie_or_uncertain,0.3809047345284089,False,False,8,6.127075280692067e-06,6.116296975252062e-06,6.160477469889148e-06,0.28176956996087427,0.0004459453095281,0.0004423340011605,0.0004522180523704,0.8911242197925672,72.75567523662829,72.24234083688401,73.37484949787037,0.6219567275449548,85.56904819696952,85.10509170150962,85.71984030883219,0.28124385477129715,1.175677799044018,1.1593699040801877,1.1852762813269768,0.8860668668051288,2.7324931305866e-09,2.708341072517572e-09,2.786753236248901e-09,1.152368455815813,70.0,68.5,73.0,2.894166677294979,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,64,efficiency_opt,efficiency_gflop_per_j,False,16T,"1T,2T,4T,8T,10T,16T,20T",7,tie_or_uncertain,1.685756474848521,False,False,16,2.2546644398164424e-06,2.233226943724793e-06,2.5382000522972326e-06,6.591047699133479,0.0001226988152536,0.0001021337789287,0.0001540899126827,18.439956152393368,54.97036828195608,45.225854076273066,61.25947297969424,12.345748295423164,232.53482458023046,206.55897454792265,234.76700452375053,6.435827071104226,4.272967093580941,3.402480998737453,5.133345750048155,18.274365599271324,2.7486604971657544e-10,2.3028878866323503e-10,3.906057118282888e-10,25.223905600710207,96.5,69.5,99.0,14.49506474947585,,,,
3090,RTX 3090,GPU,GPU board NVML,64,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.217029646225186e-06,5.215406725472023e-06,5.224620282895767e-06,0.07237670389258764,0.0008412728598968,0.0008382078325822,0.0008424448040085,0.2497821909281841,161.272674,160.70032500000002,161.535514,0.23188316365763503,100.4954994609532,100.34949366873629,100.5267714671954,0.07231417332156044,0.6232080279688508,0.6223410691185296,0.6254868776218278,0.24993586911906343,4.3884049941422e-09,4.37204280930305e-09,4.4007040921198324e-09,0.28376203520273685,57.0,56.5,59.0,1.6755561029330441,1965.0,1965.0,1965.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.9198e-06,9.769017892877015e-06,1.0075756380418918e-05,1.1016885909169623,0.0003328180970606,0.0003295783996954,0.000336495,0.7999913726539977,33.558896000000004,33.203019,33.869034,0.7438881235224098,52.852678481420995,52.03460466937191,53.668445052422264,1.1009273973474911,1.575298953483701,1.5580855584778375,1.590783863519432,0.8002184581730523,3.305062765486325e-09,3.2217173522333052e-09,3.386740429400213e-09,1.8281729343378417,48.5,48.0,48.5,0.4619975160123533,2797.0,2797.0,2797.0,0.0
