metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_a_better,cliffs_delta_a_minus_b,a_configuration,b_configuration,a_selection_status,b_selection_status,energy_domain_a,energy_domain_b,inference_scope
edp_j_s,edp_opt,True,64,3090,RTX 3090,5060ti,RTX 5060 Ti,4.3884049941422e-09,3.305062765486325e-09,1.3277826490827522,1.2957606541223416,1.3621322153230309,clear_5060ti,0.0,1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,AMD,AMD CPU,3090,RTX 3090,2.7324931305866e-09,4.3884049941422e-09,0.6226620228155856,0.6165560474998842,0.6350264480987418,clear_AMD,1.0,-1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.7324931305866e-09,3.305062765486325e-09,0.8267598301373034,0.8068209499806636,0.848148000535313,clear_AMD,1.0,-1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,3090,RTX 3090,2.7486604971657544e-10,4.3884049941422e-09,0.0626346132782814,0.05247664902638493,0.0890085833804499,clear_INTEL,1.0,-1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,5060ti,RTX 5060 Ti,2.7486604971657544e-10,3.305062765486325e-09,0.08316515274291021,0.06967758405923921,0.11869108502282552,clear_INTEL,1.0,-1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,AMD,AMD CPU,2.7486604971657544e-10,2.7324931305866e-09,0.10059167089564407,0.08427790214198913,0.14348339156817014,clear_INTEL,1.0,-1.0,16T,8T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,3090,RTX 3090,5060ti,RTX 5060 Ti,4.763598433803592e-09,4.203116042249507e-09,1.1333492546768027,1.0929577330930906,1.1991401469375045,clear_5060ti,0.0,1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,AMD,AMD CPU,3090,RTX 3090,2.3492050405638932e-08,4.763598433803592e-09,4.931576565928381,4.858987333986069,5.129708178881207,clear_3090,0.0,1.0,4T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.3492050405638932e-08,4.203116042249507e-09,5.5891986253765165,5.390004744072092,5.93222780459582,clear_5060ti,0.0,1.0,4T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,3090,RTX 3090,1.60855323067685e-08,4.763598433803592e-09,3.3767607682087255,3.278181344270159,3.462450222983067,clear_3090,0.0,1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
