platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,working_set_bytes,operational_intensity_flop_per_byte,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,total_energy_j_median,total_energy_j_ci95_low,total_energy_j_ci95_high,total_energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,logical_bandwidth_gb_s_median,logical_bandwidth_gb_s_ci95_low,logical_bandwidth_gb_s_ci95_high,logical_bandwidth_gb_s_session_cv_pct,logical_gb_per_j_median,logical_gb_per_j_ci95_low,logical_gb_per_j_ci95_high,logical_gb_per_j_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct,strict_pareto,practical_pareto_2pct
3090,RTX 3090,GPU,GPU board NVML,1000000,gpu_resident,-1,5,4000004.0,0.2499995000005,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500492,216.2819062972453,0.9399483871528388,6.8674084746508614e-09,6.8563039715819475e-09,6.911521196292177e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.4677422475940272,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.4677422475940224,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0,True,True
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,gpu_resident,-1,5,4000004.0,0.2499995000005,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.502561815929421e-09,2.4614950598417303e-09,2.5399508483250304e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.464067851010705,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605345,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0,True,True
AMD,AMD CPU,CPU,CPU package RAPL,1000000,1T,1,5,4000004.0,0.2499995000005,8.681031800898722e-05,8.661224137931034e-05,8.739309382629928e-05,0.3794452600354482,0.0059160706749215,0.0058654698706896,0.0059772888552915,0.7272391938084101,0.0059160706749215,0.0058654698706896,0.0059772888552915,0.7272391938084101,67.95391223424244,67.7251987172779,68.95486298708474,0.7443304721386623,5.170237195764323e-07,5.080214922432399e-07,5.187425172708106e-07,0.9139391303009066,11.51935648820539,11.442540322323152,11.545700516172955,0.3790113434510177,0.1690309421486532,0.1672997615155796,0.1704891546706437,0.7270620149992375,46.07751810776562,45.77025282970673,46.18289443038832,0.3790113434510163,0.6761251208435024,0.6692003844617491,0.6819579825971762,0.727062014999237,57.5,56.5,58.0,1.1357495479447124,1823.5,1794.0,1831.0,0.8042822044878424,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,2T,2,5,4000004.0,0.2499995000005,5.326478480751368e-05,4.5581356779352965e-05,5.491115420331021e-05,7.388644849001241,0.0042050797246163,0.0035532448882224,0.004317464452631,7.53552254075546,0.0042050797246163,0.0035532448882224,0.004317464452631,7.53552254075546,78.82299653697916,76.65832147365512,79.24553833897119,1.4419767203300091,2.238728484764939e-07,1.6196172297447734e-07,2.3655477233084e-07,14.11915771904146,18.77411133103719,18.211218003130536,21.9387721352992,8.116782635750594,0.2378073819019559,0.2316171936032073,0.2814326148233129,8.334678566970243,75.09659551718958,72.84501770241187,87.75526405154937,8.116782635750583,0.9512314300687814,0.9264706273522312,1.1257327107564217,8.334678566970242,57.0,56.0,58.0,1.5664224010506405,1869.5,1850.0,1873.0,0.5297874757471718,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,4T,4,5,4000004.0,0.2499995000005,3.5350934171468485e-05,3.526383936299117e-05,3.557840345882105e-05,0.3536782986274468,0.0031538506434306,0.0031274624026311,0.0031616962982364,0.4374200603434647,0.0031538506434306,0.0031274624026311,0.0031616962982364,0.4374200603434647,89.18908893572515,88.32061951572882,89.35953868262712,0.4933845899120322,1.115021470086601e-07,1.1028633178017753e-07,1.1176891770913057e-07,0.5375639819089088,28.28776730904873,28.1069104508136,28.357632579550675,0.3524150462745029,0.317072402297482,0.3162855966140079,0.3197477287524581,0.4382653677995036,113.15129553855972,112.42786665876284,113.4307571794902,0.3524150462745035,1.2682921457716831,1.2651449167433348,1.2789934729942205,0.4382653677994992,56.0,53.0,57.0,2.737500160307419,1942.0,1914.0,1954.0,0.805309280944964,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,8T,8,5,4000004.0,0.2499995000005,2.814334881876381e-05,2.767271129141312e-05,2.8746650251946864e-05,1.675787247916242,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,103.17418411513056,101.74146675588744,103.5323184676756,0.6870170534715137,8.16586759814696e-08,7.90208924927299e-08,8.520316406655733e-08,3.017518310308416,35.53233861541303,34.7866270064727,36.136647019126784,1.675131855941138,0.3446458118155309,0.3370332791472125,0.3501945212938183,1.407946350637851,142.1296387206453,139.14678631918514,144.5468771699724,1.6751318559411403,1.3785860044313756,1.3481358128577798,1.4007808867342455,1.4079463506378502,55.0,53.0,56.0,2.201388405629304,2137.0,2102.0,2147.0,0.8894566357979701,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,10T,10,5,4000004.0,0.2499995000005,2.8247823811360257e-05,2.703791945421372e-05,2.8833542749443143e-05,2.77937924607858,0.0030439909646851,0.0029405674564349,0.0031177199799196,2.491966654588354,0.0030439909646851,0.0029405674564349,0.0031177199799196,2.491966654588354,107.7470581560371,107.7188376402906,108.6694066053158,0.3918140323980195,8.598612045379725e-08,7.950682603676895e-08,8.977790389336524e-08,5.243584284147315,35.40092173747687,34.68179434937154,36.98505728938976,2.805037117617524,0.328515758292814,0.3207468940253538,0.3400700765465125,2.5040674048090485,141.6039701575646,138.7274548521184,147.9405250383132,2.8050371176175246,1.3140656612999504,1.2829901420791332,1.360283026749383,2.504067404809051,54.0,53.0,55.0,1.3094570021973104,2182.5,2180.5,2213.0,0.7306688785106947,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,16T,16,5,4000004.0,0.2499995000005,3.1788553760726904e-05,8.868301913486365e-06,3.2209240168003055e-05,37.65936182979666,0.0037753449735786,0.0012481601085841,0.003858317710322,34.68253502558415,0.0037753449735786,0.0012481601085841,0.003858317710322,34.68253502558415,120.4397665220341,118.25083373225822,140.736287714892,7.585576994620514,1.2045350266452993e-07,1.1069060679293725e-08,1.2427348177622093e-07,49.76548641069628,31.457832511885037,31.046960275499075,112.7610459990388,75.83269396607777,0.2648761919767332,0.2591800559411537,0.8011784651044397,64.69917754204295,125.83158171045189,124.18808947792688,451.0450860854253,75.83269396607777,1.0595068869185875,1.0367222972071355,3.2047202698518893,64.69917754204295,55.0,53.0,60.0,4.876987756717075,2404.0,2381.5,2423.0,0.6478813873916827,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,20T,20,5,4000004.0,0.2499995000005,3.616795002179282e-05,8.214780440504224e-06,3.62689395305232e-05,40.839684091749575,0.0045926555367252,0.0012429948705621,0.0047064672445976,38.30024465682647,0.0045926555367252,0.0012429948705621,0.0047064672445976,38.30024465682647,128.63419885169674,126.7075964280892,151.28646177190143,7.882057666475221,1.663038566439811e-07,1.0210929950340618e-08,1.7027813665224864e-07,51.72021048945125,27.64876083376181,27.571773890946588,121.73167709624386,90.26854835971166,0.2177387335069006,0.2124733792948131,0.8045077447083803,78.68059280709284,110.5952645253551,110.28731613819804,486.9276822393661,90.26854835971166,0.8709566759392124,0.8498952169679869,3.2180374149019144,78.68059280709282,57.0,56.0,60.0,2.632942862517899,2547.0,2538.5,2564.5,0.3777283821967263,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,32T,32,5,4000004.0,0.2499995000005,5.032918202650194e-05,5.968118361692302e-06,5.064633414963266e-05,47.842128464669706,0.0073701348143335,0.0011371558263175,0.0074309131712663,45.51806865178856,0.0073701348143335,0.0011371558263175,0.0074309131712663,45.51806865178856,147.13471856623934,145.61785023639425,190.4835867423543,12.602510028444794,3.732703105345753e-07,6.786680567150853e-09,3.739917816197924e-07,54.75665837129446,19.869168536723453,19.74474592861037,167.55683104723872,133.2805612499089,0.1356825926786568,0.1345728279892672,0.8793860760827645,116.61152632021536,79.47683310040107,78.97914167256688,670.2286646449436,133.2805612499089,0.5427314561764539,0.5382923885407694,3.517551339426701,116.61152632021536,55.0,53.0,60.0,5.017879539063872,2987.5,2964.0,3002.5,0.5182479169446226,False,False
