metric,policy,lower_is_better,problem_size,exact_winner,exact_winner_label,exact_winner_value,leader_platforms,leader_count,selection_status,gap_to_second_pct,practical_gap_gt_tolerance,ci_separated_from_all,ratio_ci_clear_against_all,marginal_ci_separated_from_all,practical_tolerance_pct,inference_scope
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,3.229599081398164e-10,INTEL,1,clear_leader,734.0418695135545,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,5060ti,RTX 5060 Ti,4.177338209321127e-09,5060ti,1,clear_leader,25.301476563020152,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,3090,RTX 3090,1.5742947946253712e-08,3090,1,clear_leader,29.792099915569416,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,3090,RTX 3090,1.7185056457694625e-07,3090,1,clear_leader,190.83944008227203,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,3090,RTX 3090,4.94656256546926e-06,3090,1,clear_leader,412.8015917945531,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,3090,RTX 3090,0.0001971587218874,3090,1,clear_leader,742.7637479289158,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,3090,RTX 3090,0.009979714305943,3090,1,clear_leader,994.8501715564428,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,3090,RTX 3090,0.572001785139757,3090,1,clear_leader,1115.5722890132506,True,True,True,True,2.0,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,3090,RTX 3090,37.24682131112501,3090,1,clear_leader,1304.1158244094026,True,True,True,True,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,3.9850606910788953,INTEL,1,clear_leader,150.96903818054668,True,True,True,True,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,5060ti,RTX 5060 Ti,9.884731317982787,5060ti,1,clear_leader,137.71906152589955,True,True,True,True,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,5060ti,RTX 5060 Ti,26.89383915349582,5060ti,1,clear_leader,73.25837198360634,True,True,True,True,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,512,5060ti,RTX 5060 Ti,36.60702876569246,"5060ti,3090",2,tie_or_uncertain,2.5930051035398582,True,False,False,False,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,1024,3090,RTX 3090,52.99140814595489,3090,1,clear_leader,38.89645516428768,True,True,True,True,2.0,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,2048,3090,RTX 3090,66.71341743421486,3090,1,clear_leader,83.78608857186627,True,True,True,True,2.0,descriptive_native_best_post_selection
