metric,policy,lower_is_better,problem_size,best_cpu,best_cpu_label,best_cpu_configuration,best_cpu_selection_status,best_cpu_value,best_gpu,best_gpu_label,best_gpu_configuration,best_gpu_selection_status,best_gpu_value,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_cpu_better,cliffs_delta_cpu_minus_gpu,cpu_energy_domain,gpu_energy_domain,inference_scope
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,16T,tie_or_uncertain,3.229599081398164e-10,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,3.241224180560288e-09,0.09964133615836117,0.09898495645235736,0.15565434342818793,clear_CPU,1.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,4T,tie_or_uncertain,1.4631661135124886e-08,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,4.177338209321127e-09,3.5026278462386515,2.9223686805422173,3.931136333162987,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,INTEL,Intel CPU,8T,clear_leader,2.177878856343998e-07,3090,RTX 3090,gpu_resident,single_configuration,1.5742947946253712e-08,13.83399642671282,12.545700880983707,14.346937918737328,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,16T,tie_or_uncertain,1.0301292962434046e-05,3090,RTX 3090,gpu_resident,single_configuration,1.7185056457694625e-07,59.94331754331615,57.74495183112983,65.01676575504702,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,8T,clear_leader,0.0004816048394413,3090,RTX 3090,gpu_resident,single_configuration,4.94656256546926e-06,97.36151783528733,89.84215212631811,104.17215618652872,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,64T,clear_leader,0.0166475496378321,3090,RTX 3090,gpu_resident,single_configuration,0.0001971587218874,84.43729741431243,81.56918333029869,87.28924649812332,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,AMD,AMD CPU,32T,tie_or_uncertain,0.8247222312194875,3090,RTX 3090,gpu_resident,single_configuration,0.009979714305943,82.63986382138803,79.46461696013232,90.85074772527959,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,AMD,AMD CPU,64T,clear_leader,55.82766280139056,3090,RTX 3090,gpu_resident,single_configuration,0.572001785139757,97.60050449449245,93.89140908521702,99.35828505852129,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,AMD,AMD CPU,64T,tie_or_uncertain,3382.1318630827923,3090,RTX 3090,gpu_resident,single_configuration,37.24682131112501,90.8032348541003,85.90225940603143,92.59207049868361,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,16T,tie_or_uncertain,3.9850606910788953,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,1.587869451932971,2.5096903818054668,1.768814467918292,2.5524496162726598,clear_CPU,1.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,INTEL,Intel CPU,4T,clear_leader,3.549585868706547,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,9.884731317982787,0.35909786058109305,0.34426569357686504,0.42088231842774176,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,INTEL,Intel CPU,8T,clear_leader,6.085377997102079,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,26.89383915349582,0.22627405341312404,0.21889076445831446,0.2391685030080527,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,512,INTEL,Intel CPU,8T,tie_or_uncertain,6.729212248231771,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,36.60702876569246,0.18382295627713668,0.18094458227747695,0.19903287462256483,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
