problem_size,configuration,rows,avg_power_w_median,temp_c_median,temp_c_max,sm_clock_mhz_median,clock_change_pct_median,throttle_reasons_unique
1,10T,50,229.4516740614547,81.0,83,-1.0,-1.118881118881119,nan
1,16T,50,286.81171009792365,85.0,88,-1.0,-1.436777759019722,nan
1,1T,50,77.78551123106682,74.0,83,-1.0,-1.6456390565002743,nan
1,20T,50,286.94116800540576,81.0,84,-1.0,-1.3511003713833039,nan
1,2T,50,96.17302371169163,75.0,81,-1.0,-1.5860075112751506,nan
1,32T,50,263.22058764098676,67.0,72,-1.0,-2.33415354596704,nan
1,4T,50,132.1806352886078,74.0,79,-1.0,-1.344364012409514,nan
1,64T,50,266.8368254743616,70.0,75,-1.0,-1.8662958438546702,nan
1,8T,50,199.45275380275808,78.5,81,-1.0,-0.12138279964352569,nan
2,10T,50,218.69575783282338,80.0,81,-1.0,-0.6545420512455479,nan
2,16T,50,286.68883780212775,88.0,91,-1.0,-1.4310585624366259,nan
2,1T,50,74.70244666139146,70.0,78,-1.0,-1.5646371066668836,nan
2,20T,50,286.8664929456516,83.0,84,-1.0,-1.3557038582129348,nan
2,2T,50,92.45447955649546,73.5,79,-1.0,-1.4150962231775326,nan
2,32T,50,272.37075465986163,70.0,85,-1.0,-1.3939838591342626,nan
2,4T,50,127.94670820015124,74.0,80,-1.0,-1.2169860176074572,nan
2,64T,50,254.3123364900198,70.0,71,-1.0,-1.3091216216216215,nan
2,8T,50,189.91538722907984,78.5,82,-1.0,-0.3403014098201264,nan
3,10T,50,224.4400440713355,81.0,87,-1.0,-1.1077780523763667,nan
3,16T,50,286.80887791789803,87.0,89,-1.0,-1.3628681903524327,nan
3,1T,50,76.33535387020386,73.0,85,-1.0,-1.6456390565002743,nan
3,20T,50,286.9300148889416,82.0,84,-1.0,-1.1006930289441499,nan
3,2T,50,95.44717382242334,75.0,83,-1.0,-1.4001077005923532,nan
3,32T,50,267.49180526020587,68.0,86,-1.0,-1.2206469673150568,nan
3,4T,50,130.89382115265636,75.5,85,-1.0,-1.2432013265965982,nan
3,64T,50,252.88830657658877,68.0,79,-1.0,-1.047201664199704,nan
3,8T,50,195.7016509736878,80.0,81,-1.0,-0.14577262917015615,nan
4,10T,50,217.08760237018822,80.0,83,-1.0,-1.2978965414071661,nan
4,16T,50,286.73620761002525,88.0,90,-1.0,-1.1073255841583225,nan
4,1T,50,76.05601116344792,74.0,84,-1.0,-1.4293567894447499,nan
4,20T,50,286.88339482837443,84.0,87,-1.0,-1.4613403743599243,nan
4,2T,50,94.20906937653223,75.0,80,-1.0,-1.4531754574811626,nan
4,32T,50,273.51156873916875,70.0,77,-1.0,-2.6033233367739315,nan
4,4T,50,127.40107632378448,74.0,80,-1.0,-1.3092474483742054,nan
4,64T,50,242.48113933915772,68.0,79,-1.0,-1.0226066709760184,nan
4,8T,50,188.8515654322137,80.0,84,-1.0,-0.21747909448444208,nan
5,10T,50,173.0800090253537,74.0,77,-1.0,-1.4378481757446484,nan
5,16T,50,236.58215144604782,81.5,83,-1.0,-1.3355463749982022,nan
5,1T,50,72.37540781808842,68.5,80,-1.0,-1.9146608315098468,nan
5,20T,50,264.4724789483839,84.0,86,-1.0,-0.9628890147272764,nan
5,2T,50,83.51553386064967,70.0,77,-1.0,-1.5053763440860215,nan
5,32T,50,286.9390112427535,73.0,76,-1.0,-5.9186310602505205,nan
5,4T,50,105.47331909656191,68.0,74,-1.0,-1.4956162970603404,nan
5,64T,50,257.6906055467838,72.0,84,-1.0,-1.8438792543587166,nan
5,8T,50,154.93564344733267,74.0,85,-1.0,0.0,nan
6,10T,50,200.08985176081038,75.0,86,-1.0,-1.3698576967811968,nan
6,16T,50,261.13857590807174,82.0,85,-1.0,-1.2084189960082812,nan
6,1T,50,75.66281907045095,70.0,77,-1.0,-1.7533951595857111,nan
6,20T,50,286.802124846894,83.0,84,-1.0,-2.174323083216475,nan
6,2T,50,90.48433700388365,70.0,76,-1.0,-1.7435622317596566,nan
6,32T,50,274.1662761138066,70.0,77,-1.0,-1.7328626217926892,nan
6,4T,50,119.42308944414089,71.0,84,-1.0,-1.5987622485817432,nan
6,64T,50,242.3390339496474,65.0,71,-1.0,-1.5007538098422746,nan
6,8T,50,174.24295721039556,74.0,80,-1.0,-1.2045290990551805,nan
