source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
reduction_amd_20260722_174206_session1.csv,1,493,1000000,1T,1,3,8.747497384025114e-05,0.006003641088245553,t,False,True
reduction_amd_20260722_174206_session1.csv,1,531,1000000,2T,2,1,5.462085541049872e-05,0.004185720216310701,t,True,False
reduction_amd_20260722_174206_session1.csv,1,534,1000000,2T,2,4,5.516512809307915e-05,0.004223535587480199,t,True,False
reduction_amd_20260722_174206_session1.csv,1,535,1000000,2T,2,5,5.516594745179439e-05,0.004223233844977331,t,True,False
reduction_amd_20260722_174206_session1.csv,1,538,1000000,2T,2,8,5.456339105260283e-05,0.004248695799420986,t,True,False
reduction_amd_20260722_174206_session1.csv,1,154,1000000,4T,4,4,3.5003163555836765e-05,0.003095699567647369,t,True,False
reduction_amd_20260722_174206_session1.csv,1,211,1000000,64T,64,1,0.00011080280911302808,0.0160863700508737,t,True,True
reduction_amd_20260722_174206_session1.csv,1,27,2000000,10T,10,7,3.8072226443769e-05,0.004564959992401216,t,True,False
reduction_amd_20260722_174206_session1.csv,1,469,2000000,16T,16,9,3.907163147792706e-05,0.0051504348560460645,t,True,False
reduction_amd_20260722_174206_session1.csv,1,470,2000000,16T,16,10,3.9773819577735126e-05,0.005211121842610364,t,True,True
reduction_amd_20260722_174206_session1.csv,1,522,2000000,1T,1,2,0.00017445227351614023,0.012029214508851095,t,False,True
reduction_amd_20260722_174206_session1.csv,1,281,2000000,32T,32,1,5.363913507741591e-05,0.008243454244527496,t,True,True
reduction_amd_20260722_174206_session1.csv,1,286,2000000,32T,32,6,5.408691938067272e-05,0.008254982861719166,t,False,True
reduction_amd_20260722_174206_session1.csv,1,1,4000000,10T,10,1,3.9163568773234204e-05,0.00565614958952912,t,True,False
reduction_amd_20260722_174206_session1.csv,1,711,4000000,16T,16,1,5.195919950356811e-05,0.007868839693866998,t,False,True
reduction_amd_20260722_174206_session1.csv,1,221,4000000,1T,1,1,0.0005970023866348448,0.04110429594272076,t,False,True
reduction_amd_20260722_174206_session1.csv,1,601,4000000,2T,2,1,0.00018899352690956168,0.01721568577769558,t,True,True
reduction_amd_20260722_174206_session1.csv,1,602,4000000,2T,2,2,0.00018948844090993158,0.017202225263547255,t,True,True
reduction_amd_20260722_174206_session1.csv,1,603,4000000,2T,2,3,0.00018598594414647677,0.01586250970963566,t,False,True
reduction_amd_20260722_174206_session1.csv,1,191,4000000,32T,32,1,6.183481646273637e-05,0.010586694722531207,t,True,False
reduction_amd_20260722_174206_session1.csv,1,193,4000000,32T,32,3,6.227215424545791e-05,0.010514963663329626,t,False,True
reduction_amd_20260722_174206_session1.csv,1,196,4000000,32T,32,6,6.209621802002225e-05,0.010645894697812385,t,False,True
reduction_amd_20260722_174206_session1.csv,1,197,4000000,32T,32,7,6.222549746632061e-05,0.010631577740699543,t,False,True
reduction_amd_20260722_174206_session1.csv,1,422,8000000,4T,4,2,0.0002010678227360308,0.020954714065510596,t,True,True
reduction_amd_20260722_174206_session1.csv,1,423,8000000,4T,4,3,0.0001952631984585742,0.019497142774566475,t,True,True
reduction_amd_20260722_174206_session1.csv,1,51,8000000,64T,64,1,0.00011890481208289427,0.021726236155016978,t,True,False
reduction_amd_20260722_174206_session1.csv,1,41,8000000,8T,8,1,0.00010632701022236274,0.013661122984508377,t,False,True
reduction_amd_20260722_174206_session1.csv,1,561,16000000,10T,10,1,0.00021928461875547766,0.03335395113935145,t,False,True
reduction_amd_20260722_174206_session1.csv,1,352,16000000,1T,1,2,0.0034512184300341297,0.24137911262798636,t,False,True
reduction_amd_20260722_174206_session1.csv,1,571,16000000,32T,32,1,9.528004556673628e-05,0.02207483377634327,t,True,True
reduction_amd_20260722_174206_session1.csv,1,451,16000000,4T,4,1,0.0007589862595419848,0.07534208167938931,t,True,False
reduction_amd_20260722_174206_session1.csv,1,452,16000000,4T,4,2,0.0007607305343511451,0.07544627938931298,t,True,False
reduction_amd_20260722_174206_session1.csv,1,374,16000000,64T,64,4,0.0001381496379726468,0.029404561678734245,t,True,True
reduction_amd_20260722_174206_session1.csv,1,301,16000000,8T,8,1,0.00020167230955259977,0.026683453043127768,t,False,True
reduction_amd_20260722_174206_session1.csv,1,781,32000000,32T,32,1,0.0005224089723526343,0.08946122743870631,t,False,True
reduction_amd_20260722_174206_session1.csv,1,141,32000000,4T,4,1,0.002691532258064516,0.24646181720430108,t,True,False
