schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-29T01:09:55,"conv2d_amd_20260729_005653_session2",1,1,1,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0117907880000001,1.0117907880000001,1.0117907880000001,76.493847000000002,76.493847000000002,-1,2.3179953636363635,75.602434719933413,6.2659088544466161e-10,30.660326909090912,30.660326909090912,122079412224,120.65677378355414,20447232,75.602434719933413,in_range,-1,-1,-1,1856,1793,-1,68,67,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:09:56,"conv2d_amd_20260729_005653_session2",2,2,2,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0084286659999999,1.0084286659999999,1.0084286659999999,76.228617,76.228617,-1,2.3099580909090909,75.59148164873767,6.2441828324116029e-10,30.55844442424242,30.55844442424242,122079412224,121.05904595933016,20447232,75.59148164873767,in_range,-1,-1,-1,1824,1793,-1,68,68,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:09:57,"conv2d_amd_20260729_005653_session2",3,3,3,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0121520660000001,1.0121520660000001,1.0121520660000001,76.483470999999994,76.483470999999994,-1,2.3176809393939393,75.565197729883394,6.2650589158852337e-10,30.671274727272731,30.671274727272731,122079412224,120.61370650208207,20447232,75.565197729883394,in_range,-1,-1,-1,1793,1793,-1,67,65,67,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:09:58,"conv2d_amd_20260729_005653_session2",4,4,4,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0156200289999999,1.0156200289999999,1.0156200289999999,76.595679000000004,76.595679000000004,-1,2.3210811818181818,75.417653071904923,6.2742503100733151e-10,30.776364515151514,30.776364515151514,122079412224,120.20185575131072,20447232,75.417653071904923,in_range,-1,-1,-1,1823,1824,-1,67,67,67,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:09:59,"conv2d_amd_20260729_005653_session2",5,5,5,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.016346838,1.016346838,1.016346838,76.632724999999994,76.632724999999994,-1,2.3222037878787876,75.40017062561077,6.2772848921805764e-10,30.798389030303031,30.798389030303031,122079412224,120.11589711267443,20447232,75.40017062561077,in_range,-1,-1,-1,1851,1793,-1,68,67,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:10:00,"conv2d_amd_20260729_005653_session2",6,6,6,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.013325246,1.013325246,1.013325246,76.441694999999996,76.441694999999996,-1,2.3164149999999997,75.436485276317683,6.2616368810606104e-10,30.706825636363636,30.706825636363636,122079412224,120.47406566242799,20447232,75.436485276317683,in_range,-1,-1,-1,1827,1885,-1,68,68,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:10:01,"conv2d_amd_20260729_005653_session2",7,7,7,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0145561679999999,1.0145561679999999,1.0145561679999999,76.407425000000003,76.407425000000003,-1,2.3153765151515153,75.311182771302228,6.258829691922355e-10,30.744126303030303,30.744126303030303,122079412224,120.32789910947544,20447232,75.311182771302228,in_range,-1,-1,-1,1952,1824,-1,68,67,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:10:02,"conv2d_amd_20260729_005653_session2",8,8,8,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.014063634,1.014063634,1.014063634,76.417344,76.417344,-1,2.3156770909090909,75.357543094775849,6.2596421958342994e-10,30.729201030303031,30.729201030303031,122079412224,120.38634276081336,20447232,75.357543094775849,in_range,-1,-1,-1,1885,1824,-1,68,67,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:10:03,"conv2d_amd_20260729_005653_session2",9,9,9,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0133831550000001,1.0133831550000001,1.0133831550000001,76.348759000000001,76.348759000000001,-1,2.3135987575757575,75.340465867522724,6.2540241314325677e-10,30.708580454545459,30.708580454545459,122079412224,120.46718126472113,20447232,75.340465867522724,in_range,-1,-1,-1,1850,1793,-1,68,68,68,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-29T01:10:04,"conv2d_amd_20260729_005653_session2",10,10,10,"CONV2D","onednn_convolution_auto:brg_conv_fwd:avx2;scratchpad=user;execute_api=c",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1;Hout=14;Wout=14;dtype=f32;input_layout=NCHW;weight_layout=OIHW;output_layout=NCHW;bias=none;activation=none;groups=1;dilation=1;algorithm_policy=convolution_auto;output=overwrite;reuse_regime=warm_resident;scratchpad=user;onednn_cpu_runtime=OpenMP",33,1.0160053849999999,1.0160053849999999,1.0160053849999999,76.538613999999995,76.538613999999995,-1,2.3193519393939392,75.332882216957941,6.2695758937273952e-10,30.788041969696966,30.788041969696966,122079412224,120.15626494341859,20447232,75.332882216957941,in_range,-1,-1,-1,1825,1793,-1,68,67,68,,-1,-1,-1.000000,-1,t
