schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T09:45:41,"20260719_085402_session2",1,1,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.997299,0.997299,0.997299,170.161244,170.161244,-1.000000,1.207160e-02,170.622039,3.597617e-10,0.070751,0.070751,4.729833e+11,474.26,7.864320e+05,170.62,in_range,,,,2344,2347,,69,68,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:42,"20260719_085402_session2",2,2,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.999822,0.999822,0.999822,170.539581,170.539581,-1.000000,1.209844e-02,170.569999,3.605615e-10,0.070929,0.070929,4.729833e+11,473.07,7.864320e+05,170.57,in_range,,,,2382,2348,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:43,"20260719_085402_session2",3,3,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.995913,0.995913,0.995913,170.132803,170.132803,-1.000000,1.206958e-02,170.830943,3.597015e-10,0.070652,0.070652,4.729833e+11,474.92,7.864320e+05,170.83,in_range,,,,2382,2346,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:44,"20260719_085402_session2",4,4,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.996631,0.996631,0.996631,170.343821,170.343821,-1.000000,1.208455e-02,170.919699,3.601477e-10,0.070703,0.070703,4.729833e+11,474.58,7.864320e+05,170.92,in_range,,,,2345,2343,,70,70,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:45,"20260719_085402_session2",5,5,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.995596,0.995596,0.995596,170.139135,170.139135,-1.000000,1.207003e-02,170.891664,3.597149e-10,0.070630,0.070630,4.729833e+11,475.08,7.864320e+05,170.89,in_range,,,,2345,2344,,70,69,70,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:46,"20260719_085402_session2",6,6,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.995097,0.995097,0.995097,170.187320,170.187320,-1.000000,1.207345e-02,171.025802,3.598168e-10,0.070594,0.070594,4.729833e+11,475.31,7.864320e+05,171.03,in_range,,,,2381,2345,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:47,"20260719_085402_session2",7,7,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.995812,0.995812,0.995812,170.347118,170.347118,-1.000000,1.208478e-02,171.063608,3.601546e-10,0.070645,0.070645,4.729833e+11,474.97,7.864320e+05,171.06,in_range,,,,2346,2345,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:48,"20260719_085402_session2",8,8,8,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.995225,0.995225,0.995225,170.273757,170.273757,-1.000000,1.207958e-02,171.090766,3.599995e-10,0.070603,0.070603,4.729833e+11,475.25,7.864320e+05,171.09,in_range,,,,2341,2347,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:49,"20260719_085402_session2",9,9,9,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.994512,0.994512,0.994512,170.328976,170.328976,-1.000000,1.208350e-02,171.268817,3.601163e-10,0.070553,0.070553,4.729833e+11,475.59,7.864320e+05,171.27,in_range,,,,2344,2347,,70,69,70,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:45:50,"20260719_085402_session2",10,10,10,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,256,"N=256",14096,0.994083,0.994083,0.994083,170.243302,170.243302,-1.000000,1.207742e-02,171.256570,3.599351e-10,0.070522,0.070522,4.729833e+11,475.80,7.864320e+05,171.26,in_range,,,,2345,2347,,70,69,70,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:06,"20260719_085402_session2",11,11,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.615066,4.615066,4.615066,1312.145598,1312.145598,-1.000000,1.312146e+03,284.317839,1.491737e-10,4615.066021,4615.066021,8.796093e+12,1905.95,3.221225e+09,284.32,above,,,,2327,2288,,87,84,87,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:10,"20260719_085402_session2",12,12,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.473564,4.473564,4.473564,1266.764811,1266.764811,-1.000000,1.266765e+03,283.166777,1.440145e-10,4473.564400,4473.564400,8.796093e+12,1966.24,3.221225e+09,283.17,above,,,,2363,2288,,88,82,88,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:15,"20260719_085402_session2",13,13,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.446869,4.446869,4.446869,1263.624181,1263.624181,-1.000000,1.263624e+03,284.160438,1.436574e-10,4446.868781,4446.868781,8.796093e+12,1978.04,3.221225e+09,284.16,above,,,,2287,2290,,88,83,88,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:19,"20260719_085402_session2",14,14,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.437813,4.437813,4.437813,1261.031176,1261.031176,-1.000000,1.261031e+03,284.156022,1.433626e-10,4437.812597,4437.812597,8.796093e+12,1982.08,3.221225e+09,284.16,above,,,,2287,2290,,93,83,93,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:24,"20260719_085402_session2",15,15,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.444724,4.444724,4.444724,1260.055122,1260.055122,-1.000000,1.260055e+03,283.494566,1.432517e-10,4444.724079,4444.724079,8.796093e+12,1979.00,3.221225e+09,283.49,above,,,,2324,2285,,93,93,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:28,"20260719_085402_session2",16,16,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.433751,4.433751,4.433751,1258.307730,1258.307730,-1.000000,1.258308e+03,283.802090,1.430530e-10,4433.750758,4433.750758,8.796093e+12,1983.89,3.221225e+09,283.80,above,,,,2322,2291,,90,87,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:33,"20260719_085402_session2",17,17,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.456198,4.456198,4.456198,1263.862374,1263.862374,-1.000000,1.263862e+03,283.618984,1.436845e-10,4456.198094,4456.198094,8.796093e+12,1973.90,3.221225e+09,283.62,above,,,,2315,2289,,90,86,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:37,"20260719_085402_session2",18,18,8,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.464639,4.464639,4.464639,1270.767016,1270.767016,-1.000000,1.270767e+03,284.629305,1.444695e-10,4464.638722,4464.638722,8.796093e+12,1970.17,3.221225e+09,284.63,above,,,,2324,2461,,88,86,88,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:42,"20260719_085402_session2",19,19,9,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.437831,4.437831,4.437831,1263.874046,1263.874046,-1.000000,1.263874e+03,284.795450,1.436858e-10,4437.830885,4437.830885,8.796093e+12,1982.07,3.221225e+09,284.80,above,,,,2465,2461,,89,86,89,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:46,"20260719_085402_session2",20,20,10,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384",1,4.382246,4.382246,4.382246,1244.725882,1244.725882,-1.000000,1.244726e+03,284.038365,1.415089e-10,4382.245629,4382.245629,8.796093e+12,2007.21,3.221225e+09,284.04,above,,,,2528,2282,,89,86,89,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:49,"20260719_085402_session2",21,21,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.006603,1.006603,1.006603,174.847418,174.847418,-1.000000,3.973805e+00,173.700474,2.313059e-10,22.877341,22.877341,7.559142e+11,750.96,5.033165e+07,173.70,in_range,,,,2046,2047,,90,89,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:50,"20260719_085402_session2",22,22,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.004615,1.004615,1.004615,174.470286,174.470286,-1.000000,3.965234e+00,173.668835,2.308070e-10,22.832155,22.832155,7.559142e+11,752.44,5.033165e+07,173.67,in_range,,,,2048,2045,,89,85,89,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:51,"20260719_085402_session2",23,23,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.008645,1.008645,1.008645,174.690399,174.690399,-1.000000,3.970236e+00,173.193188,2.310982e-10,22.923744,22.923744,7.559142e+11,749.44,5.033165e+07,173.19,in_range,,,,2085,2041,,87,86,87,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:52,"20260719_085402_session2",24,24,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.003629,1.003629,1.003629,173.798263,173.798263,-1.000000,3.949961e+00,173.169854,2.299180e-10,22.809747,22.809747,7.559142e+11,753.18,5.033165e+07,173.17,in_range,,,,2041,2049,,87,86,87,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:53,"20260719_085402_session2",25,25,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.005621,1.005621,1.005621,174.576192,174.576192,-1.000000,3.967641e+00,173.600324,2.309471e-10,22.855031,22.855031,7.559142e+11,751.69,5.033165e+07,173.60,in_range,,,,2048,2078,,88,86,88,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:54,"20260719_085402_session2",26,26,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,1.002667,1.002667,1.002667,174.139844,174.139844,-1.000000,3.957724e+00,173.676585,2.303698e-10,22.787895,22.787895,7.559142e+11,753.90,5.033165e+07,173.68,in_range,,,,2048,2049,,86,86,86,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T09:46:55,"20260719_085402_session2",27,27,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",8,2048,"N=2048",44,0.997696,0.997696,0.997696,173.590098,173.590098,-1.000000,3.945230e+00,173.990994,2.296426e-10,22.674906,22.674906,7.559142e+11,757.66,5.033165e+07,173.99,in_range,,,,2121,2050,,87,86,87,,-1,-1,-1.000000,-1,t
