schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T18:28:47,"reduction_amd_20260721_172119_session5",1,1,1,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,0.999746,0.999746,0.999746,189.034597,189.034597,-1.000000,1.143578e-03,189.082685,1.143579e-09,0.006048,0.006048,1.653008e+11,165.34,4.000004e+06,189.08,in_range,,,,3095,2956,,59,59,59,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:48,"reduction_amd_20260721_172119_session5",2,2,2,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.011818,1.011818,1.011818,190.802617,190.802617,-1.000000,1.154274e-03,188.574055,1.154275e-09,0.006121,0.006121,1.653008e+11,163.37,4.000004e+06,188.57,in_range,,,,2938,2989,,60,59,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:49,"reduction_amd_20260721_172119_session5",3,3,3,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.001296,1.001296,1.001296,189.897955,189.897955,-1.000000,1.148801e-03,189.652239,1.148802e-09,0.006057,0.006057,1.653008e+11,165.09,4.000004e+06,189.65,in_range,,,,2989,2987,,60,60,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:50,"reduction_amd_20260721_172119_session5",4,4,4,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.005564,1.005564,1.005564,190.217015,190.217015,-1.000000,1.150731e-03,189.164465,1.150732e-09,0.006083,0.006083,1.653008e+11,164.39,4.000004e+06,189.16,in_range,,,,2987,2965,,60,60,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:51,"reduction_amd_20260721_172119_session5",5,5,5,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.003865,1.003865,1.003865,189.612570,189.612570,-1.000000,1.147075e-03,188.882558,1.147076e-09,0.006073,0.006073,1.653008e+11,164.66,4.000004e+06,188.88,in_range,,,,3013,2929,,60,60,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:52,"reduction_amd_20260721_172119_session5",6,6,6,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.013555,1.013555,1.013555,190.949491,190.949491,-1.000000,1.155162e-03,188.395803,1.155164e-09,0.006132,0.006132,1.653008e+11,163.09,4.000004e+06,188.40,in_range,,,,2978,2938,,60,60,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:53,"reduction_amd_20260721_172119_session5",7,7,7,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.005663,1.005663,1.005663,190.097973,190.097973,-1.000000,1.150011e-03,189.027487,1.150012e-09,0.006084,0.006084,1.653008e+11,164.37,4.000004e+06,189.03,in_range,,,,2933,2950,,61,60,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:54,"reduction_amd_20260721_172119_session5",8,8,8,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.006126,1.006126,1.006126,190.133326,190.133326,-1.000000,1.150225e-03,188.975588,1.150226e-09,0.006087,0.006087,1.653008e+11,164.29,4.000004e+06,188.98,in_range,,,,2928,2930,,61,61,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:55,"reduction_amd_20260721_172119_session5",9,9,9,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.005695,1.005695,1.005695,190.007005,190.007005,-1.000000,1.149461e-03,188.930975,1.149462e-09,0.006084,0.006084,1.653008e+11,164.36,4.000004e+06,188.93,in_range,,,,2943,2988,,61,61,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:56,"reduction_amd_20260721_172119_session5",10,10,10,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,1000000,"elements=1000000",165301,1.006025,1.006025,1.006025,190.311218,190.311218,-1.000000,1.151301e-03,189.171525,1.151302e-09,0.006086,0.006086,1.653008e+11,164.31,4.000004e+06,189.17,in_range,,,,2966,2977,,61,61,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:28:59,"reduction_amd_20260721_172119_session5",11,11,1,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,128000000,"elements=128000000",110,1.009136,1.009136,1.009136,132.562160,132.562160,-1.000000,1.205111e+00,131.362084,9.414926e-09,9.173960,9.173960,1.408000e+10,13.95,5.120000e+08,131.36,in_range,,,,2359,2397,,58,58,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T18:29:01,"reduction_amd_20260721_172119_session5",12,12,2,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,128000000,"elements=128000000",110,1.021227,1.021227,1.021227,134.122199,134.122199,-1.000000,1.219293e+00,131.334339,9.525724e-09,9.283884,9.283884,1.408000e+10,13.79,5.120000e+08,131.33,in_range,,,,2434,2359,,56,56,56,,-1,-1,-1.000000,-1,t
