schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T11:02:12,"stream_amd_20260721_095517_session5",1,1,1,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018068,1.018068,1.018068,161.660310,161.660310,-1.000000,1.243541e+01,158.791308,2.428791e-08,78.312904,78.312904,6.656000e+09,6.54,3.072000e+09,158.79,in_range,,,,4172,4173,,61,61,59,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:13,"stream_amd_20260721_095517_session5",2,2,2,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018229,1.018229,1.018229,161.819025,161.819025,-1.000000,1.244762e+01,158.921998,2.431175e-08,78.325326,78.325326,6.656000e+09,6.54,3.072000e+09,158.92,in_range,,,,4167,4172,,59,59,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:14,"stream_amd_20260721_095517_session5",3,3,3,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.019705,1.019705,1.019705,162.359661,162.359661,-1.000000,1.248920e+01,159.222164,2.439298e-08,78.438858,78.438858,6.656000e+09,6.53,3.072000e+09,159.22,in_range,,,,4173,4150,,57,57,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:15,"stream_amd_20260721_095517_session5",4,4,4,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018448,1.018448,1.018448,162.116723,162.116723,-1.000000,1.247052e+01,159.180194,2.435648e-08,78.342140,78.342140,6.656000e+09,6.54,3.072000e+09,159.18,in_range,,,,4149,4142,,56,56,55,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:16,"stream_amd_20260721_095517_session5",5,5,5,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.019880,1.019880,1.019880,162.239993,162.239993,-1.000000,1.248000e+01,159.077608,2.437500e-08,78.452270,78.452270,6.656000e+09,6.53,3.072000e+09,159.08,in_range,,,,4141,4140,,56,55,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:18,"stream_amd_20260721_095517_session5",6,6,6,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018175,1.018175,1.018175,161.979187,161.979187,-1.000000,1.245994e+01,159.087845,2.433582e-08,78.321115,78.321115,6.656000e+09,6.54,3.072000e+09,159.09,in_range,,,,4140,4138,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:19,"stream_amd_20260721_095517_session5",7,7,7,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018585,1.018585,1.018585,162.065899,162.065899,-1.000000,1.246661e+01,159.108804,2.434884e-08,78.352720,78.352720,6.656000e+09,6.53,3.072000e+09,159.11,in_range,,,,4152,4140,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:20,"stream_amd_20260721_095517_session5",8,8,8,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018684,1.018684,1.018684,162.633862,162.633862,-1.000000,1.251030e+01,159.650927,2.443417e-08,78.360316,78.360316,6.656000e+09,6.53,3.072000e+09,159.65,in_range,,,,4163,4143,,57,56,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:21,"stream_amd_20260721_095517_session5",9,9,9,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.023283,1.023283,1.023283,162.977411,162.977411,-1.000000,1.253672e+01,159.269157,2.448579e-08,78.714072,78.714072,6.656000e+09,6.50,3.072000e+09,159.27,in_range,,,,4118,4137,,57,57,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:22,"stream_amd_20260721_095517_session5",10,10,10,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,256000000,"elements=256000000",13,1.018189,1.018189,1.018189,162.393977,162.393977,-1.000000,1.249184e+01,159.492966,2.439813e-08,78.322228,78.322228,6.656000e+09,6.54,3.072000e+09,159.49,in_range,,,,4149,4150,,57,57,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:24,"stream_amd_20260721_095517_session5",11,11,1,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.001560,1.001560,1.001560,136.800191,136.800191,-1.000000,2.630773e+00,136.587107,2.055291e-08,19.260770,19.260770,6.656000e+09,6.65,7.680000e+08,136.59,in_range,,,,2357,2359,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:25,"stream_amd_20260721_095517_session5",12,12,2,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002290,1.002290,1.002290,137.033807,137.033807,-1.000000,2.635266e+00,136.720764,2.058801e-08,19.274801,19.274801,6.656000e+09,6.64,7.680000e+08,136.72,in_range,,,,2395,2359,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:26,"stream_amd_20260721_095517_session5",13,13,3,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002695,1.002695,1.002695,136.866854,136.866854,-1.000000,2.632055e+00,136.499025,2.056293e-08,19.282591,19.282591,6.656000e+09,6.64,7.680000e+08,136.50,in_range,,,,2359,2353,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:27,"stream_amd_20260721_095517_session5",14,14,4,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002334,1.002334,1.002334,136.881120,136.881120,-1.000000,2.632329e+00,136.562423,2.056507e-08,19.275648,19.275648,6.656000e+09,6.64,7.680000e+08,136.56,in_range,,,,2359,2359,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:28,"stream_amd_20260721_095517_session5",15,15,5,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.001560,1.001560,1.001560,136.823597,136.823597,-1.000000,2.631223e+00,136.610548,2.055643e-08,19.260760,19.260760,6.656000e+09,6.65,7.680000e+08,136.61,in_range,,,,2358,2358,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:29,"stream_amd_20260721_095517_session5",16,16,6,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002096,1.002096,1.002096,136.739968,136.739968,-1.000000,2.629615e+00,136.453901,2.054387e-08,19.271085,19.271085,6.656000e+09,6.64,7.680000e+08,136.45,in_range,,,,2359,2355,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:30,"stream_amd_20260721_095517_session5",17,17,7,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002265,1.002265,1.002265,136.714411,136.714411,-1.000000,2.629123e+00,136.405412,2.054003e-08,19.274333,19.274333,6.656000e+09,6.64,7.680000e+08,136.41,in_range,,,,2397,2365,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:31,"stream_amd_20260721_095517_session5",18,18,8,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002159,1.002159,1.002159,136.810506,136.810506,-1.000000,2.630971e+00,136.515747,2.055446e-08,19.272292,19.272292,6.656000e+09,6.64,7.680000e+08,136.52,in_range,,,,2364,2358,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:32,"stream_amd_20260721_095517_session5",19,19,9,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002261,1.002261,1.002261,136.949064,136.949064,-1.000000,2.633636e+00,136.640074,2.057528e-08,19.274257,19.274257,6.656000e+09,6.64,7.680000e+08,136.64,in_range,,,,2359,2359,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:33,"stream_amd_20260721_095517_session5",20,20,10,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,64000000,"elements=64000000",52,1.002133,1.002133,1.002133,136.797934,136.797934,-1.000000,2.630730e+00,136.506808,2.055257e-08,19.271782,19.271782,6.656000e+09,6.64,7.680000e+08,136.51,in_range,,,,2397,2365,,56,56,56,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T11:02:36,"stream_amd_20260721_095517_session5",21,21,1,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,1000000,"elements=1000000",180993,1.305946,1.305946,1.305946,270.400537,270.400537,-1.000000,1.493983e-03,207.053444,7.469917e-10,0.007215,0.007215,3.619860e+11,277.18,1.200000e+07,207.05,above,,,,3766,3828,,64,64,64,,-1,-1,-1.000000,-1,t
