STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenMP] requested=64 active=64
[STREAM] N=256000000 threads=64 rep=1 batches=13 time=1.018 s | package=161.660 J | dram=NA | total=161.660 J | power=158.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=2 batches=13 time=1.018 s | package=161.819 J | dram=NA | total=161.819 J | power=158.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=3 batches=13 time=1.020 s | package=162.360 J | dram=NA | total=162.360 J | power=159.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=4 batches=13 time=1.018 s | package=162.117 J | dram=NA | total=162.117 J | power=159.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=5 batches=13 time=1.020 s | package=162.240 J | dram=NA | total=162.240 J | power=159.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=6 batches=13 time=1.018 s | package=161.979 J | dram=NA | total=161.979 J | power=159.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=7 batches=13 time=1.019 s | package=162.066 J | dram=NA | total=162.066 J | power=159.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=8 batches=13 time=1.019 s | package=162.634 J | dram=NA | total=162.634 J | power=159.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=9 batches=13 time=1.023 s | package=162.977 J | dram=NA | total=162.977 J | power=159.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=64 rep=10 batches=13 time=1.018 s | package=162.394 J | dram=NA | total=162.394 J | power=159.5 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=64000000 threads=16 rep=1 batches=52 time=1.002 s | package=136.800 J | dram=NA | total=136.800 J | power=136.6 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=2 batches=52 time=1.002 s | package=137.034 J | dram=NA | total=137.034 J | power=136.7 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=3 batches=52 time=1.003 s | package=136.867 J | dram=NA | total=136.867 J | power=136.5 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=4 batches=52 time=1.002 s | package=136.881 J | dram=NA | total=136.881 J | power=136.6 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=5 batches=52 time=1.002 s | package=136.824 J | dram=NA | total=136.824 J | power=136.6 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=6 batches=52 time=1.002 s | package=136.740 J | dram=NA | total=136.740 J | power=136.5 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=7 batches=52 time=1.002 s | package=136.714 J | dram=NA | total=136.714 J | power=136.4 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=8 batches=52 time=1.002 s | package=136.811 J | dram=NA | total=136.811 J | power=136.5 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=9 batches=52 time=1.002 s | package=136.949 J | dram=NA | total=136.949 J | power=136.6 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=16 rep=10 batches=52 time=1.002 s | package=136.798 J | dram=NA | total=136.798 J | power=136.5 W | runtime=in_range | checksum=OK
[OpenMP] requested=64 active=64
[STREAM] N=1000000 threads=64 rep=1 batches=180993 time=1.306 s | package=270.401 J | dram=NA | total=270.401 J | power=207.1 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=2 batches=180993 time=1.409 s | package=286.194 J | dram=NA | total=286.194 J | power=203.2 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=3 batches=180993 time=1.408 s | package=287.554 J | dram=NA | total=287.554 J | power=204.2 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=4 batches=180993 time=1.405 s | package=286.110 J | dram=NA | total=286.110 J | power=203.7 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=5 batches=180993 time=1.410 s | package=290.053 J | dram=NA | total=290.053 J | power=205.8 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=6 batches=180993 time=1.405 s | package=287.764 J | dram=NA | total=287.764 J | power=204.8 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=7 batches=180993 time=1.408 s | package=287.045 J | dram=NA | total=287.045 J | power=203.9 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=8 batches=180993 time=1.406 s | package=289.868 J | dram=NA | total=289.868 J | power=206.1 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=9 batches=180993 time=1.409 s | package=286.649 J | dram=NA | total=286.649 J | power=203.4 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=10 batches=180993 time=1.405 s | package=286.313 J | dram=NA | total=286.313 J | power=203.8 W | runtime=above | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=8000000 threads=10 rep=1 batches=1846 time=1.000 s | package=121.622 J | dram=NA | total=121.622 J | power=121.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=2 batches=1846 time=1.004 s | package=121.727 J | dram=NA | total=121.727 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=3 batches=1846 time=1.001 s | package=121.474 J | dram=NA | total=121.474 J | power=121.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=4 batches=1846 time=1.000 s | package=121.324 J | dram=NA | total=121.324 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=5 batches=1846 time=1.000 s | package=121.343 J | dram=NA | total=121.343 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=6 batches=1846 time=1.003 s | package=121.682 J | dram=NA | total=121.682 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=7 batches=1846 time=1.000 s | package=121.328 J | dram=NA | total=121.328 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=8 batches=1846 time=1.000 s | package=121.335 J | dram=NA | total=121.335 J | power=121.3 W | runtime=in_range | checksum=OK
