schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T17:42:43,"quickcheck_strided_gemm_amd_20260719_174240",1,1,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,4096,"N=4096;ld=8192",14,1.113933,1.113933,1.113933,286.555691,286.555691,-1.000000,2.046826e+01,257.246753,1.489262e-10,79.566655,79.566655,1.924145e+12,1727.34,2.013266e+08,257.25,in_range,,,,3823,3753,,64,64,64,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:44,"quickcheck_strided_gemm_amd_20260719_174240",2,2,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,4096,"N=4096;ld=8192",14,1.182312,1.182312,1.182312,308.036164,308.036164,-1.000000,2.200258e+01,260.537132,1.600899e-10,84.450853,84.450853,1.924145e+12,1627.44,2.013266e+08,260.54,in_range,,,,3772,3918,,73,62,73,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:46,"quickcheck_strided_gemm_amd_20260719_174240",3,3,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",64,4096,"N=4096;ld=8192",14,1.175579,1.175579,1.175579,303.916000,303.916000,-1.000000,2.170829e+01,258.524485,1.579486e-10,83.969941,83.969941,1.924145e+12,1636.76,2.013266e+08,258.52,in_range,,,,3921,3832,,73,73,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:49,"quickcheck_strided_gemm_amd_20260719_174240",4,4,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,4096,"N=4096;ld=8192",4,1.209146,1.209146,1.209146,164.533773,164.533773,-1.000000,4.113344e+01,136.074324,2.992852e-10,302.286589,302.286589,5.497558e+11,454.66,2.013266e+08,136.07,in_range,,,,2101,1994,,83,82,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:50,"quickcheck_strided_gemm_amd_20260719_174240",5,5,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,4096,"N=4096;ld=8192",4,1.202321,1.202321,1.202321,164.135036,164.135036,-1.000000,4.103376e+01,136.515199,2.985599e-10,300.580149,300.580149,5.497558e+11,457.25,2.013266e+08,136.52,in_range,,,,1962,1965,,85,83,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:51,"quickcheck_strided_gemm_amd_20260719_174240",6,6,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,4096,"N=4096;ld=8192",4,1.209982,1.209982,1.209982,163.346778,163.346778,-1.000000,4.083669e+01,134.999309,2.971261e-10,302.495581,302.495581,5.497558e+11,454.35,2.013266e+08,135.00,in_range,,,,1965,2093,,85,85,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:54,"quickcheck_strided_gemm_amd_20260719_174240",7,7,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",10,4096,"N=4096;ld=8192",8,1.077949,1.077949,1.077949,232.420704,232.420704,-1.000000,2.905259e+01,215.613894,2.113854e-10,134.743580,134.743580,1.099512e+12,1020.00,2.013266e+08,215.61,in_range,,,,2241,2252,,82,82,82,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:55,"quickcheck_strided_gemm_amd_20260719_174240",8,8,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",10,4096,"N=4096;ld=8192",8,1.092023,1.092023,1.092023,233.229134,233.229134,-1.000000,2.915364e+01,213.575212,2.121207e-10,136.502928,136.502928,1.099512e+12,1006.86,2.013266e+08,213.58,in_range,,,,2252,2116,,82,81,82,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:42:56,"quickcheck_strided_gemm_amd_20260719_174240",9,9,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",10,4096,"N=4096;ld=8192",8,1.083407,1.083407,1.083407,234.480580,234.480580,-1.000000,2.931007e+01,216.428929,2.132588e-10,135.425854,135.425854,1.099512e+12,1014.86,2.013266e+08,216.43,in_range,,,,2114,2245,,81,81,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T17:43:00,"quickcheck_strided_gemm_amd_20260719_174240",10,10,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096;ld=8192",1,1.092614,1.092614,1.092614,93.930003,93.930003,-1.000000,9.393000e+01,85.968186,6.834307e-10,1092.613526,1092.613526,1.374390e+11,125.79,2.013266e+08,85.97,in_range,,,,1793,1854,,79,79,78,,-1,-1,-1.000000,-1,t
