schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T18:47:20,"strided_gemm_amd_20260719_175453_session2",1,1,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.006873,1.006873,1.006873,126.233187,126.233187,-1.000000,5.982615e-01,125.371487,2.785872e-10,4.771911,4.771911,4.531190e+11,450.03,1.258291e+07,125.37,in_range,,,,1899,1900,,92,92,92,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:21,"strided_gemm_amd_20260719_175453_session2",2,2,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.014547,1.014547,1.014547,126.683100,126.683100,-1.000000,6.003938e-01,124.866675,2.795802e-10,4.808279,4.808279,4.531190e+11,446.62,1.258291e+07,124.87,in_range,,,,1937,1900,,92,92,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:22,"strided_gemm_amd_20260719_175453_session2",3,3,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.005417,1.005417,1.005417,125.983078,125.983078,-1.000000,5.970762e-01,125.304252,2.780353e-10,4.765011,4.765011,4.531190e+11,450.68,1.258291e+07,125.30,in_range,,,,1939,1901,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:23,"strided_gemm_amd_20260719_175453_session2",4,4,4,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.001542,1.001542,1.001542,125.428938,125.428938,-1.000000,5.944499e-01,125.235771,2.768123e-10,4.746647,4.746647,4.531190e+11,452.42,1.258291e+07,125.24,in_range,,,,1937,1899,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:24,"strided_gemm_amd_20260719_175453_session2",5,5,5,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,0.999270,0.999270,0.999270,125.431349,125.431349,-1.000000,5.944614e-01,125.522930,2.768176e-10,4.735879,4.735879,4.531190e+11,453.45,1.258291e+07,125.52,in_range,,,,1939,1902,,91,91,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:25,"strided_gemm_amd_20260719_175453_session2",6,6,6,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.011330,1.011330,1.011330,126.006850,126.006850,-1.000000,5.971889e-01,124.595172,2.780877e-10,4.793034,4.793034,4.531190e+11,448.04,1.258291e+07,124.60,in_range,,,,1902,1902,,90,90,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:26,"strided_gemm_amd_20260719_175453_session2",7,7,7,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,0.999648,0.999648,0.999648,125.156079,125.156079,-1.000000,5.931568e-01,125.200167,2.762101e-10,4.737668,4.737668,4.531190e+11,453.28,1.258291e+07,125.20,in_range,,,,1939,1902,,90,90,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:27,"strided_gemm_amd_20260719_175453_session2",8,8,8,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,0.999603,0.999603,0.999603,125.018940,125.018940,-1.000000,5.925068e-01,125.068538,2.759075e-10,4.737457,4.737457,4.531190e+11,453.30,1.258291e+07,125.07,in_range,,,,1939,1904,,90,90,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:28,"strided_gemm_amd_20260719_175453_session2",9,9,9,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,0.999736,0.999736,0.999736,125.083329,125.083329,-1.000000,5.928120e-01,125.116315,2.760496e-10,4.738087,4.738087,4.531190e+11,453.24,1.258291e+07,125.12,in_range,,,,1939,1902,,90,90,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:47:29,"strided_gemm_amd_20260719_175453_session2",10,10,10,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",4,1024,"N=1024;ld=2048",211,1.007318,1.007318,1.007318,125.567603,125.567603,-1.000000,5.951071e-01,124.655377,2.771183e-10,4.774019,4.774019,4.531190e+11,449.83,1.258291e+07,124.66,in_range,,,,1938,1902,,90,90,90,,-1,-1,-1.000000,-1,t
