source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
stream_intel_20260720_234432_session1.csv,1,211,1000000,10T,10,1,5.1019969356486214e-05,0.007131880541368744,t,False,True
stream_intel_20260720_234432_session1.csv,1,220,1000000,10T,10,10,5.1020224719101125e-05,0.007184614402451481,t,False,True
stream_intel_20260720_234432_session1.csv,1,310,1000000,1T,1,10,0.0004721606974552309,0.021240467483506126,t,False,True
stream_intel_20260720_234432_session1.csv,1,610,1000000,2T,2,10,0.00026367599372384935,0.016167092573221756,t,True,False
stream_intel_20260720_234432_session1.csv,1,412,2000000,10T,10,2,0.00028141003363228696,0.03387004596412556,t,True,False
stream_intel_20260720_234432_session1.csv,1,349,2000000,1T,1,9,0.0011067264673311184,0.049259503875968995,t,False,True
stream_intel_20260720_234432_session1.csv,1,350,2000000,1T,1,10,0.0011077696566998893,0.04935649723145072,t,False,True
stream_intel_20260720_234432_session1.csv,1,362,2000000,2T,2,2,0.0006311328320802005,0.03809471240601504,t,True,False
stream_intel_20260720_234432_session1.csv,1,364,2000000,2T,2,4,0.0006309179197994988,0.03808736967418546,t,True,False
stream_intel_20260720_234432_session1.csv,1,192,2000000,4T,4,2,0.0004609560036663611,0.034679740146654446,t,True,False
stream_intel_20260720_234432_session1.csv,1,193,2000000,4T,4,3,0.00045940284142988077,0.03446664894592117,t,True,False
stream_intel_20260720_234432_session1.csv,1,198,2000000,4T,4,8,0.0004585967002749771,0.03435624335472044,t,True,False
stream_intel_20260720_234432_session1.csv,1,297,2000000,8T,8,7,0.000333649087893864,0.03524934195688225,t,True,False
stream_intel_20260720_234432_session1.csv,1,298,2000000,8T,8,8,0.0003334885572139304,0.03511605704809287,t,True,False
stream_intel_20260720_234432_session1.csv,1,299,2000000,8T,8,9,0.0003344,0.035193003648424544,t,True,False
stream_intel_20260720_234432_session1.csv,1,300,2000000,8T,8,10,0.00033344842454394695,0.03510591509121062,t,True,False
stream_intel_20260720_234432_session1.csv,1,271,4000000,10T,10,1,0.001311505897771953,0.14310315727391873,t,False,True
stream_intel_20260720_234432_session1.csv,1,436,4000000,1T,1,6,0.002665872,0.12111720266666666,t,False,True
stream_intel_20260720_234432_session1.csv,1,437,4000000,1T,1,7,0.002665416,0.12343457866666667,t,False,True
stream_intel_20260720_234432_session1.csv,1,438,4000000,1T,1,8,0.0026627866666666666,0.12275717333333333,t,False,True
stream_intel_20260720_234432_session1.csv,1,439,4000000,1T,1,9,0.002663416,0.12300684533333334,t,False,True
stream_intel_20260720_234432_session1.csv,1,371,4000000,2T,2,1,0.0016572446280991738,0.09678314876033058,t,True,False
stream_intel_20260720_234432_session1.csv,1,379,4000000,2T,2,9,0.0016335818181818181,0.09661870909090908,t,True,False
stream_intel_20260720_234432_session1.csv,1,177,4000000,4T,4,7,0.001346902406417112,0.09784938636363635,t,True,True
stream_intel_20260720_234432_session1.csv,1,121,8000000,16T,16,1,0.0032715130718954247,0.3311569607843137,t,True,False
stream_intel_20260720_234432_session1.csv,1,124,8000000,16T,16,4,0.003280176470588235,0.33100636928104576,t,True,False
stream_intel_20260720_234432_session1.csv,1,135,8000000,20T,20,5,0.0035810818505338077,0.38671450177935945,t,True,False
stream_intel_20260720_234432_session1.csv,1,138,8000000,20T,20,8,0.003567103202846975,0.38439060854092527,t,False,True
stream_intel_20260720_234432_session1.csv,1,140,8000000,20T,20,10,0.0035742989323843417,0.3874236832740214,t,False,True
stream_intel_20260720_234432_session1.csv,1,3,8000000,2T,2,3,0.003846903474903475,0.21059549420849422,t,False,True
stream_intel_20260720_234432_session1.csv,1,270,8000000,4T,4,10,0.0031412000000000002,0.22350730937500002,t,True,False
stream_intel_20260720_234432_session1.csv,1,11,16000000,16T,16,1,0.007070183098591549,0.7243547887323943,t,True,False
stream_intel_20260720_234432_session1.csv,1,182,16000000,1T,1,2,0.012423024691358024,0.5637667407407407,t,True,True
stream_intel_20260720_234432_session1.csv,1,81,16000000,2T,2,1,0.008043376,0.430608272,t,True,False
stream_intel_20260720_234432_session1.csv,1,85,16000000,2T,2,5,0.008036688,0.42959313600000004,t,True,False
stream_intel_20260720_234432_session1.csv,1,232,16000000,4T,4,2,0.0068226530612244905,0.49526746938775507,t,False,True
stream_intel_20260720_234432_session1.csv,1,239,16000000,4T,4,9,0.006791517006802721,0.47607923129251706,t,False,True
stream_intel_20260720_234432_session1.csv,1,240,16000000,4T,4,10,0.006785857142857143,0.4783333741496598,t,False,True
stream_intel_20260720_234432_session1.csv,1,401,16000000,8T,8,1,0.006747241610738255,0.6839700872483221,t,True,False
stream_intel_20260720_234432_session1.csv,1,402,16000000,8T,8,2,0.006738268456375839,0.68593877852349,t,True,False
stream_intel_20260720_234432_session1.csv,1,409,16000000,8T,8,9,0.006719697986577182,0.6807536711409397,t,False,True
stream_intel_20260720_234432_session1.csv,1,410,16000000,8T,8,10,0.006744812080536912,0.686750255033557,t,True,False
stream_intel_20260720_234432_session1.csv,1,424,32000000,10T,10,4,0.014283507042253523,1.629796985915493,t,True,False
stream_intel_20260720_234432_session1.csv,1,521,32000000,20T,20,1,0.014949014705882351,1.7485540147058825,t,True,False
stream_intel_20260720_234432_session1.csv,1,529,32000000,20T,20,9,0.014939044117647057,1.7567668088235295,t,True,False
stream_intel_20260720_234432_session1.csv,1,205,32000000,2T,2,5,0.016325080645161288,0.9124870322580645,t,True,False
stream_intel_20260720_234432_session1.csv,1,465,32000000,4T,4,5,0.013781465753424656,1.0303995616438355,t,False,True
stream_intel_20260720_234432_session1.csv,1,466,32000000,4T,4,6,0.013815506849315068,1.0296947260273972,t,False,True
stream_intel_20260720_234432_session1.csv,1,468,32000000,4T,4,8,0.013889931506849315,1.0221673561643836,t,True,False
stream_intel_20260720_234432_session1.csv,1,469,32000000,4T,4,9,0.013894657534246575,1.0209031780821918,t,True,False
stream_intel_20260720_234432_session1.csv,1,311,64000000,10T,10,1,0.028577257142857145,3.184025057142857,t,True,False
stream_intel_20260720_234432_session1.csv,1,318,64000000,10T,10,8,0.02858574285714286,3.2100556285714283,t,True,False
stream_intel_20260720_234432_session1.csv,1,391,64000000,16T,16,1,0.028737057142857143,3.0138873714285714,t,True,True
stream_intel_20260720_234432_session1.csv,1,395,64000000,16T,16,5,0.028757885714285714,3.0293641142857144,t,False,True
stream_intel_20260720_234432_session1.csv,1,399,64000000,16T,16,9,0.028769942857142856,3.0289176571428573,t,False,True
stream_intel_20260720_234432_session1.csv,1,335,64000000,1T,1,5,0.050829150000000003,2.3019106000000003,t,False,True
stream_intel_20260720_234432_session1.csv,1,497,64000000,20T,20,7,0.029571088235294116,3.464651764705882,t,True,False
stream_intel_20260720_234432_session1.csv,1,544,64000000,4T,4,4,0.028033805555555555,2.0589156944444444,t,False,True
stream_intel_20260720_234432_session1.csv,1,256,64000000,8T,8,6,0.028326944444444446,2.806585972222222,t,True,False
stream_intel_20260720_234432_session1.csv,1,257,64000000,8T,8,7,0.02832272222222222,2.8100463055555553,t,True,False
stream_intel_20260720_234432_session1.csv,1,249,128000000,4T,4,9,0.056872500000000006,4.062855833333334,t,True,False
stream_intel_20260720_234432_session1.csv,1,250,128000000,4T,4,10,0.05689327777777778,4.060095666666666,t,True,False
stream_intel_20260720_234432_session1.csv,1,598,128000000,8T,8,8,0.05702433333333333,5.848099,t,False,True
stream_intel_20260720_234432_session1.csv,1,96,256000000,10T,10,6,0.11632555555555554,12.074262444444445,t,True,False
stream_intel_20260720_234432_session1.csv,1,288,256000000,16T,16,8,0.11654011111111112,11.994082777777779,t,True,False
stream_intel_20260720_234432_session1.csv,1,290,256000000,16T,16,10,0.116339,12.015343333333334,t,True,False
stream_intel_20260720_234432_session1.csv,1,507,256000000,1T,1,7,0.1999052,8.8961076,t,False,True
stream_intel_20260720_234432_session1.csv,1,329,256000000,20T,20,9,0.11783177777777779,13.409389444444445,t,True,False
stream_intel_20260720_234432_session1.csv,1,49,256000000,4T,4,9,0.11756444444444443,7.7855838888888895,t,False,True
stream_intel_20260720_234432_session2.csv,2,395,1000000,16T,16,5,6.801316593145571e-05,0.008967327655242621,t,True,False
stream_intel_20260720_234432_session2.csv,2,400,1000000,16T,16,10,6.80205632846963e-05,0.008985532541567696,t,True,False
stream_intel_20260720_234432_session2.csv,2,497,1000000,1T,1,7,0.0004692718764623304,0.02221254141319607,t,True,False
stream_intel_20260720_234432_session2.csv,2,381,2000000,10T,10,1,0.00024464289180009703,0.03213397986414362,t,True,False
stream_intel_20260720_234432_session2.csv,2,348,2000000,16T,16,8,0.0002628125327739906,0.0326744486103828,t,False,True
stream_intel_20260720_234432_session2.csv,2,282,2000000,1T,1,2,0.0011078920704845814,0.0542160859030837,t,True,True
stream_intel_20260720_234432_session2.csv,2,39,2000000,20T,20,9,0.00023766198172874207,0.03166331107987819,t,True,True
stream_intel_20260720_234432_session2.csv,2,61,2000000,4T,4,1,0.0004435367581930912,0.035229574844995566,t,True,False
stream_intel_20260720_234432_session2.csv,2,271,4000000,16T,16,1,0.0013469838492597577,0.14615828802153433,t,False,True
stream_intel_20260720_234432_session2.csv,2,426,4000000,1T,1,6,0.0026618779840848804,0.12711745092838198,t,False,True
stream_intel_20260720_234432_session2.csv,2,531,4000000,2T,2,1,0.0016521355371900827,0.09890343471074381,t,True,False
stream_intel_20260720_234432_session2.csv,2,101,4000000,4T,4,1,0.0013465403225806454,0.10301001747311829,t,True,False
stream_intel_20260720_234432_session2.csv,2,86,4000000,8T,8,6,0.0013142982917214191,0.1384645137976347,t,False,True
stream_intel_20260720_234432_session2.csv,2,88,4000000,8T,8,8,0.0013144730617608408,0.1407534467805519,t,False,True
stream_intel_20260720_234432_session2.csv,2,121,8000000,2T,2,1,0.003815102661596958,0.2321762091254753,t,False,True
stream_intel_20260720_234432_session2.csv,2,122,8000000,2T,2,2,0.0038242433460076047,0.2311019505703422,t,False,True
stream_intel_20260720_234432_session2.csv,2,401,8000000,4T,4,1,0.0031283867924528303,0.24336784905660375,t,True,False
stream_intel_20260720_234432_session2.csv,2,402,8000000,4T,4,2,0.0031276100628930817,0.24545033333333335,t,True,False
stream_intel_20260720_234432_session2.csv,2,356,16000000,1T,1,6,0.01241467901234568,0.5961635061728394,t,False,True
stream_intel_20260720_234432_session2.csv,2,131,16000000,20T,20,1,0.007442903703703703,0.8795134518518519,t,False,True
stream_intel_20260720_234432_session2.csv,2,138,16000000,20T,20,8,0.007463000000000001,0.8892537259259259,t,True,False
stream_intel_20260720_234432_session2.csv,2,140,16000000,20T,20,10,0.007501770370370371,0.897848362962963,t,True,False
stream_intel_20260720_234432_session2.csv,2,179,16000000,2T,2,9,0.007901984126984127,0.4666895952380952,t,True,False
stream_intel_20260720_234432_session2.csv,2,180,16000000,2T,2,10,0.007905071428571428,0.46626138095238095,t,True,False
stream_intel_20260720_234432_session2.csv,2,144,32000000,2T,2,4,0.01614722580645161,0.9851639677419355,t,False,True
stream_intel_20260720_234432_session2.csv,2,145,32000000,2T,2,5,0.016137387096774192,0.9845378709677419,t,False,True
stream_intel_20260720_234432_session2.csv,2,58,32000000,4T,4,8,0.013901124999999999,1.0552544583333332,t,False,True
stream_intel_20260720_234432_session2.csv,2,550,64000000,16T,16,10,0.028712371428571432,3.1117038,t,True,False
stream_intel_20260720_234432_session2.csv,2,261,64000000,1T,1,1,0.050993750000000004,2.43282155,t,False,True
stream_intel_20260720_234432_session2.csv,2,262,64000000,1T,1,2,0.050980349999999994,2.4449736,t,False,True
stream_intel_20260720_234432_session2.csv,2,263,64000000,1T,1,3,0.050999550000000005,2.44116195,t,False,True
stream_intel_20260720_234432_session2.csv,2,579,64000000,2T,2,9,0.032703677419354836,1.960396935483871,t,True,False
stream_intel_20260720_234432_session2.csv,2,580,64000000,2T,2,10,0.03271051612903226,1.9605760967741934,t,True,False
stream_intel_20260720_234432_session2.csv,2,120,64000000,4T,4,10,0.027935,2.1459566944444446,t,True,False
stream_intel_20260720_234432_session2.csv,2,481,128000000,10T,10,1,0.05739272222222222,6.856461666666666,t,True,False
stream_intel_20260720_234432_session2.csv,2,236,128000000,16T,16,6,0.057718,6.361620388888889,t,True,False
stream_intel_20260720_234432_session2.csv,2,523,128000000,1T,1,3,0.1006413,4.7778259,t,True,True
stream_intel_20260720_234432_session2.csv,2,259,128000000,4T,4,9,0.05704138888888889,4.351900611111111,t,True,False
stream_intel_20260720_234432_session2.csv,2,260,128000000,4T,4,10,0.057064333333333335,4.351876888888889,t,True,False
stream_intel_20260720_234432_session2.csv,2,561,256000000,10T,10,1,0.11632922222222224,13.456664444444444,t,True,False
