platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,primary_energy_per_op_j,total_energy_per_op_j,dram_energy_per_op_j,primary_power_w,total_power_w,edp_primary_j_s,edp_total_j_s,throughput_gflops_exact,primary_efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1,1000000,1T,1,0.0004719349670122525,0.0004719349670122525,0.020594236098020736,0.02059995381715363,5.497643732327992e-06,43.6275524113441,43.638949856753065,9.720995945693914e-06,9.723589283264126e-06,4.237872037642941,0.09711455955253859,25.427232225857644,0.5826873573152315,74.0,1339.0,1340.0,0.07471050725001702,2122.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,2,1000000,1T,1,0.000468495320542817,0.000468495320542817,0.022082731633130556,0.022084485727655593,1.8256902199344878e-06,47.133648061113306,47.13739201938043,1.034594407539291e-05,1.0346852910581638e-05,4.2689860803524535,0.09056852114673081,25.613916482114718,0.5434111268803848,83.0,1348.0,1339.0,-0.6632277081798084,2137.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,3,1000000,1T,1,0.0004682140851661207,0.0004682140851661207,0.022137468647636875,0.022138284744969584,8.771642489471221e-07,47.261920379722994,47.26366267561707,1.0369184349512752e-05,1.0369506743463048e-05,4.2715502820600495,0.09034461336657398,25.6293016923603,0.542067680199444,82.0,1339.0,1339.0,0.03736920777279522,2137.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,4,1000000,1T,1,0.0004688265449438202,0.0004688265449438202,0.022796515449438202,0.02279719218164794,6.624531835205993e-07,48.624563989192325,48.62583968971241,1.0683416452127848e-05,1.0683733595494768e-05,4.265970191466659,0.0877327773999107,25.59582114879995,0.5263966643994642,85.0,1338.0,1339.5,0.07473841554559044,2136.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,5,1000000,1T,1,0.0004696037558685446,0.0004696037558685446,0.02215758192488263,0.022157743427230047,1.5093896713615023e-07,47.17093400974251,47.171277819935575,1.0408071274200557e-05,1.0408147138759175e-05,4.258909749147394,0.09026256343284432,25.553458494884364,0.5415753805970659,85.0,1336.0,1339.0,0.2247755046243694,2130.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1,1000000,2T,2,0.00026198587866108785,0.00026198587866108785,0.01614469913702929,0.016163852248953975,1.9212996861924684e-05,61.605615730863676,61.6732826857245,4.228541669160025e-06,4.233660950165001e-06,7.633999483674684,0.12387972907527471,45.80399690204811,0.7432783744516482,80.0,1467.5,1479.0,0.1694915254237288,3824.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,2,1000000,2T,2,0.0002606108650338718,0.0002606108650338718,0.016319547159979155,0.016341675872850445,1.9354220948410627e-05,62.7918843257503,62.87479403334325,4.253240906253691e-06,4.259007373262316e-06,7.67428421634056,0.1225524285577538,46.04570529804336,0.7353145713465228,83.0,1478.5,1479.0,0.06763612542212535,3838.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,3,1000000,2T,2,0.0002629157244280831,0.0002629157244280831,0.016572166184591113,0.016583971995792795,1.1115961083355245e-05,62.82483981144502,62.869252060598555,4.358545797652447e-06,4.361615028952537e-06,7.607000380137752,0.12068429138585673,45.64200228082652,0.7241057483151405,82.0,1478.5,1479.0,-0.20463847203274216,3803.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,4,1000000,2T,2,0.0002604632679738562,0.0002604632679738562,0.0162786168627451,0.016282792810457518,4.526013071895425e-06,62.33395131170641,62.351952685151105,4.242435945016532e-06,4.243485103535153e-06,7.678625926363189,0.12286111076131843,46.071755558179134,0.7371666645679107,83.0,1614.5,1616.0,0.0,3825.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,5,1000000,2T,2,0.00026781397849462364,0.00026781397849462364,0.016789793279569892,0.016922783870967743,0.00013574233870967741,62.72168454553049,63.21849928213466,4.495700843573968e-06,4.5318587305571814e-06,7.467870192422205,0.11911999127030405,44.80722115453323,0.7147199476218243,82.0,1616.5,1549.0,-7.071063207891853,3720.0,12000000.0,0.16666666666666666
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1,1000000,4T,4,0.0001342502588661662,0.0001342502588661662,0.011253168198291485,0.011292063810509966,3.708756148071447e-05,82.13992627002315,82.40862286897385,1.5213701422108895e-06,1.5263391987070813e-06,14.898051360967843,0.17772783796550595,89.38830816580706,1.0663670277930355,65.0,2043.0,2034.5,-5.674773485932285,7726.0,12000000.0,0.16666666666666666
