schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T17:14:05,"reduction_intel_20260721_164732_session3",1,1,1,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.009805,1.009805,1.009805,66.266982,67.142968,0.875986,5.941856e-01,66.491005,9.284149e-09,8.936330,8.936330,7.232000e+09,7.16,2.560000e+08,66.49,in_range,,,,1634,1684,,91,85,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:06,"reduction_intel_20260721_164732_session3",2,2,2,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.006441,1.006441,1.006441,67.019482,67.897534,0.878052,6.008631e-01,67.462987,9.388487e-09,8.906560,8.906560,7.232000e+09,7.19,2.560000e+08,67.46,in_range,,,,1682,1685,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:07,"reduction_intel_20260721_164732_session3",3,3,3,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.006267,1.006267,1.006267,66.140212,67.039378,0.899166,5.932688e-01,66.621831,9.269826e-09,8.905021,8.905021,7.232000e+09,7.19,2.560000e+08,66.62,in_range,,,,1679,1685,,92,91,92,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:08,"reduction_intel_20260721_164732_session3",4,4,4,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.006339,1.006339,1.006339,67.534373,68.435008,0.900635,6.056195e-01,68.003899,9.462805e-09,8.905659,8.905659,7.232000e+09,7.19,2.560000e+08,68.00,in_range,,,,1807,1803,,92,92,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:09,"reduction_intel_20260721_164732_session3",5,5,5,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.005190,1.005190,1.005190,67.716868,68.619445,0.902577,6.072517e-01,68.265131,9.488308e-09,8.895489,8.895489,7.232000e+09,7.19,2.560000e+08,68.27,in_range,,,,1803,1800,,91,91,90,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:10,"reduction_intel_20260721_164732_session3",6,6,6,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.006080,1.006080,1.006080,66.422987,67.332526,0.909539,5.958631e-01,66.925629,9.310360e-09,8.903361,8.903361,7.232000e+09,7.19,2.560000e+08,66.93,in_range,,,,1799,1519,,91,90,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:11,"reduction_intel_20260721_164732_session3",7,7,7,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.005747,1.005747,1.005747,67.625072,68.551656,0.926584,6.066518e-01,68.159935,9.478935e-09,8.900417,8.900417,7.232000e+09,7.19,2.560000e+08,68.16,in_range,,,,1519,1520,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:12,"reduction_intel_20260721_164732_session3",8,8,8,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.006162,1.006162,1.006162,67.609691,68.522504,0.912813,6.063938e-01,68.102829,9.474904e-09,8.904092,8.904092,7.232000e+09,7.19,2.560000e+08,68.10,in_range,,,,1672,1519,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:13,"reduction_intel_20260721_164732_session3",9,9,9,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.005393,1.005393,1.005393,65.954177,66.860426,0.906249,5.916852e-01,66.501796,9.245081e-09,8.897281,8.897281,7.232000e+09,7.19,2.560000e+08,66.50,in_range,,,,1520,1685,,91,91,91,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T17:14:14,"reduction_intel_20260721_164732_session3",10,10,10,"REDUCTION","openmp_blocked_sum_fp32",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,64000000,"elements=64000000",113,1.004962,1.004962,1.004962,65.837112,66.736354,0.899242,5.905872e-01,66.406866,9.227925e-09,8.893466,8.893466,7.232000e+09,7.20,2.560000e+08,66.41,in_range,,,,1800,1830,,91,91,91,,-1,-1,-1.000000,-1,t
