schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-21T00:10:44,"stream_intel_20260720_234432_session3",1,1,1,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007307,1.007307,1.007307,121.615473,124.023755,2.408282,3.647757e+00,123.124049,2.849811e-08,29.626686,29.626686,4.352000e+09,4.32,7.680000e+08,123.12,in_range,,,,3599,3599,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:45,"stream_intel_20260720_234432_session3",2,2,2,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007200,1.007200,1.007200,121.603082,124.008180,2.405098,3.647299e+00,123.121714,2.849453e-08,29.623527,29.623527,4.352000e+09,4.32,7.680000e+08,123.12,in_range,,,,3999,3599,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:46,"stream_intel_20260720_234432_session3",3,3,3,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007250,1.007250,1.007250,121.492182,123.881017,2.388835,3.643559e+00,122.989296,2.846531e-08,29.625012,29.625012,4.352000e+09,4.32,7.680000e+08,122.99,in_range,,,,3999,3600,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:47,"stream_intel_20260720_234432_session3",4,4,4,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007277,1.007277,1.007277,120.700252,123.064989,2.364737,3.619559e+00,122.175910,2.827780e-08,29.625795,29.625795,4.352000e+09,4.32,7.680000e+08,122.18,in_range,,,,4000,3599,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:48,"stream_intel_20260720_234432_session3",5,5,5,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007255,1.007255,1.007255,121.189936,123.571596,2.381660,3.634459e+00,122.681493,2.839421e-08,29.625159,29.625159,4.352000e+09,4.32,7.680000e+08,122.68,in_range,,,,3656,3599,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:49,"stream_intel_20260720_234432_session3",6,6,6,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007436,1.007436,1.007436,121.954460,124.344274,2.389814,3.657185e+00,123.426493,2.857175e-08,29.630466,29.630466,4.352000e+09,4.32,7.680000e+08,123.43,in_range,,,,3599,3599,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:50,"stream_intel_20260720_234432_session3",7,7,7,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007306,1.007306,1.007306,121.675592,124.065651,2.390059,3.648990e+00,123.165773,2.850773e-08,29.626654,29.626654,4.352000e+09,4.32,7.680000e+08,123.17,in_range,,,,3999,3600,,84,83,84,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:51,"stream_intel_20260720_234432_session3",8,8,8,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007487,1.007487,1.007487,121.094233,123.462902,2.368669,3.631262e+00,122.545462,2.836923e-08,29.631957,29.631957,4.352000e+09,4.32,7.680000e+08,122.55,in_range,,,,3889,3599,,84,84,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:52,"stream_intel_20260720_234432_session3",9,9,9,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007281,1.007281,1.007281,121.474115,123.852210,2.378095,3.642712e+00,122.956975,2.845869e-08,29.625908,29.625908,4.352000e+09,4.32,7.680000e+08,122.96,in_range,,,,3999,3600,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-21T00:10:53,"stream_intel_20260720_234432_session3",10,10,10,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,64000000,"elements=64000000",34,1.007302,1.007302,1.007302,121.435603,123.794175,2.358572,3.641005e+00,122.896829,2.844535e-08,29.626518,29.626518,4.352000e+09,4.32,7.680000e+08,122.90,in_range,,,,4000,3599,,83,83,83,,-1,-1,-1.000000,-1,t
