STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenMP] requested=20 active=20
[STREAM] N=64000000 threads=20 rep=1 batches=34 time=1.007 s | package=121.615 J | dram=2.408282 | total=124.024 J | power=123.1 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=2 batches=34 time=1.007 s | package=121.603 J | dram=2.405098 | total=124.008 J | power=123.1 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=3 batches=34 time=1.007 s | package=121.492 J | dram=2.388835 | total=123.881 J | power=123.0 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=4 batches=34 time=1.007 s | package=120.700 J | dram=2.364737 | total=123.065 J | power=122.2 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=5 batches=34 time=1.007 s | package=121.190 J | dram=2.381660 | total=123.572 J | power=122.7 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=6 batches=34 time=1.007 s | package=121.954 J | dram=2.389814 | total=124.344 J | power=123.4 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=7 batches=34 time=1.007 s | package=121.676 J | dram=2.390059 | total=124.066 J | power=123.2 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=8 batches=34 time=1.007 s | package=121.094 J | dram=2.368669 | total=123.463 J | power=122.5 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=9 batches=34 time=1.007 s | package=121.474 J | dram=2.378095 | total=123.852 J | power=123.0 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=20 rep=10 batches=34 time=1.007 s | package=121.436 J | dram=2.358572 | total=123.794 J | power=122.9 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=8000000 threads=1 rep=1 batches=168 time=1.002 s | package=46.139 J | dram=0.904322 | total=47.044 J | power=46.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=1 rep=2 batches=168 time=1.002 s | package=46.173 J | dram=0.895218 | total=47.068 J | power=47.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=1 rep=3 batches=168 time=1.002 s | package=45.932 J | dram=0.894927 | total=46.826 J | power=46.7 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=1 rep=4 batches=168 time=1.002 s | package=46.811 J | dram=0.899058 | total=47.710 J | power=47.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=1 rep=5 batches=168 time=1.002 s | package=47.958 J | dram=0.903648 | total=48.861 J | power=48.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=1 rep=6 batches=168 time=1.002 s | package=48.243 J | dram=0.916225 | total=49.159 J | power=49.1 W | runtime=in_range | checksum=OK
