schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T18:29:28,"strided_gemm_intel_20260719_175326_session2",1,1,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.006528,1.006528,1.006528,153.412571,154.393072,0.980501,2.114974e+00,153.391725,1.231077e-10,13.788055,13.788055,1.254130e+12,1246.00,5.033165e+07,153.39,in_range,,,,2120,2042,,98,98,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:29,"strided_gemm_intel_20260719_175326_session2",2,2,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.003912,1.003912,1.003912,153.907931,154.880109,0.972178,2.121645e+00,154.276653,1.234960e-10,13.752213,13.752213,1.254130e+12,1249.24,5.033165e+07,154.28,in_range,,,,2112,2180,,98,98,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:30,"strided_gemm_intel_20260719_175326_session2",3,3,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.008141,1.008141,1.008141,153.453952,154.425594,0.971642,2.115419e+00,153.178639,1.231336e-10,13.810144,13.810144,1.254130e+12,1244.00,5.033165e+07,153.18,in_range,,,,2180,2042,,98,98,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:31,"strided_gemm_intel_20260719_175326_session2",4,4,4,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.010921,1.010921,1.010921,153.980197,154.956888,0.976691,2.122697e+00,153.282947,1.235572e-10,13.848227,13.848227,1.254130e+12,1240.58,5.033165e+07,153.28,in_range,,,,2042,2111,,98,98,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:32,"strided_gemm_intel_20260719_175326_session2",5,5,5,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.012218,1.012218,1.012218,153.488193,154.469275,0.981082,2.116017e+00,152.604711,1.231684e-10,13.866004,13.866004,1.254130e+12,1238.99,5.033165e+07,152.60,in_range,,,,2117,2180,,98,98,97,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:33,"strided_gemm_intel_20260719_175326_session2",6,6,6,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.012457,1.012457,1.012457,152.772803,153.757970,0.985167,2.106274e+00,151.866129,1.226013e-10,13.869278,13.869278,1.254130e+12,1238.70,5.033165e+07,151.87,in_range,,,,2180,2285,,97,97,97,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:34,"strided_gemm_intel_20260719_175326_session2",7,7,7,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,1.009457,1.009457,1.009457,153.573826,154.562267,0.988441,2.117291e+00,153.114318,1.232426e-10,13.828173,13.828173,1.254130e+12,1242.38,5.033165e+07,153.11,in_range,,,,2293,2163,,98,97,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:35,"strided_gemm_intel_20260719_175326_session2",8,8,8,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,0.995590,0.995590,0.995590,155.370818,156.372953,1.002135,2.142095e+00,157.065667,1.246864e-10,13.638214,13.638214,1.254130e+12,1259.69,5.033165e+07,157.07,in_range,,,,2172,2224,,98,98,98,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:36,"strided_gemm_intel_20260719_175326_session2",9,9,9,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,0.990042,0.990042,0.990042,157.047389,158.050227,1.002838,2.165072e+00,159.639966,1.260238e-10,13.562215,13.562215,1.254130e+12,1266.75,5.033165e+07,159.64,in_range,,,,2224,2157,,100,98,100,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:37,"strided_gemm_intel_20260719_175326_session2",10,10,10,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,2048,"N=2048;ld=4096",73,0.991638,0.991638,0.991638,156.704005,157.714524,1.010519,2.160473e+00,159.044442,1.257561e-10,13.584083,13.584083,1.254130e+12,1264.71,5.033165e+07,159.04,in_range,,,,2211,2210,,100,100,100,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T18:29:43,"strided_gemm_intel_20260719_175326_session2",11,11,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,8192,"N=8192;ld=16384",2,1.874006,1.874006,1.874006,299.962001,303.576656,3.614655,1.517883e+02,161.993436,1.380507e-10,937.002951,937.002951,2.199023e+12,1173.43,8.053064e+08,161.99,above,,,,2387,2399,,99,99,99,,-1,-1,-1.000000,-1,t
