OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SkylakeX MAX_THREADS=128
STRIDED_GEMM(ld=2N) | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | session=strided_gemm_intel_20260719_175326_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=128 threads=4 rep=1 batches=75021 time=0.999 s | package=92.530 J | dram=0.000000 | total=92.530 J | power=92.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=2 batches=75021 time=1.000 s | package=92.447 J | dram=0.000000 | total=92.447 J | power=92.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=3 batches=75021 time=0.999 s | package=92.429 J | dram=0.000000 | total=92.429 J | power=92.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=4 batches=75021 time=1.000 s | package=92.548 J | dram=0.000000 | total=92.548 J | power=92.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=5 batches=75021 time=1.000 s | package=92.374 J | dram=0.000000 | total=92.374 J | power=92.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=6 batches=75021 time=1.009 s | package=90.079 J | dram=0.000000 | total=90.079 J | power=89.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=7 batches=75021 time=1.010 s | package=89.858 J | dram=0.000000 | total=89.858 J | power=89.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=8 batches=75021 time=1.008 s | package=89.663 J | dram=0.000000 | total=89.663 J | power=89.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=9 batches=75021 time=1.002 s | package=94.125 J | dram=0.000000 | total=94.125 J | power=93.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=4 rep=10 batches=75021 time=1.000 s | package=98.924 J | dram=0.000000 | total=98.924 J | power=98.9 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=1024 threads=16 rep=1 batches=480 time=1.040 s | package=169.324 J | dram=0.255725 | total=169.580 J | power=163.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=2 batches=480 time=1.044 s | package=169.322 J | dram=0.260207 | total=169.582 J | power=162.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=3 batches=480 time=1.046 s | package=169.321 J | dram=0.262731 | total=169.584 J | power=162.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=4 batches=480 time=1.047 s | package=169.385 J | dram=0.248625 | total=169.634 J | power=162.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=5 batches=480 time=1.049 s | package=169.462 J | dram=0.252465 | total=169.715 J | power=161.8 W | runtime=in_range | checksum=OK
