problem_size,metric,dense_exact_winner,dense_leader_platforms,dense_selection_status,strided_exact_winner,strided_leader_platforms,strided_selection_status,exact_winner_changed,leader_set_changed
64,runtime_s,INTEL,INTEL,clear_leader,INTEL,INTEL,clear_leader,False,False
128,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
256,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
512,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
1024,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
2048,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
4096,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
8192,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
16384,runtime_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
64,energy_j,INTEL,INTEL,clear_leader,INTEL,INTEL,clear_leader,False,False
128,energy_j,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,False,False
256,energy_j,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,False,False
512,energy_j,3090,"3090,5060ti",tie_or_uncertain,5060ti,"5060ti,3090",tie_or_uncertain,True,True
1024,energy_j,3090,3090,clear_leader,3090,3090,clear_leader,False,False
2048,energy_j,3090,3090,clear_leader,3090,3090,clear_leader,False,False
4096,energy_j,3090,3090,clear_leader,3090,3090,clear_leader,False,False
8192,energy_j,3090,3090,clear_leader,3090,3090,clear_leader,False,False
16384,energy_j,3090,3090,clear_leader,3090,3090,clear_leader,False,False
64,edp_j_s,INTEL,INTEL,clear_leader,INTEL,INTEL,clear_leader,False,False
128,edp_j_s,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,False,False
256,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
512,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
1024,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
2048,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
4096,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
8192,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
16384,edp_j_s,3090,3090,clear_leader,3090,3090,clear_leader,False,False
