metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_a_better,cliffs_delta_a_minus_b,a_configuration,b_configuration,a_selection_status,b_selection_status,energy_domain_a,energy_domain_b,inference_scope
edp_j_s,edp_opt,True,64,3090,RTX 3090,5060ti,RTX 5060 Ti,4.919391837770915e-09,3.241224180560288e-09,1.5177573545439036,1.495962165766046,1.523912457541397,clear_5060ti,0.0,1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,AMD,AMD CPU,3090,RTX 3090,2.693620855628583e-09,4.919391837770915e-09,0.5475515967130445,0.5455704505973137,0.5646364180078572,clear_AMD,1.0,-1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.693620855628583e-09,3.241224180560288e-09,0.831050462903481,0.8286697953641622,0.8569810760747513,clear_AMD,1.0,-1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,3090,RTX 3090,3.229599081398164e-10,4.919391837770915e-09,0.06565037280830971,0.06510244065321807,0.10255548619954677,clear_INTEL,1.0,-1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,5060ti,RTX 5060 Ti,3.229599081398164e-10,3.241224180560288e-09,0.09964133615836117,0.09898495645235736,0.15565434342818793,clear_INTEL,1.0,-1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,64,INTEL,Intel CPU,AMD,AMD CPU,3.229599081398164e-10,2.693620855628583e-09,0.1198980574660165,0.11627017088259466,0.18729830542945713,clear_INTEL,1.0,-1.0,16T,8T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,3090,RTX 3090,5060ti,RTX 5060 Ti,5.234266457310598e-09,4.177338209321127e-09,1.2530147656302015,1.2346485715555542,1.2661425175986127,clear_5060ti,0.0,1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,AMD,AMD CPU,3090,RTX 3090,2.0253929201305706e-08,5.234266457310598e-09,3.8694876094848856,3.799920945960908,3.907712628182208,clear_3090,0.0,1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.0253929201305706e-08,4.177338209321127e-09,4.848525110107673,4.761357053516501,4.909684158458871,clear_5060ti,0.0,1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,3090,RTX 3090,1.4631661135124886e-08,5.234266457310598e-09,2.7953603918442345,2.3322699466134518,3.1373423849365647,clear_3090,0.0,1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,5060ti,RTX 5060 Ti,1.4631661135124886e-08,4.177338209321127e-09,3.5026278462386515,2.9223686805422173,3.931136333162987,clear_5060ti,0.0,1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,128,INTEL,Intel CPU,AMD,AMD CPU,1.4631661135124886e-08,2.0253929201305706e-08,0.7224109944149321,0.6027335352868409,0.8107901359462459,clear_INTEL,1.0,-1.0,4T,4T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,3090,RTX 3090,5060ti,RTX 5060 Ti,1.5742947946253712e-08,2.04331027280577e-08,0.770462917735753,0.7618688839262233,0.7749531930384392,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,AMD,AMD CPU,3090,RTX 3090,7.718843541403335e-07,1.5742947946253712e-08,49.03048379347629,48.34219032911115,58.10857788556953,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,AMD,AMD CPU,5060ti,RTX 5060 Ti,7.718843541403335e-07,2.04331027280577e-08,37.776169601517296,37.24586501070408,44.77050446319116,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,INTEL,Intel CPU,3090,RTX 3090,2.177878856343998e-07,1.5742947946253712e-08,13.83399642671282,12.545700880983707,14.346937918737328,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,INTEL,Intel CPU,5060ti,RTX 5060 Ti,2.177878856343998e-07,2.04331027280577e-08,10.658581250871142,9.665997305802716,11.050642311606541,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,256,INTEL,Intel CPU,AMD,AMD CPU,2.177878856343998e-07,7.718843541403335e-07,0.2821509264518718,0.23802362343998676,0.29403443205596774,clear_INTEL,1.0,-1.0,8T,16T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,3090,RTX 3090,5060ti,RTX 5060 Ti,1.7185056457694625e-07,4.998092197938138e-07,0.34383232195644514,0.3170020811915115,0.3525001298389945,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,3090,RTX 3090,2.168275909047525e-05,1.7185056457694625e-07,126.17217257244899,108.09479245310337,136.85106072116253,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.168275909047525e-05,4.998092197938138e-07,43.38207106187444,37.16648348055055,45.202709828580645,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,3090,RTX 3090,1.0301292962434046e-05,1.7185056457694625e-07,59.94331754331615,57.74495183112983,65.01676575504702,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,5060ti,RTX 5060 Ti,1.0301292962434046e-05,4.998092197938138e-07,20.610450056690905,19.831645505969977,22.143596127946033,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,AMD,AMD CPU,1.0301292962434046e-05,2.168275909047525e-05,0.4750914272233543,0.450780658721058,0.5545439903529339,clear_INTEL,1.0,-1.0,16T,16T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,3090,RTX 3090,5060ti,RTX 5060 Ti,4.94656256546926e-06,2.536605157483985e-05,0.19500719498558738,0.19206145385498077,0.20428381181402436,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,3090,RTX 3090,0.0007378120717038,4.94656256546926e-06,149.15652272434298,146.39528265665416,176.23219436718097,clear_3090,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.0007378120717038,2.536605157483985e-05,29.086595110278147,28.746716988653123,34.36654588969879,clear_5060ti,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,3090,RTX 3090,0.0004816048394413,4.94656256546926e-06,97.36151783528733,89.84215212631811,104.17215618652872,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0004816048394413,2.536605157483985e-05,18.98619649259862,17.526603936099733,20.320070069160757,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,AMD,AMD CPU,0.0004816048394413,0.0007378120717038,0.6527473023437379,0.5524615873103977,0.6984083182138128,clear_INTEL,1.0,-1.0,8T,32T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,3090,RTX 3090,5060ti,RTX 5060 Ti,0.0001971587218874,0.001661582233947,0.11865721591104159,0.11624499198151833,0.12020175225613913,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,3090,RTX 3090,0.0166475496378321,0.0001971587218874,84.43729741431243,81.56918333029869,87.28924649812332,clear_3090,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.0166475496378321,0.001661582233947,10.019094630234902,9.678772198110584,10.35749896843995,clear_5060ti,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,3090,RTX 3090,0.0290607425685601,0.0001971587218874,147.39770216788625,140.49630026173472,164.25555720756387,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0290607425685601,0.001661582233947,17.489800970926282,16.670899834859185,19.49010711616635,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,AMD,AMD CPU,0.0290607425685601,0.0166475496378321,1.745646848982424,1.663912803513298,1.9506787339469607,clear_AMD,0.0,1.0,8T,64T,clear_leader,clear_leader,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,3090,RTX 3090,5060ti,RTX 5060 Ti,0.009979714305943,0.1092629191994598,0.0913366984797926,0.09008291485218267,0.093599201399789,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
