session_number,problem_size,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,package_avg_power_w,dram_avg_power_w,edp_total_j_s,edp_package_j_s,throughput_gflops_exact,total_efficiency_gflop_per_j,package_efficiency_gflop_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches
1,64,1,6.188471799962772e-06,6.188471799962772e-06,0.0004494260129056276,0.0004494260129056276,,72.6294920726826,72.6294920726826,,2.7818209476304664e-09,2.7818209476304664e-09,84.72012431070863,1.1665724531825243,1.1665724531825243,73.0,1830.0,1795.0,-1.9125390165543958,161170.0
1,64,2,6.21050841322149e-06,6.21050841322149e-06,0.00045310438511084476,0.00045310438511084476,,72.96229745984459,72.96229745984459,,2.8125829146850213e-09,2.8125829146850213e-09,84.4194977707051,1.1571020970960542,1.1571020970960542,76.0,1794.5,1795.0,0.0,160224.0
1,64,4,6.201551085263139e-06,6.201551085263139e-06,0.00045077458678070674,0.00045077458678070674,,72.71937738950211,72.71937738950211,,2.7951301268524653e-09,2.7951301268524653e-09,84.54143309752752,1.1630830200332365,1.1630830200332365,74.0,1822.5,1795.0,-1.508908910596579,161113.0
1,64,8,6.138008702643321e-06,6.138008702643321e-06,0.00043889807228472005,0.00043889807228472005,,71.48723784239588,71.48723784239588,,2.693620855628583e-09,2.693620855628583e-09,85.4166273173939,1.194555419216985,1.194555419216985,69.0,1795.0,1795.0,0.0,162939.0
1,64,10,6.201099747263052e-06,6.201099747263052e-06,0.0004500579401007222,0.0004500579401007222,,72.56226450138587,72.56226450138587,,2.7893280005037217e-09,2.7893280005037217e-09,84.54758436303061,1.1649344951055511,1.1649344951055511,74.0,1795.0,1794.0,-0.027855153203342618,161037.0
1,64,16,6.1745990350762805e-06,6.1745990350762805e-06,0.00044711433166303425,0.00044711433166303425,,72.43478398378755,72.43478398378755,,2.759224421285102e-09,2.759224421285102e-09,84.9104532326094,1.17260396300559,1.17260396300559,73.0,1824.5,1795.0,-1.6166966174536483,161049.0
1,64,20,6.169123001913226e-06,6.169123001913226e-06,0.0004452024594210948,0.0004452024594210948,,72.16199247117984,72.16199247117984,,2.746508792911617e-09,2.746508792911617e-09,84.98582464846857,1.1776395480548354,1.1776395480548354,71.0,1795.0,1795.0,0.0,162030.0
1,64,32,6.1804999193878434e-06,6.1804999193878434e-06,0.0004482989563826225,0.0004482989563826225,,72.53055995444257,72.53055995444257,,2.7707120608611566e-09,2.7707120608611566e-09,84.82939445285317,1.1695054798256763,1.1695054798256763,73.0,1795.0,1795.0,0.0,161266.0
1,64,64,6.176646411055245e-06,6.176646411055245e-06,0.0004458714334186742,0.0004458714334186742,,72.20465111493576,72.20465111493576,,2.7542019020012283e-09,2.7542019020012283e-09,84.88230813650492,1.1758725981245735,1.1758725981245735,72.0,1795.0,1795.0,0.0,162095.0
1,128,1,4.022741470446901e-05,4.022741470446901e-05,0.0029625397044690054,0.0029625397044690054,,73.67739601897895,73.67739601897895,,1.1917540032522394e-07,1.1917540032522394e-07,104.26493010206195,1.4157805352719917,1.4157805352719917,74.0,1829.0,1795.0,-1.7245436287881057,24972.0
1,128,2,2.3433674537629407e-05,2.3433674537629407e-05,0.002089668733279051,0.002089668733279051,,88.97163757244834,88.97163757244834,,4.896861634552167e-08,4.896861634552167e-08,178.98618812682042,2.007162174219183,2.007162174219183,74.0,1849.0,1835.0,-0.05402839949842031,42985.0
1,128,4,1.3406942609716718e-05,1.3406942609716718e-05,0.0015256776350026022,0.0015256776350026022,,113.74900797740266,113.74900797740266,,2.0454009134503173e-08,2.0454009134503173e-08,312.8456809646195,2.749142307421269,2.749142307421269,82.5,1904.5,1905.0,0.0,74943.0
1,128,8,1.7049076212471134e-05,1.7049076212471134e-05,0.0020498202350224155,0.0020498202350224155,,120.21680070132041,120.21680070132041,,3.4944170301319735e-08,3.4944170301319735e-08,246.01357702285088,2.0461819902021654,2.0461819902021654,66.0,2089.5,2057.0,-0.8155592071762605,58888.0
1,128,10,1.765008335526893e-05,1.765008335526893e-05,0.002108257725717294,0.002108257725717294,,119.45595837826426,119.45595837826426,,3.721094630883431e-08,3.721094630883431e-08,237.6367260301143,1.9894652528509458,1.9894652528509458,69.0,2086.5,2053.0,-0.935117607350382,56985.0
1,128,16,1.7638857545839213e-05,1.7638857545839213e-05,0.0021194891220028206,0.0021194891220028206,,120.01675421180414,120.01675421180414,,3.738536711401994e-08,3.738536711401994e-08,237.78775521363949,1.978922167146063,1.978922167146063,69.0,2064.0,2063.0,-0.16953847273358927,56720.0
1,128,20,1.732227361832376e-05,1.732227361832376e-05,0.002088338600956082,0.002088338600956082,,120.5715898253743,120.5715898253743,,3.617490262392082e-08,3.617490262392082e-08,242.1337218913341,2.0084411015161923,2.0084411015161923,70.0,2079.0,2061.5,-0.8591602128376002,58154.0
1,128,32,1.7360936455995474e-05,1.7360936455995474e-05,0.0020731785622505098,0.0020731785622505098,,119.45513549109519,119.45513549109519,,3.600402960811703e-08,3.600402960811703e-08,241.59434217743802,2.023127229232789,2.023127229232789,74.0,2065.5,2065.5,0.0,58369.0
1,128,64,1.714456190247747e-05,1.714456190247747e-05,0.002076284909022376,0.002076284909022376,,121.00574153708823,121.00574153708823,,3.5637191907125436e-08,3.5637191907125436e-08,244.64358458936218,2.0201008361252986,2.0201008361252986,72.5,2053.0,2052.5,-0.04873295504337399,58366.0
1,256,1,0.00028670521962350254,0.00028670521962350254,0.021607643325727323,0.021607643325727323,,75.3863191251759,75.3863191251759,,6.195025471356494e-06,6.195025471356494e-06,117.03466073665916,1.5528965743229168,1.5528965743229168,75.0,1808.5,1795.0,-0.7409440175631175,3506.0
1,256,2,0.00015256474928474628,0.00015256474928474628,0.014204144556542689,0.014204144556542689,,93.14283186117359,93.14283186117359,,2.165784727523662e-06,2.165784727523662e-06,219.9358346861885,2.3623145317667076,2.3623145317667076,78.0,1850.0,1834.0,-0.240128068303095,6641.0
1,256,4,8.796396982310093e-05,8.796396982310093e-05,0.010570141562608394,0.010570141562608394,,120.29068101388637,120.29068101388637,,9.29075124831115e-07,9.29075124831115e-07,381.4565558806222,3.1744550388688912,3.1744550388688912,89.0,1902.0,1902.0,-0.026301946344029457,11532.0
1,256,8,9.092753433044695e-05,9.092753433044695e-05,0.012213060832677338,0.012213060832677338,,134.3596153986212,134.3596153986212,,1.1105041274841306e-06,1.1105041274841306e-06,369.02411687074937,2.747423360291864,2.747423360291864,72.0,2088.5,2060.0,-0.8610417146050426,11433.0
1,256,10,0.00010162054877433673,0.00010162054877433673,0.014189014929890043,0.014189014929890043,,139.66926451708858,139.66926451708858,,1.4420004434474917e-06,1.4420004434474917e-06,330.1933756264383,2.3648178443294876,2.3648178443294876,68.0,2163.0,2128.0,-1.6172502133833253,9913.0
1,256,16,6.52472982592377e-05,6.52472982592377e-05,0.011660605837054295,0.011660605837054295,,178.72521126990875,178.72521126990875,,7.610485859590864e-07,7.610485859590864e-07,514.2654722382404,2.8775891784914256,2.8775891784914256,67.0,2384.5,2351.5,-1.3868475069118515,15453.0
1,256,20,9.467848722059796e-05,9.467848722059796e-05,0.017790384089408657,0.017790384089408657,,187.61725539096338,187.61725539096338,,1.6841052354737385e-06,1.6841052354737385e-06,354.40410184468124,1.886099360133969,1.886099360133969,69.0,2524.0,2494.5,-1.070713606700015,10603.0
1,256,32,7.902664824318989e-05,7.902664824318989e-05,0.01691888716936439,0.01691888716936439,,214.10992941396196,214.10992941396196,,1.3365298227189055e-06,1.3365298227189055e-06,424.5964215310236,1.983253094155319,1.983253094155319,69.0,2974.5,2938.5,-0.9793189817607886,12665.0
1,256,64,7.724138063721717e-05,7.724138063721717e-05,0.016673903994151147,0.016673903994151147,,215.89143162875087,215.89143162875087,,1.287948527427747e-06,1.287948527427747e-06,434.41005028687357,2.0123920607695585,2.0123920607695585,68.5,2927.0,2925.5,0.15432098765432098,12994.0
1,512,1,0.0021992697368421054,0.0021992697368421054,0.16735210307017545,0.16735210307017545,,76.06822043124022,76.06822043124022,,0.0003680535515689996,0.0003680535515689996,122.05667141922012,1.6040164677629658,1.6040164677629658,78.0,1821.5,1795.0,-0.027382256297918947,456.0
1,512,2,0.0011221045606229145,0.0011221045606229145,0.10539428698553949,0.10539428698553949,,93.87746119781133,93.87746119781133,,0.00011809064871801445,0.00011809064871801445,239.22517700960918,2.546965153133173,2.546965153133173,79.0,1835.0,1834.0,-0.05449591280653951,899.0
1,512,4,0.0006116432448733414,0.0006116432448733414,0.0758737083835947,0.0758737083835947,,124.14156693042537,124.14156693042537,,4.6425557612934366e-05,4.6425557612934366e-05,438.876022606289,3.537925470441089,3.537925470441089,87.0,1938.0,1903.0,-1.0577117033398957,1658.0
1,512,8,0.0005422413326110508,0.0005422413326110508,0.07920035184182016,0.07920035184182016,,146.01061523942855,146.01061523942855,,4.2925696339035004e-05,4.2925696339035004e-05,495.04797829756046,3.3893219933077106,3.3893219933077106,79.0,2085.5,2056.5,-0.04789272030651341,1846.0
1,512,10,0.0005062710020242915,0.0005062710020242915,0.08128213815789474,0.08128213815789474,,160.49843482287866,160.49843482287866,,4.115078930769487e-05,4.115078930769487e-05,530.2209206745893,3.302514699863622,3.302514699863622,78.5,2120.0,2119.5,-0.04714757190004715,1976.0
1,512,16,0.0002918957489878543,0.0002918957489878543,0.06365162377096586,0.06365162377096586,,217.91121082468095,217.91121082468095,,1.8576151110893638e-05,1.8576151110893638e-05,919.6278361216896,4.217260377657473,4.217260377657473,79.0,2338.0,2333.0,-0.14972818491119438,3458.0
