schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-18T15:54:12,"20260718_092807_session2",1,1,1,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.004186,1.004186,1.004186,153.320408,153.744326,0.423918,7.286461e-01,153.103365,9.848229e-11,4.759178,4.759178,1.561137e+12,1554.63,5.152768e+07,153.10,in_range,,,,3134,3141,,79,79,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:13,"20260718_092807_session2",2,2,2,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.002891,1.002891,1.002891,154.229158,154.626009,0.396851,7.328247e-01,154.180268,9.904706e-11,4.753038,4.753038,1.561137e+12,1556.64,5.152768e+07,154.18,in_range,,,,3562,3131,,80,79,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:14,"20260718_092807_session2",3,3,3,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003991,1.003991,1.003991,153.896579,154.284571,0.387992,7.312065e-01,153.671336,9.882835e-11,4.758249,4.758249,1.561137e+12,1554.93,5.152768e+07,153.67,in_range,,,,3551,3115,,80,80,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:15,"20260718_092807_session2",4,4,4,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.002879,1.002879,1.002879,153.571384,153.979083,0.407699,7.297587e-01,153.537071,9.863267e-11,4.752980,4.752980,1.561137e+12,1556.66,5.152768e+07,153.54,in_range,,,,3553,3112,,80,80,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:16,"20260718_092807_session2",5,5,5,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.002322,1.002322,1.002322,154.407197,154.840539,0.433342,7.338414e-01,154.481796,9.918448e-11,4.750342,4.750342,1.561137e+12,1557.52,5.152768e+07,154.48,in_range,,,,3555,3012,,80,79,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:17,"20260718_092807_session2",6,6,6,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003471,1.003471,1.003471,154.576203,155.028242,0.452039,7.347310e-01,154.492031,9.930472e-11,4.755786,4.755786,1.561137e+12,1555.74,5.152768e+07,154.49,in_range,,,,3439,3016,,80,80,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:18,"20260718_092807_session2",7,7,7,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003454,1.003454,1.003454,153.842990,154.289459,0.446469,7.312297e-01,153.758320,9.883148e-11,4.755708,4.755708,1.561137e+12,1555.76,5.152768e+07,153.76,in_range,,,,3439,3019,,81,80,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:19,"20260718_092807_session2",8,8,8,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003092,1.003092,1.003092,153.969760,154.407003,0.437243,7.317867e-01,153.931069,9.890678e-11,4.753990,4.753990,1.561137e+12,1556.32,5.152768e+07,153.93,in_range,,,,3439,3130,,81,81,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:20,"20260718_092807_session2",9,9,9,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003661,1.003661,1.003661,154.517793,154.953338,0.435545,7.343760e-01,154.388145,9.925674e-11,4.756687,4.756687,1.561137e+12,1555.44,5.152768e+07,154.39,in_range,,,,3550,3011,,81,81,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T15:54:21,"20260718_092807_session2",10,10,10,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",211,1.003031,1.003031,1.003031,154.693452,155.129762,0.436310,7.352121e-01,154.661060,9.936975e-11,4.753699,4.753699,1.561137e+12,1556.42,5.152768e+07,154.66,in_range,,,,3440,3019,,81,81,81,,-1,-1,-1.000000,-1,t
