schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-18T22:27:11,"20260718_092807_session4",1,1,1,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.007997,1.007997,1.007997,42.382581,42.382581,0.000000,1.009109e+00,42.046327,2.405904e-07,23.999934,23.999934,1.761608e+08,0.17,1.966080e+05,42.05,in_range,,,,1530,1529,,86,86,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:13,"20260718_092807_session4",2,2,2,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.145930,1.145930,1.145930,49.302181,49.302181,0.000000,1.173861e+00,43.023726,2.798704e-07,27.284049,27.284049,1.761608e+08,0.15,1.966080e+05,43.02,in_range,,,,1530,1685,,85,85,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:14,"20260718_092807_session4",3,3,3,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.344446,1.344446,1.344446,59.461578,59.461578,0.000000,1.415752e+00,44.227568,3.375415e-07,32.010620,32.010620,1.761608e+08,0.13,1.966080e+05,44.23,above,,,,1618,1654,,87,85,87,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:15,"20260718_092807_session4",4,4,4,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.479433,1.479433,1.479433,65.826003,65.826003,0.000000,1.567286e+00,44.494078,3.736701e-07,35.224593,35.224593,1.761608e+08,0.12,1.966080e+05,44.49,above,,,,1903,1685,,87,87,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:16,"20260718_092807_session4",5,5,5,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.020422,1.020422,1.020422,44.921210,44.921210,0.000000,1.069553e+00,44.022182,2.550012e-07,24.295766,24.295766,1.761608e+08,0.17,1.966080e+05,44.02,in_range,,,,1677,1685,,85,85,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:17,"20260718_092807_session4",6,6,6,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.012556,1.012556,1.012556,45.510626,45.510626,0.000000,1.083586e+00,44.946278,2.583471e-07,24.108477,24.108477,1.761608e+08,0.17,1.966080e+05,44.95,in_range,,,,1651,1685,,85,85,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:19,"20260718_092807_session4",7,7,7,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.018849,1.018849,1.018849,44.908760,44.908760,0.000000,1.069256e+00,44.077953,2.549305e-07,24.258300,24.258300,1.761608e+08,0.17,1.966080e+05,44.08,in_range,,,,1636,1685,,86,85,86,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:20,"20260718_092807_session4",8,8,8,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.437691,1.437691,1.437691,64.032917,64.032917,0.000000,1.524593e+00,44.538727,3.634914e-07,34.230733,34.230733,1.761608e+08,0.12,1.966080e+05,44.54,above,,,,1661,1685,,87,86,87,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:21,"20260718_092807_session4",9,9,9,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.120509,1.120509,1.120509,48.367797,48.367797,0.000000,1.151614e+00,43.165924,2.745662e-07,26.678780,26.678780,1.761608e+08,0.16,1.966080e+05,43.17,in_range,,,,1642,1685,,87,87,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:27:22,"20260718_092807_session4",10,10,10,"GEMM","openblas_sgemm",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",20,128,"N=128",42,1.020960,1.020960,1.020960,44.117990,44.117990,0.000000,1.050428e+00,43.212274,2.504416e-07,24.308564,24.308564,1.761608e+08,0.17,1.966080e+05,43.21,in_range,,,,1626,1685,,85,85,85,,-1,-1,-1.000000,-1,t
