schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-18T17:34:50,"20260718_092807_session3",1,1,1,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.001850,1.001850,1.001850,63.253989,65.114255,1.860266,4.370084e-01,64.994012,1.365651e-08,6.723826,6.723826,4.768000e+09,4.76,1.920000e+08,64.99,in_range,,,,1719,1719,,57,57,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:51,"20260718_092807_session3",2,2,2,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.012986,1.012986,1.012986,64.152302,65.951123,1.798821,4.426250e-01,65.105672,1.383203e-08,6.798563,6.798563,4.768000e+09,4.71,1.920000e+08,65.11,in_range,,,,1731,1717,,58,57,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:52,"20260718_092807_session3",3,3,3,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.005672,1.005672,1.005672,63.288412,65.113488,1.825076,4.370033e-01,64.746260,1.365635e-08,6.749475,6.749475,4.768000e+09,4.74,1.920000e+08,64.75,in_range,,,,1744,1719,,58,58,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:53,"20260718_092807_session3",4,4,4,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.010003,1.010003,1.010003,64.615679,66.440296,1.824617,4.459080e-01,65.782246,1.393463e-08,6.778547,6.778547,4.768000e+09,4.72,1.920000e+08,65.78,in_range,,,,1752,1700,,58,58,57,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:54,"20260718_092807_session3",5,5,5,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.006146,1.006146,1.006146,63.065391,64.898331,1.832940,4.355593e-01,64.501910,1.361123e-08,6.752657,6.752657,4.768000e+09,4.74,1.920000e+08,64.50,in_range,,,,1748,1705,,58,57,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:55,"20260718_092807_session3",6,6,6,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.011158,1.011158,1.011158,64.200458,65.989502,1.789044,4.428826e-01,65.261307,1.384008e-08,6.786296,6.786296,4.768000e+09,4.72,1.920000e+08,65.26,in_range,,,,1745,1720,,58,58,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:56,"20260718_092807_session3",7,7,7,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.005931,1.005931,1.005931,64.800982,66.630082,1.829100,4.471818e-01,66.237220,1.397443e-08,6.751216,6.751216,4.768000e+09,4.74,1.920000e+08,66.24,in_range,,,,1746,1719,,58,58,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:57,"20260718_092807_session3",8,8,8,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.010220,1.010220,1.010220,64.647418,66.449498,1.802080,4.459698e-01,65.777248,1.393656e-08,6.780001,6.780001,4.768000e+09,4.72,1.920000e+08,65.78,in_range,,,,1759,1840,,58,58,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:58,"20260718_092807_session3",9,9,9,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.006397,1.006397,1.006397,63.886860,65.699619,1.812759,4.409370e-01,65.282020,1.377928e-08,6.754341,6.754341,4.768000e+09,4.74,1.920000e+08,65.28,in_range,,,,1883,1719,,58,58,58,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T17:34:59,"20260718_092807_session3",10,10,10,"STREAM","openmp_triad",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",4,16000000,"elements=16000000",149,1.006280,1.006280,1.006280,64.052387,65.865085,1.812698,4.420476e-01,65.454044,1.381399e-08,6.753556,6.753556,4.768000e+09,4.74,1.920000e+08,65.45,in_range,,,,1739,1850,,58,58,58,,-1,-1,-1.000000,-1,t
