schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T10:37:03,"20260719_085402_session3",1,1,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.000426,1.000426,1.000426,72.899093,72.899093,-1.000000,4.450494e-04,72.868078,8.488644e-10,0.006108,0.006108,8.587837e+10,85.84,4.915200e+04,72.87,in_range,,,,1795,1826,,71,71,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:04,"20260719_085402_session3",2,2,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.006006,1.006006,1.006006,73.583048,73.583048,-1.000000,4.492250e-04,73.143740,8.568286e-10,0.006142,0.006142,8.587837e+10,85.37,4.915200e+04,73.14,in_range,,,,1826,1795,,71,71,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:05,"20260719_085402_session3",3,3,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.005306,1.005306,1.005306,73.145341,73.145341,-1.000000,4.465528e-04,72.759294,8.517318e-10,0.006137,0.006137,8.587837e+10,85.43,4.915200e+04,72.76,in_range,,,,1795,1795,,71,71,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:06,"20260719_085402_session3",4,4,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.008950,1.008950,1.008950,73.741746,73.741746,-1.000000,4.501938e-04,73.087588,8.586765e-10,0.006160,0.006160,8.587837e+10,85.12,4.915200e+04,73.09,in_range,,,,1866,1795,,72,71,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:07,"20260719_085402_session3",5,5,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.019699,1.019699,1.019699,74.332765,74.332765,-1.000000,4.538020e-04,72.896797,8.655586e-10,0.006225,0.006225,8.587837e+10,84.22,4.915200e+04,72.90,in_range,,,,1871,1795,,73,71,73,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:08,"20260719_085402_session3",6,6,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.005881,1.005881,1.005881,73.120440,73.120440,-1.000000,4.464007e-04,72.692916,8.514418e-10,0.006141,0.006141,8.587837e+10,85.38,4.915200e+04,72.69,in_range,,,,1795,1795,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:09,"20260719_085402_session3",7,7,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.006777,1.006777,1.006777,73.697635,73.697635,-1.000000,4.499245e-04,73.201554,8.581629e-10,0.006146,0.006146,8.587837e+10,85.30,4.915200e+04,73.20,in_range,,,,1795,1795,,72,72,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:10,"20260719_085402_session3",8,8,8,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.005971,1.005971,1.005971,73.660054,73.660054,-1.000000,4.496951e-04,73.222873,8.577253e-10,0.006141,0.006141,8.587837e+10,85.37,4.915200e+04,73.22,in_range,,,,1835,1795,,72,71,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:11,"20260719_085402_session3",9,9,9,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.004082,1.004082,1.004082,73.481918,73.481918,-1.000000,4.486076e-04,73.183168,8.556510e-10,0.006130,0.006130,8.587837e+10,85.53,4.915200e+04,73.18,in_range,,,,1835,1795,,72,72,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:12,"20260719_085402_session3",10,10,10,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,64,"N=64",163800,1.004181,1.004181,1.004181,73.043174,73.043174,-1.000000,4.459290e-04,72.739079,8.505421e-10,0.006131,0.006131,8.587837e+10,85.52,4.915200e+04,72.74,in_range,,,,1795,1795,,71,71,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:14,"20260719_085402_session3",11,11,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.000210,1.000210,1.000210,241.082824,241.082824,-1.000000,4.930119e-01,241.032274,2.295766e-10,2.045419,2.045419,1.050120e+12,1049.90,1.258291e+07,241.03,in_range,,,,2500,2488,,69,69,69,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:15,"20260719_085402_session3",12,12,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.003013,1.003013,1.003013,241.315158,241.315158,-1.000000,4.934870e-01,240.590145,2.297978e-10,2.051152,2.051152,1.050120e+12,1046.96,1.258291e+07,240.59,in_range,,,,2569,2493,,70,69,70,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:16,"20260719_085402_session3",13,13,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.004235,1.004235,1.004235,242.254379,242.254379,-1.000000,4.954077e-01,241.232710,2.306922e-10,2.053651,2.053651,1.050120e+12,1045.69,1.258291e+07,241.23,in_range,,,,2499,2494,,71,69,71,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:17,"20260719_085402_session3",14,14,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.004226,1.004226,1.004226,242.536117,242.536117,-1.000000,4.959839e-01,241.515408,2.309605e-10,2.053632,2.053632,1.050120e+12,1045.70,1.258291e+07,241.52,in_range,,,,2490,2493,,73,70,73,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:18,"20260719_085402_session3",15,15,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.006877,1.006877,1.006877,242.201860,242.201860,-1.000000,4.953003e-01,240.547533,2.306422e-10,2.059054,2.059054,1.050120e+12,1042.95,1.258291e+07,240.55,in_range,,,,2488,2482,,72,71,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:19,"20260719_085402_session3",16,16,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,1.008451,1.008451,1.008451,242.556044,242.556044,-1.000000,4.960246e-01,240.523290,2.309795e-10,2.062273,2.062273,1.050120e+12,1041.32,1.258291e+07,240.52,in_range,,,,2482,2507,,72,71,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:20,"20260719_085402_session3",17,17,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,0.996689,0.996689,0.996689,242.713584,242.713584,-1.000000,4.963468e-01,243.519883,2.311295e-10,2.038219,2.038219,1.050120e+12,1053.61,1.258291e+07,243.52,in_range,,,,2506,2486,,82,72,82,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:21,"20260719_085402_session3",18,18,8,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,0.953511,0.953511,0.953511,237.006802,237.006802,-1.000000,4.846765e-01,248.562143,2.256951e-10,1.949921,1.949921,1.050120e+12,1101.32,1.258291e+07,248.56,in_range,,,,2483,2485,,82,82,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:22,"20260719_085402_session3",19,19,9,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,0.950077,0.950077,0.950077,236.380949,236.380949,-1.000000,4.833966e-01,248.801774,2.250991e-10,1.942899,1.942899,1.050120e+12,1105.30,1.258291e+07,248.80,in_range,,,,2482,2484,,80,80,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:23,"20260719_085402_session3",20,20,10,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,1024,"N=1024",489,0.949416,0.949416,0.949416,236.479714,236.479714,-1.000000,4.835986e-01,249.079233,2.251931e-10,1.941545,1.941545,1.050120e+12,1106.07,1.258291e+07,249.08,in_range,,,,2482,2487,,79,79,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:27,"20260719_085402_session3",21,21,1,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.123112,1.123112,1.123112,91.030159,91.030159,-1.000000,9.103016e+01,81.051712,6.623316e-10,1123.112111,1123.112111,1.374390e+11,122.37,2.013266e+08,81.05,in_range,,,,1794,1835,,79,79,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:28,"20260719_085402_session3",22,22,2,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.115329,1.115329,1.115329,90.217075,90.217075,-1.000000,9.021707e+01,80.888331,6.564156e-10,1115.328678,1115.328678,1.374390e+11,123.23,2.013266e+08,80.89,in_range,,,,1871,1794,,79,79,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:29,"20260719_085402_session3",23,23,3,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.117880,1.117880,1.117880,90.235599,90.235599,-1.000000,9.023560e+01,80.720320,6.565504e-10,1117.879606,1117.879606,1.374390e+11,122.95,2.013266e+08,80.72,in_range,,,,1794,1794,,79,79,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:30,"20260719_085402_session3",24,24,4,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.111949,1.111949,1.111949,89.691239,89.691239,-1.000000,8.969124e+01,80.661254,6.525897e-10,1111.949475,1111.949475,1.374390e+11,123.60,2.013266e+08,80.66,in_range,,,,1794,1795,,78,78,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:31,"20260719_085402_session3",25,25,5,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.110382,1.110382,1.110382,88.013317,88.013317,-1.000000,8.801332e+01,79.264025,6.403812e-10,1110.381621,1110.381621,1.374390e+11,123.78,2.013266e+08,79.26,in_range,,,,1794,1794,,78,78,77,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:32,"20260719_085402_session3",26,26,6,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.109518,1.109518,1.109518,86.984424,86.984424,-1.000000,8.698442e+01,78.398406,6.328950e-10,1109.517766,1109.517766,1.374390e+11,123.87,2.013266e+08,78.40,in_range,,,,1794,1794,,77,77,77,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:33,"20260719_085402_session3",27,27,7,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.113365,1.113365,1.113365,87.084837,87.084837,-1.000000,8.708484e+01,78.217705,6.336256e-10,1113.364770,1113.364770,1.374390e+11,123.44,2.013266e+08,78.22,in_range,,,,1794,1795,,77,77,76,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:35,"20260719_085402_session3",28,28,8,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.110386,1.110386,1.110386,86.842371,86.842371,-1.000000,8.684237e+01,78.209195,6.318614e-10,1110.385689,1110.385689,1.374390e+11,123.78,2.013266e+08,78.21,in_range,,,,1825,1794,,76,76,76,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:36,"20260719_085402_session3",29,29,9,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.111746,1.111746,1.111746,86.965168,86.965168,-1.000000,8.696517e+01,78.223958,6.327549e-10,1111.745945,1111.745945,1.374390e+11,123.62,2.013266e+08,78.22,in_range,,,,1794,1795,,76,76,76,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T10:37:37,"20260719_085402_session3",30,30,10,"GEMM","openblas_sgemm",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",1,4096,"N=4096",1,1.110835,1.110835,1.110835,86.806271,86.806271,-1.000000,8.680627e+01,78.145052,6.315987e-10,1110.835159,1110.835159,1.374390e+11,123.73,2.013266e+08,78.15,in_range,,,,1794,1822,,76,76,76,,-1,-1,-1.000000,-1,t
