schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T02:27:41,"20260718_205238_session1",1,1,1,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016700,1.016700,1.016700,152.720862,152.720862,-1.000000,1.174776e+01,150.212385,2.294484e-08,78.207657,78.207657,6.656000e+09,6.55,3.072000e+09,150.21,in_range,,,,2999,2982,,46,45,46,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:42,"20260718_205238_session1",2,2,2,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016260,1.016260,1.016260,152.571196,152.571196,-1.000000,1.173625e+01,150.130089,2.292236e-08,78.173842,78.173842,6.656000e+09,6.55,3.072000e+09,150.13,in_range,,,,3029,2980,,47,46,47,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:43,"20260718_205238_session1",3,3,3,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.017293,1.017293,1.017293,153.278511,153.278511,-1.000000,1.179065e+01,150.672857,2.302862e-08,78.253342,78.253342,6.656000e+09,6.54,3.072000e+09,150.67,in_range,,,,2988,2987,,48,47,48,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:44,"20260718_205238_session1",4,4,4,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016011,1.016011,1.016011,153.358020,153.358020,-1.000000,1.179677e+01,150.941296,2.304057e-08,78.154694,78.154694,6.656000e+09,6.55,3.072000e+09,150.94,in_range,,,,2989,2989,,49,48,49,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:45,"20260718_205238_session1",5,5,5,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016257,1.016257,1.016257,153.600486,153.600486,-1.000000,1.181542e+01,151.143350,2.307700e-08,78.173614,78.173614,6.656000e+09,6.55,3.072000e+09,151.14,in_range,,,,3028,2988,,49,49,49,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:46,"20260718_205238_session1",6,6,6,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016058,1.016058,1.016058,153.592047,153.592047,-1.000000,1.181477e+01,151.164710,2.307573e-08,78.158274,78.158274,6.656000e+09,6.55,3.072000e+09,151.16,in_range,,,,3027,3019,,49,49,49,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:47,"20260718_205238_session1",7,7,7,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016212,1.016212,1.016212,153.362476,153.362476,-1.000000,1.179711e+01,150.915756,2.304124e-08,78.170191,78.170191,6.656000e+09,6.55,3.072000e+09,150.92,in_range,,,,3024,2974,,50,49,50,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:48,"20260718_205238_session1",8,8,8,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016433,1.016433,1.016433,153.625066,153.625066,-1.000000,1.181731e+01,151.141422,2.308069e-08,78.187122,78.187122,6.656000e+09,6.55,3.072000e+09,151.14,in_range,,,,3004,2968,,50,50,50,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:49,"20260718_205238_session1",9,9,9,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016527,1.016527,1.016527,153.707627,153.707627,-1.000000,1.182366e+01,151.208574,2.309309e-08,78.194399,78.194399,6.656000e+09,6.55,3.072000e+09,151.21,in_range,,,,3010,2977,,51,50,51,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T02:27:50,"20260718_205238_session1",10,10,10,"STREAM","openmp_triad",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",32,256000000,"elements=256000000",13,1.016386,1.016386,1.016386,153.776548,153.776548,-1.000000,1.182897e+01,151.297456,2.310345e-08,78.183504,78.183504,6.656000e+09,6.55,3.072000e+09,151.30,in_range,,,,3007,2980,,51,51,51,,-1,-1,-1.000000,-1,t
