schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T03:52:53,"20260718_205238_session2",1,1,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.131430,72.131430,72.131430,5699.759453,5699.759453,-1.000000,5.699759e+03,79.019083,6.479876e-10,72131.429803,72131.429803,8.796093e+12,121.95,3.221225e+09,79.02,above,,,,1864,1834,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:54:05,"20260718_205238_session2",2,2,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.221003,72.221003,72.221003,5705.738987,5705.738987,-1.000000,5.705739e+03,79.003873,6.486674e-10,72221.003211,72221.003211,8.796093e+12,121.79,3.221225e+09,79.00,above,,,,1870,1832,,73,72,73,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:55:18,"20260718_205238_session2",3,3,3,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.237971,72.237971,72.237971,5652.271324,5652.271324,-1.000000,5.652271e+03,78.245156,6.425889e-10,72237.971474,72237.971474,8.796093e+12,121.77,3.221225e+09,78.25,above,,,,1866,1833,,73,73,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:56:30,"20260718_205238_session2",4,4,4,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.237996,72.237996,72.237996,5650.259404,5650.259404,-1.000000,5.650259e+03,78.217278,6.423601e-10,72237.995969,72237.995969,8.796093e+12,121.77,3.221225e+09,78.22,above,,,,1858,1832,,73,72,73,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:57:42,"20260718_205238_session2",5,5,5,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.282975,72.282975,72.282975,5651.695258,5651.695258,-1.000000,5.651695e+03,78.188471,6.425234e-10,72282.974556,72282.974556,8.796093e+12,121.69,3.221225e+09,78.19,above,,,,1870,1833,,73,73,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:58:55,"20260718_205238_session2",6,6,6,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.377974,72.377974,72.377974,5658.295503,5658.295503,-1.000000,5.658296e+03,78.177037,6.432737e-10,72377.973635,72377.973635,8.796093e+12,121.53,3.221225e+09,78.18,above,,,,1872,1834,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:00:07,"20260718_205238_session2",7,7,7,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.298925,72.298925,72.298925,5650.863651,5650.863651,-1.000000,5.650864e+03,78.159719,6.424288e-10,72298.924575,72298.924575,8.796093e+12,121.66,3.221225e+09,78.16,above,,,,1873,1924,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:01:19,"20260718_205238_session2",8,8,8,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.282669,72.282669,72.282669,5648.356625,5648.356625,-1.000000,5.648357e+03,78.142612,6.421438e-10,72282.669422,72282.669422,8.796093e+12,121.69,3.221225e+09,78.14,above,,,,1933,1833,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:02:32,"20260718_205238_session2",9,9,9,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.331113,72.331113,72.331113,5648.775991,5648.775991,-1.000000,5.648776e+03,78.096074,6.421915e-10,72331.113220,72331.113220,8.796093e+12,121.61,3.221225e+09,78.10,above,,,,1868,1833,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:03:44,"20260718_205238_session2",10,10,10,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",20,16384,"N=16384;ld=32768",1,72.335075,72.335075,72.335075,5650.026125,5650.026125,-1.000000,5.650026e+03,78.109080,6.423336e-10,72335.074588,72335.074588,8.796093e+12,121.60,3.221225e+09,78.11,above,,,,1871,1984,,72,72,72,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:03:52,"20260718_205238_session2",11,11,1,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",10,256,"N=256;ld=512",32,1.434955,1.434955,1.434955,92.194237,92.194237,-1.000000,2.881070e+00,64.248888,8.586257e-08,44.842331,44.842331,1.073742e+09,0.75,7.864320e+05,64.25,above,,,,1864,1834,,62,62,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T04:03:53,"20260718_205238_session2",12,12,2,"STRIDED_GEMM","openblas_sgemm_ld2n",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",10,256,"N=256;ld=512",32,1.439997,1.439997,1.439997,92.613848,92.613848,-1.000000,2.894183e+00,64.315305,8.625337e-08,44.999907,44.999907,1.073742e+09,0.75,7.864320e+05,64.32,above,,,,1834,1834,,60,60,60,,-1,-1,-1.000000,-1,t
