setup_id,cpu_type,N,mode,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,seconds_per_pass_median,energy_per_pass_j_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,gb_per_s_kernel_median,j_per_gb_kernel_median,passes_e2e_median,n_measurements,workload,source_file
AMD_3090_PCIe3,AMD,0,kernel,NVIDIA GeForce RTX 3090,3,,cuda,fp32,9.3106e-06,2.32695e-05,0.08855,8.2339e-06,0.0783099722,3.6832e-06,2.4625e-06,0.03503,5.4525e-06,0.0518570417,1.00035e-05,7.284e-05,0.09514,9.9901e-06,0.0950131389,0.00010514458333325,1.1218,0.001,0.3322672489082969,,,802.1,802.0837,0.4181,1145.0,350,STREAM,stream_3090_amd_pciev3.csv
AMD_3090_PCIe4,AMD,0,kernel,NVIDIA GeForce RTX 3090,4,,cuda,fp32,9.9733e-06,2.77422e-05,0.09499,8.222e-06,0.0783099722,5.8953e-06,2.3749e-06,0.05615,5.4446e-06,0.0518570417,1.21907e-05,7.59161e-05,0.11611,9.9757e-06,0.0950131389,0.00010499277777775,1.1195,0.001,0.33277475898334785,,,802.12,802.155,0.4211,1141.0,350,STREAM,stream_3090_amd_pciev4.csv
AMD_5050_PCIe3,AMD,0,kernel,NVIDIA GeForce RTX 5050,3,,cuda,fp32,1.7571e-06,4.8713e-06,0.0722,1.9058e-06,0.0783099722,1.083e-07,5.746e-07,0.00445,1.262e-06,0.0518570417,2.5094e-06,1.6201e-05,0.10311,2.3123e-06,0.0950131389,2.43368055555556e-05,1.1198,0.0027,0.21341075794621026,,,292.88,292.8746,0.2691,409.0,350,STREAM,stream_5050_amd_pciev3.csv
AMD_5050_PCIe4,AMD,0,kernel,NVIDIA GeForce RTX 5050,4,,cuda,fp32,1.9292e-06,5.5048e-06,0.07985,1.892e-06,0.0783099722,9.831e-07,5.637e-07,0.04069,1.2529e-06,0.0518570417,3.0075e-06,1.69814e-05,0.12448,2.2956e-06,0.0950131389,2.41608333333333e-05,1.1229,0.0027,0.21207457212713932,,,292.9,292.911,0.2652,409.0,350,STREAM,stream_5050_amd_pciev4.csv
AMD_CPU-only_1t,AMD,0,kernel,,0,1,openmp,float32,1.9775e-06,4.9093e-06,0.09647,1.6053e-06,0.0783099722,1.7158e-06,4.368e-07,0.0837,1.063e-06,0.0518570417,2.0122e-06,1.41306e-05,0.09816,1.9477e-06,0.0950131389,2.04990277777778e-05,1.2998,0.3258,18.548,,,52.74,52.7415,1.0777,4.0,250,STREAM,stream_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,0,kernel,,0,2,openmp,float32,1.9643e-06,4.8764e-06,0.09647,1.5945e-06,0.0783099722,1.7043e-06,4.339e-07,0.0837,1.0559e-06,0.0518570417,1.9987e-06,1.40359e-05,0.09816,1.9346e-06,0.0950131389,2.036166666666665e-05,1.1941,0.1991,12.222666666666667,,,86.28,86.2786,0.7111,6.0,250,STREAM,stream_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,0,kernel,,0,4,openmp,float32,2.2399e-06,5.5607e-06,0.09647,1.8183e-06,0.0783099722,1.9434e-06,4.948e-07,0.0837,1.2041e-06,0.0518570417,2.2792e-06,1.60054e-05,0.09816,2.2061e-06,0.0950131389,2.321875e-05,1.2668,0.1588,10.488125,,,108.14,108.143,0.6105,8.0,250,STREAM,stream_amd_cpu_4.csv
AMD_CPU-only_8t,AMD,0,kernel,,0,8,openmp,float32,2.4897e-06,6.1807e-06,0.09647,2.021e-06,0.0783099722,2.1601e-06,5.5e-07,0.0837,1.3383e-06,0.0518570417,2.5333e-06,1.77902e-05,0.09816,2.4521e-06,0.0950131389,2.5807916666666698e-05,1.2588,0.1576,11.6135625,,,108.97,108.9661,0.6779,8.0,250,STREAM,stream_amd_cpu_8.csv
AMD_CPU-only_10t,AMD,0,kernel,,0,10,openmp,float32,2.6599e-06,6.6034e-06,0.09647,2.1592e-06,0.0783099722,2.3078e-06,5.876e-07,0.0837,1.4298e-06,0.0518570417,2.7065e-06,1.90067e-05,0.09816,2.6198e-06,0.0950131389,2.757277777777775e-05,1.2808,0.1603,12.40775,,,107.17,107.1732,0.7222,8.0,250,STREAM,stream_amd_cpu_10.csv
AMD_CPU-only_16t,AMD,0,kernel,,0,16,openmp,float32,2.946e-06,7.3134e-06,0.09647,2.3914e-06,0.0783099722,2.556e-06,6.508e-07,0.0837,1.5836e-06,0.0518570417,2.9976e-06,2.10504e-05,0.09816,2.9015e-06,0.0950131389,3.05375e-05,1.2779,0.1601,13.7810625,,,107.31,107.3113,0.8014,8.0,250,STREAM,stream_amd_cpu_16.csv
