workload,size,zone,current_hour,device,strategy,action,target_hour,delay_hours,expected_cost_saving_pct,expected_co2_saving_pct,rationale
GEMM,64,DE,0,CPU,Wait for Cheap Window,DELAY,1,1,12.8,24.3,Wait 1h for cheapest window
GEMM,64,DE,1,CPU,Execute Now (Cost-optimal),RUN,1,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,2,CPU,Execute Now (Cost-optimal),RUN,2,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,3,CPU,Execute Now (Cost-optimal),RUN,3,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,4,CPU,Execute Now (Cost-optimal),RUN,4,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,5,CPU,Execute Now (Cost-optimal),RUN,5,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,6,CPU,Execute Now (Cost-optimal),RUN,6,0,0.0,0.0,Currently in cheapest window
GEMM,64,DE,7,CPU,Wait for Green Window,DELAY,8,1,12.2,16.4,Wait 1h for greenest window
GEMM,64,DE,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,64,DE,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,64,DE,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,64,DE,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,64,DE,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,64,DE,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,DE,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,DE,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,DE,16,CPU,Execute Now (No Wait),RUN,16,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,DE,17,CPU,Wait for Cheap Window,DELAY,1,8,37.1,32.6,Wait 8h for cheapest window
GEMM,64,DE,18,CPU,Wait for Cheap Window,DELAY,1,7,49.6,34.4,Wait 7h for cheapest window
GEMM,64,DE,19,CPU,Wait for Cheap Window,DELAY,1,6,41.5,37.3,Wait 6h for cheapest window
GEMM,64,DE,20,CPU,Wait for Cheap Window,DELAY,1,5,43.3,30.6,Wait 5h for cheapest window
GEMM,64,DE,21,CPU,Wait for Cheap Window,DELAY,1,4,19.4,18.7,Wait 4h for cheapest window
GEMM,64,DE,22,CPU,Wait for Cheap Window,DELAY,1,3,27.1,18.8,Wait 3h for cheapest window
GEMM,64,DE,23,CPU,Wait for Cheap Window,DELAY,1,2,20.0,21.5,Wait 2h for cheapest window
