Workload,Area,Total_Configs,CPU_Wins,GPU_Wins,CPU_Win_Rate_%,Avg_kWh
GEMM,DE,19,16,3,84.21052631578947,2.9775402046783617e-05
GEMM,FR,19,16,3,84.21052631578947,2.9775402046783617e-05
GEMM,PL,19,16,3,84.21052631578947,2.9775402046783617e-05
STREAM,DE,1,1,0,100.0,1.21044444444444e-05
STREAM,FR,1,1,0,100.0,1.21044444444444e-05
STREAM,PL,1,1,0,100.0,1.21044444444444e-05
REDUCTION,DE,1,1,0,100.0,5.9519444444444445e-06
REDUCTION,FR,1,1,0,100.0,5.9519444444444445e-06
REDUCTION,PL,1,1,0,100.0,5.9519444444444445e-06
SPMV,DE,12,0,12,0.0,2.506527777777778e-05
SPMV,FR,12,0,12,0.0,2.506527777777778e-05
SPMV,PL,12,0,12,0.0,2.506527777777778e-05
