size,hw_class,kwh,setup_id
64,CPU,1.9636111111111105e-05,Intel_CPU-only_1t
64,3090,5.061875e-05,AMD_3090_PCIe3
64,5050,1.91652777777778e-05,AMD_5050_PCIe4
96,CPU,3.59366666666667e-05,Intel_CPU-only_1t
96,3090,5.841958333333335e-05,AMD_3090_PCIe4
96,5050,2.06672222222222e-05,AMD_5050_PCIe4
128,CPU,2.09784722222222e-05,Intel_CPU-only_1t
128,3090,6.931958333333336e-05,AMD_3090_PCIe4
128,5050,2.150930555555555e-05,Intel_5050_PCIe3
160,CPU,3.2714861111111154e-05,Intel_CPU-only_2t
160,3090,8.3245e-05,AMD_3090_PCIe4
160,5050,2.941902777777775e-05,AMD_5050_PCIe4
192,CPU,3.3609027777777755e-05,Intel_CPU-only_1t
192,3090,7.651986111111109e-05,AMD_3090_PCIe4
192,5050,3.725180555555555e-05,AMD_5050_PCIe3
224,CPU,2.692583333333335e-05,Intel_CPU-only_1t
224,3090,0.0001297320833332,Intel_3090_PCIe3
224,5050,2.765444444444445e-05,AMD_5050_PCIe4
256,CPU,3.133694444444445e-05,Intel_CPU-only_2t
256,3090,0.0001650034722221,AMD_3090_PCIe4
256,5050,3.960194444444445e-05,AMD_5050_PCIe4
320,CPU,3.89072222222222e-05,Intel_CPU-only_1t
320,3090,0.0001306624999999,Intel_3090_PCIe3
320,5050,6.320194444444445e-05,AMD_5050_PCIe4
384,CPU,3.42561111111111e-05,AMD_CPU-only_1t
384,3090,0.0001515395833333,AMD_3090_PCIe4
384,5050,5.5415e-05,AMD_5050_PCIe3
448,CPU,2.933402777777775e-05,Intel_CPU-only_1t
448,3090,0.0001207594444444,AMD_3090_PCIe4
448,5050,4.0046250000000006e-05,AMD_5050_PCIe4
512,CPU,3.682930555555555e-05,Intel_CPU-only_1t
512,3090,0.0001536975,AMD_3090_PCIe4
512,5050,5.7731111111111096e-05,AMD_5050_PCIe3
640,CPU,3.505930555555555e-05,Intel_CPU-only_1t
640,3090,0.0001316029166666,AMD_3090_PCIe4
640,5050,5.63638888888889e-05,AMD_5050_PCIe4
768,CPU,3.07125e-05,Intel_CPU-only_1t
768,3090,0.0001881370833332,AMD_3090_PCIe4
768,5050,4.59626388888889e-05,AMD_5050_PCIe4
896,CPU,2.6233333333333352e-05,Intel_CPU-only_1t
896,3090,0.000151457361111,AMD_3090_PCIe4
896,5050,3.845333333333336e-05,AMD_5050_PCIe4
1024,CPU,3.667666666666669e-05,Intel_CPU-only_1t
1024,3090,0.0001027141666666,AMD_3090_PCIe4
1024,5050,5.6422916666666655e-05,AMD_5050_PCIe4
1152,CPU,2.5855555555555548e-05,Intel_CPU-only_1t
1152,3090,0.0001303154166666,AMD_3090_PCIe4
1152,5050,3.92248611111111e-05,AMD_5050_PCIe4
1280,CPU,3.592402777777775e-05,Intel_CPU-only_1t
1280,3090,0.0001030768055555,AMD_3090_PCIe4
1280,5050,5.366069444444445e-05,AMD_5050_PCIe4
1408,CPU,2.36640277777778e-05,Intel_CPU-only_1t
1408,3090,0.0001211340277777,AMD_3090_PCIe4
1408,5050,3.519625e-05,AMD_5050_PCIe4
1536,CPU,3.017875e-05,Intel_CPU-only_1t
1536,3090,0.0001306301388888,AMD_3090_PCIe4
1536,5050,4.576527777777775e-05,AMD_5050_PCIe3
